B11,B2,B3,B4,B8,Label
1420,387,600,419,2408,Forests
19,248,305,157,25,Water
2158,559,677,862,1402,BarrenLand
1966,516,727,497,3196,Forests
1480,532,678,550,2768,Forests
2443,899,1210,1664,2044,BarrenLand
1649,697,760,839,1346,Agriculture
2188,492,622,741,1738,BarrenLand
17,237,343,154,23,Water
3072,938,1310,1740,2348,BarrenLand
1441,390,625,401,2280,Forests
1793,553,643,609,1918,Agriculture
1248,497,588,436,2218,Forests
1451,500,612,472,2334,Forests
2062,432,751,409,3500,Agriculture
2947,783,1058,1440,2498,BarrenLand
19,251,324,159,26,Water
2417,566,784,904,2176,BarrenLand
3256,804,1162,1732,2574,BarrenLand
1754,925,959,1007,1198,Infrastructure
1747,419,578,515,2276,Agriculture
1966,411,555,636,1786,Agriculture
3063,723,1014,1586,2392,BarrenLand
3291,884,1230,1584,2510,BarrenLand
2424,721,937,1278,1810,BarrenLand
19,244,322,158,26,Water
2457,572,689,982,1409,BarrenLand
2007,1190,1340,1640,1682,Infrastructure
1621,465,647,474,2680,Forests
22,225,190,84,53,Water
2884,1176,1238,1190,1246,Infrastructure
4389,1868,2488,2984,3002,Infrastructure
3260,838,1152,1730,2652,BarrenLand
2678,981,1334,1878,2198,BarrenLand
3593,2068,2322,2410,2254,Infrastructure
1847,1140,1236,1262,1594,Infrastructure
1245,384,515,347,2030,Forests
26,258,273,128,60,Water
341,419,449,318,459,Water
2348,505,675,760,1843,BarrenLand
2336,565,728,1007,1711,BarrenLand
1718,1032,1156,1134,1389,Infrastructure
2366,591,773,1032,1804,BarrenLand
1690,532,696,597,2452,Agriculture
18,246,336,147,24,Water
1962,1394,1620,1714,1887,Infrastructure
1339,475,521,595,856,BarrenLand
2533,541,700,816,2064,BarrenLand
2152,482,635,713,1871,BarrenLand
1952,949,1102,1194,1538,Infrastructure
19,267,323,157,26,Water
1589,484,607,424,2264,Forests
1149,602,687,761,1121,Agriculture
1711,485,662,486,2526,Forests
2117,1584,1826,2172,2262,Infrastructure
1916,1168,1350,1504,1949,Infrastructure
2519,530,715,877,1942,BarrenLand
1464,480,633,844,1216,Agriculture
1906,549,696,702,1884,Agriculture
19,232,333,160,30,Water
2396,810,946,1194,1736,BarrenLand
1758,509,699,491,2792,Forests
26,267,272,133,61,Water
1612,546,681,595,2258,Agriculture
1563,544,706,568,2351,Agriculture
2053,415,797,349,4062,Agriculture
1441,462,518,597,823,BarrenLand
1476,455,650,463,2398,Forests
1824,546,680,611,2012,Agriculture
1489,458,633,458,2382,Forests
2229,886,1182,1622,1844,BarrenLand
1434,504,681,468,2732,Forests
2390,737,913,1156,1654,BarrenLand
127,246,199,165,228,Water
17,258,322,157,23,Water
24,275,381,209,34,Water
1566,534,637,450,2522,Forests
19,218,200,89,63,Water
1621,978,1154,1470,2067,Infrastructure
20,188,158,77,1,Water
2421,527,746,768,2292,BarrenLand
21,275,309,117,43,Water
22,200,216,89,45,Water
1310,506,638,463,2344,Forests
18,246,318,144,20,Water
3025,828,1126,1610,2386,BarrenLand
29,287,384,207,38,Water
33,255,390,215,46,Water
1629,458,561,427,2332,Forests
1823,808,984,1032,1470,Infrastructure
19,277,328,157,24,Water
1364,348,501,335,2002,Forests
2162,1700,2018,2222,2600,Infrastructure
1541,469,712,419,2556,Forests
2401,563,669,915,1405,BarrenLand
29,268,382,217,33,Water
21,211,194,89,35,Water
1649,426,565,494,2280,Agriculture
2984,964,1318,1814,2442,BarrenLand
2941,1368,1416,1550,1575,Infrastructure
1616,908,1030,1246,1918,Infrastructure
20,248,326,148,25,Water
18,262,325,156,30,Water
1741,420,565,547,2145,Agriculture
1958,667,826,1018,1554,BarrenLand
19,248,314,158,29,Water
2576,646,797,1068,1672,BarrenLand
18,203,195,51,1,Water
1756,634,783,672,2136,Agriculture
1441,395,522,354,2054,Forests
156,409,332,292,318,Water
20,252,327,163,25,Water
1589,382,553,397,2504,Forests
1661,417,614,425,2602,Forests
1958,729,913,1124,1638,BarrenLand
1741,394,565,518,2294,Agriculture
2586,1224,1322,1396,1399,Infrastructure
1571,413,583,393,2270,Forests
2320,653,810,1098,1608,BarrenLand
2339,594,716,990,1546,BarrenLand
1760,524,659,547,2242,Agriculture
2249,570,683,960,1373,BarrenLand
34,279,400,216,47,Water
1168,466,613,437,2230,Forests
127,248,206,177,225,Water
2518,599,836,962,2214,BarrenLand
2433,514,668,816,1903,BarrenLand
1453,489,617,458,2316,Forests
1872,473,631,490,2332,Forests
2734,548,688,899,1828,BarrenLand
1870,536,794,516,3084,Forests
2333,617,758,1032,1608,BarrenLand
1865,1003,1198,1130,1528,Infrastructure
1450,443,665,422,2752,Forests
2267,586,689,949,1529,BarrenLand
16,223,205,75,45,Water
1539,440,636,450,2380,Forests
2079,1072,1252,1362,1514,Infrastructure
2916,822,982,1274,2014,BarrenLand
27,270,392,216,40,Water
18,221,203,77,29,Water
208,527,601,435,465,Water
28,232,235,109,63,Water
17,234,326,156,23,Water
1972,977,1200,1442,1569,BarrenLand
1722,1264,1434,1488,1570,Infrastructure
1875,484,624,527,2164,Forests
2681,865,1042,1298,1832,BarrenLand
32,269,375,210,49,Water
2433,551,769,907,2192,BarrenLand
1734,540,638,764,1131,Agriculture
2175,1284,1472,1592,2055,Infrastructure
284,552,540,421,538,Water
28,244,280,140,67,Water
2490,1116,1200,1274,1312,Infrastructure
1800,554,686,648,1974,Agriculture
2107,1412,1412,1418,1872,Infrastructure
22,256,386,207,34,Water
18,238,339,163,23,Water
21,243,308,153,25,Water
2428,554,706,842,1994,BarrenLand
4023,873,1102,1524,2410,Agriculture
1927,1232,1234,1486,1766,Infrastructure
2270,546,790,835,2216,BarrenLand
2428,551,756,843,2031,BarrenLand
1658,485,681,482,2684,Forests
1498,544,573,610,1287,Agriculture
1584,394,534,370,2222,Forests
3572,1492,1748,1804,1703,Infrastructure
1385,555,672,487,2208,Forests
1791,390,535,460,2352,Agriculture
1506,578,679,694,1650,Agriculture
1962,1420,1550,1718,2047,Infrastructure
2609,662,894,1276,1936,BarrenLand
2001,836,952,1136,1686,Infrastructure
2936,722,899,1260,2070,BarrenLand
3255,1748,2078,2214,2244,Infrastructure
3057,776,1074,1584,2432,BarrenLand
1783,398,565,490,2157,Agriculture
1466,436,589,410,2396,Forests
19,232,318,163,27,Water
1294,497,662,479,1870,Forests
2591,662,861,1256,1930,BarrenLand
26,289,375,212,43,Water
1865,1136,1226,1270,1562,Infrastructure
19,246,342,151,22,Water
19,266,328,157,25,Water
2215,543,630,897,1338,BarrenLand
1926,588,617,702,1148,Infrastructure
1938,589,683,703,1940,Agriculture
35,300,335,157,74,Water
1809,1328,1392,1454,1820,Infrastructure
1711,527,705,536,2888,Forests
3376,804,1120,1572,2630,BarrenLand
3154,2138,2374,2646,2878,Infrastructure
1498,585,692,711,1538,Agriculture
1506,502,551,631,878,BarrenLand
1342,355,475,570,1078,Agriculture
1568,507,656,436,2462,Forests
1626,634,735,604,2312,Agriculture
2241,560,717,953,1702,BarrenLand
1689,434,579,540,2208,Agriculture
3255,2346,2520,2662,2931,Infrastructure
1393,393,557,378,2376,Forests
2249,513,717,783,2025,BarrenLand
27,196,213,80,1,Water
2811,760,1038,1516,2192,BarrenLand
29,265,379,213,33,Water
3254,2270,2382,2484,3113,Infrastructure
24,226,239,108,63,Water
2319,575,708,816,1788,BarrenLand
1393,349,466,323,1720,Forests
1335,435,592,436,2028,Forests
3025,789,1100,1634,2400,BarrenLand
1871,966,1226,1026,1407,Infrastructure
256,548,553,418,522,Water
1706,1042,1148,1288,1570,Infrastructure
889,502,575,651,858,Agriculture
157,361,343,283,284,Water
21,269,309,115,43,Water
193,443,511,346,379,Water
1676,382,529,446,2265,Agriculture
200,571,630,467,479,Water
3149,817,1078,1372,2343,BarrenLand
14,213,184,90,22,Water
1585,737,915,888,1726,Agriculture
2268,1288,1394,1472,1889,Infrastructure
152,364,350,275,303,Water
2777,703,918,1234,2043,BarrenLand
2449,587,790,1090,1920,BarrenLand
329,619,793,735,650,Water
1376,548,579,681,963,BarrenLand
1706,1186,1260,1390,1554,Infrastructure
2625,761,955,1302,1882,BarrenLand
2161,521,613,811,1237,BarrenLand
1961,458,663,473,2844,Forests
1395,448,578,393,1954,Forests
1859,1054,1028,1124,1392,Infrastructure
22,195,227,79,1,Water
2368,743,997,1452,2037,BarrenLand
1339,522,538,641,893,BarrenLand
28,205,213,95,53,Water
18,221,211,82,47,Water
2348,509,684,796,1839,BarrenLand
1868,507,703,488,2836,Forests
1365,445,615,791,1253,Agriculture
1512,619,749,661,2286,Agriculture
19,239,330,163,27,Water
1711,502,702,534,2690,Forests
26,278,375,213,39,Water
1863,582,697,720,1941,Agriculture
21,245,236,117,62,Water
2303,569,642,865,1351,BarrenLand
2267,651,818,1100,1620,BarrenLand
19,278,304,139,43,Water
1155,536,602,672,904,Agriculture
1894,558,697,660,2062,Agriculture
156,377,343,274,376,Water
1462,447,633,453,2328,Forests
27,267,291,136,64,Water
2530,833,992,1248,1886,BarrenLand
1863,546,678,640,1960,Agriculture
2350,562,664,905,1436,BarrenLand
1994,719,918,1190,1689,BarrenLand
2227,1394,1294,1382,1944,Infrastructure
2368,1130,1396,1654,1980,Infrastructure
26,296,388,213,38,Water
2231,557,646,833,1350,BarrenLand
1893,568,789,521,3295,Agriculture
3059,853,1040,1354,2084,BarrenLand
1395,433,621,544,1781,Agriculture
1589,490,653,476,2724,Forests
1343,304,467,353,1942,Forests
1927,1282,1300,1324,1799,Infrastructure
2289,607,792,1056,1838,BarrenLand
1964,1352,1538,1736,1968,Infrastructure
2425,750,976,1312,1796,BarrenLand
732,775,738,807,912,Infrastructure
1544,511,679,440,2596,Forests
18,234,327,157,24,Water
1603,511,576,447,2264,Forests
2494,573,784,931,2042,BarrenLand
1436,433,572,396,2198,Forests
1465,494,646,430,2534,Forests
2717,841,1050,1260,1914,BarrenLand
19,245,328,158,36,Water
1626,612,739,651,2286,Agriculture
1463,340,439,309,1966,Forests
22,208,223,86,53,Water
2225,568,647,890,1392,BarrenLand
18,245,314,141,21,Water
2349,599,817,906,2222,BarrenLand
2445,510,711,786,2088,BarrenLand
1907,1060,1272,1410,1556,Infrastructure
1552,437,633,449,2460,Forests
2473,716,937,1206,1708,BarrenLand
3042,1046,1326,1750,2520,Agriculture
1758,560,725,505,3252,Forests
20,224,243,91,69,Water
2884,1518,1770,1862,2094,Infrastructure
1923,313,629,344,3353,Agriculture
2429,1566,1436,1432,1903,Infrastructure
2311,619,891,897,2520,BarrenLand
125,388,350,265,376,Water
341,443,448,325,474,Water
2366,570,734,1002,1770,BarrenLand
2356,542,733,809,2093,BarrenLand
23,165,203,76,1,Water
140,396,482,341,338,Water
1394,548,588,708,1049,BarrenLand
2333,602,741,993,1503,BarrenLand
890,514,599,666,920,Agriculture
2620,665,831,1124,1838,BarrenLand
2053,427,764,400,3986,Agriculture
2215,576,679,898,1388,BarrenLand
2079,1118,1168,1256,1267,Infrastructure
1519,463,625,619,1605,Agriculture
1416,519,591,705,1120,BarrenLand
1552,503,727,471,2858,Forests
1927,1128,1272,1268,1538,Infrastructure
2267,1452,1526,1630,1734,Infrastructure
1855,1122,1238,1288,1338,Infrastructure
1606,458,619,441,2508,Forests
1903,1258,1384,1712,1816,Infrastructure
2124,1314,1452,1512,1889,Infrastructure
1901,537,666,683,1932,Agriculture
1955,902,1066,1244,1506,Infrastructure
4026,872,1102,1548,2386,Agriculture
3198,753,960,1268,2096,BarrenLand
2227,1074,1166,1256,2120,Infrastructure
1387,534,637,593,1704,Agriculture
1599,409,549,646,1154,Agriculture
1606,379,520,369,1996,Forests
23,288,366,209,34,Water
1245,391,516,355,2024,Forests
1831,597,693,699,1738,Agriculture
163,259,242,194,241,Water
3208,758,951,1268,2103,BarrenLand
2577,561,701,857,1816,BarrenLand
34,307,335,166,82,Water
2311,579,848,882,2370,BarrenLand
21,166,192,77,1,Water
33,289,392,216,35,Water
1673,412,568,515,2239,Agriculture
1681,394,567,479,2378,Agriculture
2202,591,671,899,1306,BarrenLand
2649,894,1078,1388,1996,BarrenLand
1428,487,568,692,1170,BarrenLand
26,225,226,109,53,Water
1247,356,457,337,1626,Forests
16,212,194,94,51,Water
2366,603,725,935,1459,BarrenLand
2523,564,756,905,2144,BarrenLand
2723,926,1100,1382,1964,BarrenLand
2291,1136,1230,1490,2092,Infrastructure
889,502,574,659,891,Agriculture
2017,465,700,510,3090,Forests
2470,1146,1164,1252,1486,Infrastructure
986,543,609,710,955,Agriculture
1631,712,712,672,1064,Infrastructure
2994,756,962,1238,2298,BarrenLand
143,374,312,272,356,Water
1259,345,443,315,1636,Forests
19,253,339,158,25,Water
2035,1482,1670,1674,1668,Infrastructure
22,280,385,209,33,Water
1656,458,668,466,2552,Forests
1722,516,691,642,2030,Agriculture
1863,564,684,650,2037,Agriculture
1492,481,568,648,1097,BarrenLand
1666,481,672,484,2830,Forests
307,522,584,415,505,Water
1484,532,597,419,2132,Forests
2769,705,894,1188,1896,BarrenLand
1676,391,566,503,2060,Agriculture
2267,629,807,1054,1568,BarrenLand
26,211,238,86,63,Water
41,178,203,84,1,Water
2225,465,614,709,1813,BarrenLand
2479,539,724,840,2087,BarrenLand
18,255,323,158,24,Water
31,327,331,157,75,Water
