B11,B2,B3,B4,B8,Label
4021,877,1062,1526,2320,0
19,243,323,157,25,4
3416,1050,1372,1756,2712,0
2249,619,780,976,1523,1
3291,867,1244,1632,2562,1
26,242,248,101,63,4
1182,356,484,346,1896,2
1927,1402,1464,1532,1786,3
60,208,210,89,4,4
4026,862,1104,1544,2362,0
21,213,212,92,29,4
1682,887,1068,1188,1875,3
3057,800,1068,1564,2445,1
19,251,313,164,26,4
976,539,579,671,881,0
2819,1554,1620,1728,1799,3
1720,387,543,470,2156,0
3972,860,1050,1466,2272,0
151,346,344,255,326,4
1517,619,709,696,1766,0
3952,886,1086,1506,2380,0
28,248,328,158,29,4
13,203,210,90,27,4
1754,780,805,899,1193,3
147,247,223,176,227,4
2606,1368,1470,1494,1794,3
2006,1366,1396,1472,1907,3
1824,536,672,608,1910,0
1601,545,666,580,1999,0
1812,594,706,683,1990,0
194,477,548,356,428,4
193,455,511,330,351,4
2384,1866,2008,2218,2482,3
1955,565,709,696,1970,0
1647,1572,1650,1798,2158,3
3025,808,1094,1614,2288,1
2165,590,736,994,1495,1
2079,598,854,528,3689,0
14,189,206,90,22,4
1811,425,716,465,2792,0
25,247,319,157,25,4
3289,2302,2540,2832,2894,3
1607,487,651,475,2658,2
2404,568,708,847,1860,1
17,237,343,154,23,4
228,313,272,223,258,4
2379,1822,2060,2168,2509,3
2425,573,738,877,2124,1
2418,591,763,1050,1841,1
3065,807,1068,1360,2482,1
194,546,616,467,481,4
142,371,341,264,325,4
1778,719,817,1034,1223,3
2416,623,744,1007,1691,1
2615,582,747,817,2141,1
199,552,598,472,452,4
1973,359,661,426,2951,0
2829,1578,1554,1618,1658,3
156,373,338,283,302,4
1641,651,776,689,2160,0
2218,484,660,694,2034,1
2382,615,733,957,1474,1
20,211,204,90,51,4
4021,885,1086,1504,2378,0
1966,526,687,477,2978,2
3366,973,1346,1796,2608,1
2401,624,738,1056,1510,1
19,248,320,158,25,4
2413,661,874,1170,1686,1
1936,1120,1188,1182,1535,3
20,283,375,206,34,4
2445,548,709,850,1932,1
177,427,492,336,337,4
2470,1246,1164,1288,1847,3
944,383,460,392,418,1
1747,419,578,515,2276,0
2449,592,764,971,1942,1
21,243,308,153,25,4
20,264,368,204,34,4
3817,2152,2342,2464,2388,3
1462,433,594,425,2358,2
2421,545,751,841,2218,1
24,202,221,108,62,4
2143,1212,1472,1614,1932,3
175,501,596,409,457,4
27,232,243,108,61,4
1476,440,556,404,2154,2
23,272,373,210,35,4
1877,919,1050,1282,1666,3
2332,585,727,977,1493,1
1835,590,827,546,3343,0
21,166,192,77,1,4
27,267,291,136,64,4
2337,553,711,1000,1744,1
31,271,397,208,42,4
2201,484,625,669,1886,1
1629,444,611,472,2584,2
18,196,207,49,1,4
18,238,321,162,22,4
1780,419,561,529,2176,0
1511,495,654,435,2464,2
23,178,195,66,1,4
1769,441,634,480,2358,2
1544,502,697,481,2910,2
2843,1518,1864,2042,2155,3
2003,1116,1210,1356,1594,3
1787,707,894,839,1926,0
1259,345,443,315,1636,2
2438,1750,1610,1620,2037,3
18,245,314,141,21,4
1758,1338,1378,1376,1826,3
2188,499,690,736,1816,1
1732,940,1004,1021,1074,3
3922,890,1102,1532,2386,0
1590,397,533,360,2346,2
2438,1414,1396,1396,1772,3
2035,1482,1670,1674,1668,3
2779,1166,1282,1366,1301,3
200,552,622,484,465,4
1692,1044,1054,1128,1196,3
34,277,385,216,40,4
21,198,200,87,31,4
1365,445,615,791,1253,0
12,202,213,83,42,4
16,208,227,63,5,4
20,234,317,158,25,4
29,292,382,208,41,4
1407,394,619,413,2332,2
22,253,320,157,25,4
2448,528,695,736,2121,1
2261,1090,1134,1238,1220,3
3138,824,1132,1578,2576,1
1906,783,1005,957,1121,3
16,199,199,90,50,4
2267,601,719,974,1566,1
2397,1362,1530,1700,1811,3
25,230,232,91,62,4
1741,394,565,518,2294,0
1715,637,792,907,1332,1
4204,2410,2836,3274,3619,3
26,242,291,132,63,4
3042,1046,1326,1750,2520,0
1467,426,510,574,1032,0
1359,375,557,361,2210,2
1865,1230,1324,1410,1527,3
1971,1370,1378,1448,1947,3
2079,1154,1426,1512,1787,3
955,510,550,673,924,0
1643,505,799,510,3284,2
19,252,291,149,31,4
3182,811,1110,1694,2568,1
362,610,694,509,491,4
1681,401,570,490,2170,0
34,282,385,216,38,4
2157,836,1152,1628,1952,1
2639,673,850,1102,1896,1
1865,1186,1228,1388,1533,3
127,239,209,172,218,4
2139,1136,1136,1288,1728,3
1809,961,1034,1080,1114,3
1563,529,677,605,2019,0
27,268,388,218,42,4
2675,899,1220,1770,2294,1
1696,507,644,565,2120,0
2478,998,1268,1866,2145,1
1728,387,547,413,1910,2
2548,636,861,1210,1801,1
31,248,276,137,61,4
2156,883,1194,1672,1898,1
2226,1200,1390,1368,1796,3
169,223,295,180,215,4
2162,1158,1544,1656,1890,3
2001,962,1240,1292,1910,3
2825,685,880,1188,1874,1
3572,1964,2126,2320,2253,3
1790,472,690,469,2808,2
1453,401,533,350,2216,2
2990,767,1026,1434,2526,1
1859,1704,1808,1742,1998,3
2007,1028,1232,1310,1665,3
2794,517,670,677,2320,0
1334,378,557,367,2066,2
2260,550,664,880,1338,1
1453,466,552,403,2060,2
1878,620,804,638,2598,0
1453,404,554,407,2462,2
2884,841,984,1214,1904,1
1837,1036,1268,1390,1465,3
1546,521,742,487,2662,2
1533,469,624,412,2254,2
181,375,353,306,315,4
190,493,571,408,435,4
2679,605,808,1098,1896,1
4204,2536,2934,3454,3718,3
1690,521,673,577,2408,0
1871,1078,1190,1210,1321,3
1626,518,632,440,2272,2
2849,1548,1726,1834,1837,3
1707,507,692,511,2654,2
19,252,322,149,27,4
18,242,322,156,23,4
1387,524,665,595,1728,0
19,260,340,160,25,4
2311,557,758,815,2260,1
1859,1008,1146,1308,1438,3
19,247,314,153,26,4
21,216,208,82,1,4
20,246,336,163,33,4
3255,1748,2078,2214,2244,3
2209,1004,1082,1200,1249,3
1845,1028,1194,1168,1500,3
2059,460,751,509,2894,0
2470,1074,1202,1178,1550,3
2934,621,808,1154,1966,1
1417,448,614,466,2126,2
3204,1894,2308,2552,2414,3
1988,1418,1332,1312,1797,3
1914,1050,1194,1372,1620,3
2425,743,885,1186,1682,1
2379,1660,1766,1844,2238,3
1339,522,538,641,893,1
1832,592,854,564,2907,0
1936,1003,1166,1222,1412,3
