system:index,B2,B3,B4,B8,.geo
0,679,802,601,3344,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,2376,2526,2500,3782,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,2570,2722,2598,3620,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,1023,1138,967,2964,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,507,642,529,1820,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,618,756,647,1838,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,761,984,805,3262,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,1188,1404,1296,3106,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,2254,2078,1776,3514,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,860,989,878,2564,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,1568,1710,1636,3536,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,579,785,634,3274,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,805,1013,859,3252,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,2380,2744,2634,3362,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,583,674,522,2334,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,655,791,632,2294,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,608,805,637,2758,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,689,974,709,3742,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,879,1238,979,4348,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,851,1034,800,3480,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,678,919,678,3588,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,678,947,658,3452,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,616,829,581,2984,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,932,1202,1096,2359,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,778,1044,772,2908,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,1130,1334,1392,2209,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,904,1046,824,1196,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,1240,1186,1001,2306,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,2050,2222,2178,2756,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,2178,2154,1942,2786,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
