Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.560938408035298,73.86509225149409,599,340,496,433,357,385,378,312,394,255,332,247,286,263,243,165,252.0,486,522,152,500,259,667,651,508,220,438,378,548,244,627,1174,2522,12064,3664,4952,15856,1696,3392,679,1232,8060,6540,4168,2234,11640,466,10968,7204,6888,6064,13112,541,5428,240,469,404,422,6696,3038,8264,420,591,381,811,532,491,674,403,714,1018,4640,259
18.558082806864604,73.85610992103034,557,404,587,525,386,379,455,428,432,364,414,313,452,408,323,290,289.0,544,601,266,576,324,637,768,318,345,322,549,374,412,760,1058,799,10232,5540,5216,10072,784,3522,2376,2788,7896,6652,4676,2928,10432,461,5412,6988,7724,4772,13896,3184,864,327,457,425,677,5148,1046,7836,621,522,582,960,542,470,558,374,863,984,5572,345
18.55522274155556,73.84646470586777,579,482,639,572,392,297,506,390,439,278,384,159,479,285,375,276,360.0,604,675,325,669,397,1008,811,309,449,328,565,357,481,772,955,1188,8720,3708,4716,1814,1350,3146,2570,2934,7940,6612,6260,2940,9016,558,2420,6940,7828,4796,13488,357,1238,345,622,528,973,5560,2988,7316,599,495,577,908,533,637,741,493,959,1260,3772,343
18.544514559226197,73.85392648250487,678,465,572,555,361,407,392,362,445,288,393,253,386,299,292,273,339.0,558,627,225,565,258,774,697,435,296,453,437,456,320,667,1122,1050,9840,1568,4964,6568,6056,2596,1023,1472,8048,5488,4376,6424,10072,475,6328,7148,8060,4764,13192,739,4348,2210,960,3808,669,6376,1016,5560,562,616,465,840,500,526,514,446,872,1156,921,407
18.54160913028136,73.85167209507341,736,402,560,481,329,421,392,266,406,221,279,359,377,218,186,176,283.0,501,576,175,538,211,877,715,440,319,419,467,448,295,655,960,1616,9416,2640,4364,5260,5908,2724,507,1260,8004,6344,5428,6668,9376,926,7692,7416,8528,4748,13920,913,6768,304,8336,4792,739,3182,9664,6312,548,572,436,822,442,909,433,532,948,838,5972,456
18.5402369624264,73.8489338202096,611,473,605,541,347,556,491,358,501,373,430,465,445,294,264,224,375.0,600,655,417,649,326,687,829,612,550,605,658,556,597,857,1148,1019,9296,1948,3746,2264,3000,2382,618,2414,8004,6964,6640,7544,8416,522,5484,7656,8344,3880,13288,8664,7564,419,477,2712,871,4660,8084,6520,630,652,583,965,587,488,680,606,1070,883,6620,597
18.53406452294097,73.84442782948553,490,435,585,482,380,378,376,294,468,317,367,307,456,273,238,175,250.0,531,580,197,559,238,650,717,442,307,342,401,438,318,640,913,897,9464,5224,4368,1976,6144,2534,761,5904,8016,7580,7584,7580,8184,321,7568,8576,8288,4042,12992,1154,6708,198,4200,462,2226,4832,13752,7416,441,532,562,839,514,683,396,459,869,724,9480,411
18.5338267894985,73.83514533517442,513,453,573,490,382,515,411,306,475,330,401,421,462,354,319,281,414.0,558,666,256,659,348,713,689,458,508,424,549,481,376,827,1044,1021,8792,5576,4484,3720,8760,3650,1188,1230,7956,7116,6620,7560,6352,621,541,9104,8344,3124,12600,944,3970,349,680,5180,878,4116,8776,7360,565,561,529,955,561,730,472,561,1286,865,8560,424
18.53240023386963,73.83828124803037,467,455,617,507,379,296,354,250,428,231,306,252,352,208,250,187,302.0,521,581,216,599,266,764,603,308,352,312,472,348,319,705,933,1032,9160,4472,4592,3864,9040,3228,2254,8904,7964,7740,6988,7412,6136,495,452,9128,6148,2988,13152,583,4006,299,693,921,960,6896,12008,7476,478,504,573,886,564,800,505,532,1122,907,9840,460
18.531648737809103,73.83364434346669,455,453,581,578,352,438,448,424,562,390,381,388,354,228,238,149,298.0,479,619,228,619,292,713,594,435,417,401,482,487,296,776,993,907,8728,4740,4340,4492,10208,3436,860,7544,7968,7032,7484,7500,5924,493,423,9320,6292,3278,11992,471,1164,314,531,659,793,6364,4420,7060,550,532,550,1016,567,553,371,528,1160,1216,10168,333
18.53105643137785,73.8401850095257,532,447,600,502,405,417,471,383,518,379,431,266,453,260,214,207,260.0,506,539,171,557,223,593,602,500,269,511,447,550,296,689,987,6276,9328,4564,4512,2832,7632,3208,1568,9280,8024,7432,7428,8040,7292,468,381,8792,5884,3116,12864,468,4264,247,508,588,805,5384,13480,7536,539,756,536,833,461,664,370,490,887,691,7140,409
18.5303613560475,73.85961016707546,592,430,599,516,422,394,413,325,498,365,324,286,438,228,225,144,254.0,498,543,194,535,134,600,573,372,275,354,379,412,240,614,1040,641,9400,2586,4732,5800,883,2668,579,2344,8008,5792,6024,7316,9632,8552,1816,6388,5944,4372,12656,716,8256,206,437,372,919,3328,590,6964,555,656,518,819,517,822,399,501,1026,642,5692,426
