system:index,B11,B2,B3,B4,B8,SCL,.geo
0,1806,719,968,847,3350,4,"{""type"":""Point"",""coordinates"":[73.98334932594535,18.479827674653684]}"
1,1806,713,948,824,3458,4,"{""type"":""Point"",""coordinates"":[73.98344403248957,18.479828182938377]}"
2,1829,691,965,843,3486,4,"{""type"":""Point"",""coordinates"":[73.98353873903683,18.47982869117574]}"
3,1829,700,984,877,3406,4,"{""type"":""Point"",""coordinates"":[73.98363344558719,18.479829199365767]}"
4,1900,713,989,875,3304,4,"{""type"":""Point"",""coordinates"":[73.9837281521406,18.479829707508465]}"
5,1900,765,1048,1024,2900,4,"{""type"":""Point"",""coordinates"":[73.9838228586971,18.479830215603823]}"
6,1960,792,1134,1188,2376,7,"{""type"":""Point"",""coordinates"":[73.98391756525665,18.479830723651855]}"
7,1960,791,1148,1206,2192,7,"{""type"":""Point"",""coordinates"":[73.98401227181927,18.479831231652547]}"
8,1806,720,972,846,3448,4,"{""type"":""Point"",""coordinates"":[73.98334985865846,18.47973730708298]}"
9,1806,726,959,830,3470,4,"{""type"":""Point"",""coordinates"":[73.98344456515306,18.47973781536502]}"
10,1829,709,974,844,3486,4,"{""type"":""Point"",""coordinates"":[73.98353927165073,18.479738323599722]}"
11,1829,707,968,839,3436,4,"{""type"":""Point"",""coordinates"":[73.98363397815147,18.47973883178709]}"
12,1900,715,977,847,3348,4,"{""type"":""Point"",""coordinates"":[73.98372868465528,18.479739339927125]}"
13,1900,730,1076,1032,2802,4,"{""type"":""Point"",""coordinates"":[73.98382339116218,18.479739848019825]}"
14,1960,742,1104,1122,2406,7,"{""type"":""Point"",""coordinates"":[73.98391809767213,18.479740356065196]}"
15,1960,733,1122,1130,2284,7,"{""type"":""Point"",""coordinates"":[73.98401280418514,18.47974086406323]}"
16,1834,729,1026,848,3660,4,"{""type"":""Point"",""coordinates"":[73.98335039136849,18.479646939511415]}"
17,1834,753,1013,905,3362,4,"{""type"":""Point"",""coordinates"":[73.9834450978135,18.47964744779079]}"
18,2011,738,1013,899,3318,4,"{""type"":""Point"",""coordinates"":[73.98353980426155,18.47964795602283]}"
