Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.739513970062802,73.92849851069936,1333,1955,1811,1472,1400,1726,1721,1479,1946,1663,1488,2057,1710,1674,1837,1574,1786.0,1670,1660,1724,1598,2236,1625,1806,1715,1627,2502,2450,1736,2489,2395,1692,978,5238,1839,1848,3815,1901,3655,1960,1860,2033,5676,2177,5199,4457,1881,1700,2989,4588,5319,5949,1879,5009,2036,1953,1881,4796,4025,1876,3839,1719,1722,1595,2554,2977,1638,1584,1477,1864,1843,2137,1407
18.7395145130135,73.92859335935796,1333,1682,1811,1472,1400,1726,1721,1479,1269,1663,1488,1529,1710,1674,1837,1574,1786.0,1670,1660,1724,1598,1725,1625,1806,1715,1627,1929,1963,1736,2080,2072,1692,978,5238,1721,1837,3886,1901,3638,1837,1860,2033,5676,2160,5204,4457,1881,1700,2989,4588,5297,5949,1690,5009,2036,1871,1881,4796,4025,1876,3833,1647,1631,1595,2827,2977,1638,1584,1477,1431,1359,2137,1407
18.7395150559161,73.9286882080198,1181,1682,2586,1457,1275,1663,1717,1482,1269,1668,1487,1529,1768,1706,1828,1591,1859.0,1682,1747,1686,1598,1725,1633,1829,1716,1620,1929,1963,1666,2080,2072,1701,1042,5298,1721,1837,3886,1922,3638,1837,1860,2025,5676,2160,5204,4491,1853,1694,2921,4601,5297,5994,1690,4984,2061,1871,1893,4470,4025,1876,3833,1647,1631,1599,2827,2867,1727,1614,1625,1431,1359,2230,1398
18.73951559877077,73.92878305668489,1181,1791,2586,1457,1275,1663,1717,1482,1757,1668,1487,1966,1768,1706,1828,1591,1859.0,1682,1747,1686,1598,1852,1633,1829,1716,1620,1883,2084,1666,2268,2344,1701,1042,5298,1687,1840,3930,1922,3620,1709,1860,2025,5676,2161,5246,4491,1853,1694,2921,4601,5274,5994,1765,4984,2061,1813,1893,4470,4025,1876,3833,1714,1754,1599,2337,2867,1727,1614,1625,1384,1366,2230,1398
18.73951614157734,73.92887790535327,1475,1955,2112,1486,1430,1596,1671,1549,1946,1668,1558,2057,1793,1794,1877,1682,1913.0,1745,1849,1731,1624,2236,1735,1900,1787,1788,2502,2450,1563,2489,2395,1705,1117,5429,1839,1848,3815,1897,3655,1960,2082,2014,5636,2177,5246,4495,1866,1761,2816,4577,5319,5975,1879,5023,1986,1953,1782,4145,3941,2020,3839,1719,1722,1643,2554,3000,1542,1588,1979,1864,1843,2294,1472
18.739423606566103,73.92849908062281,1291,1682,1811,1486,1321,1596,1671,1549,1269,1668,1558,1529,1793,1794,1877,1682,1913.0,1745,1849,1724,1624,1725,1735,1900,1787,1788,1929,1963,1736,2080,2072,1663,993,5429,1721,1837,3886,1897,3638,1837,2082,2014,5636,2160,5290,4495,1866,1761,2816,4577,5297,5975,1690,5023,1986,1871,1782,4140,3941,2020,3833,1647,1631,1595,2827,3167,1542,1588,1466,1431,1359,2109,1472
18.739424149514,73.92859392923098,1291,1682,1811,1459,1321,1478,1629,1648,1269,1696,1714,1529,1747,1933,1989,1766,1946.0,1812,1871,1724,2234,1725,1830,1960,1951,1994,1929,1963,1736,2080,2072,1663,993,5460,1721,1837,3886,1839,3638,1837,1025,2025,5651,2160,5290,4509,1986,1884,2708,4570,5297,5911,1690,5148,1903,1871,1650,4140,5535,2863,3833,1647,1631,1595,2827,3167,1403,1474,1466,1431,1359,2109,1628
18.73942469241386,73.92868877784241,1219,1791,2586,1459,1286,1478,1629,1648,1757,1696,1714,1966,1747,1933,1989,1766,1946.0,1812,1871,1686,2234,1852,1830,1960,1951,1994,1883,2084,1666,2268,2344,1687,1031,5460,1687,1840,3930,1839,3620,1709,1025,2025,5651,2161,5300,4509,1986,1884,2708,4570,5274,5911,1765,5148,1903,1813,1650,3870,5535,2863,3833,1714,1754,1599,2337,2744,1403,1474,1697,1384,1366,2232,1628
18.73942523526567,73.92878362645706,1219,2026,2586,1486,1286,1726,1721,1479,1844,1663,1488,1978,1710,1674,1837,1574,1786.0,1670,1660,1686,1857,2219,1625,1806,1715,1627,2502,2453,1666,2403,2394,1687,1031,5238,1799,1846,3744,1901,3643,1947,1089,2033,5666,2174,5133,4457,1881,1700,2989,4577,5292,5949,1811,5023,2036,2014,1881,3870,5467,2732,3774,1745,1713,1599,2166,2744,1638,1584,1697,1828,1769,2232,1407
18.739425778069428,73.928878475075,1513,1738,2112,1486,1462,1726,1721,1479,1313,1663,1488,1551,1710,1674,1837,1574,1786.0,1670,1660,1731,2203,1701,1625,1806,1715,1627,1886,1960,1563,2086,2085,1680,1026,5238,1690,1837,3782,1901,3609,1830,1042,2033,5651,2159,5179,4457,1881,1700,2989,4577,5288,5949,1716,5023,2036,1873,1881,3454,5539,2459,3752,1639,1647,1643,2331,3106,1638,1584,1895,1412,1296,2291,1407
