system:index,B11,B2,B3,B4,B8,SCL,.geo
0,2425,634,940,1332,1667,5,"{""type"":""Point"",""coordinates"":[74.04276131163591,18.610723500511096]}"
1,2441,673,976,1374,1720,5,"{""type"":""Point"",""coordinates"":[74.04285609205728,18.610723982357165]}"
2,2441,703,1038,1480,1773,5,"{""type"":""Point"",""coordinates"":[74.04295087248155,18.610724464155535]}"
3,2450,736,1086,1500,1828,5,"{""type"":""Point"",""coordinates"":[74.04304565290872,18.610724945906206]}"
4,2450,747,1116,1550,1830,5,"{""type"":""Point"",""coordinates"":[74.04314043333879,18.610725427609186]}"
5,2374,756,1102,1570,1858,5,"{""type"":""Point"",""coordinates"":[74.04323521377177,18.610725909264467]}"
6,2374,697,1086,1510,1804,5,"{""type"":""Point"",""coordinates"":[74.04332999420764,18.610726390872053]}"
7,2428,666,1021,1514,1738,5,"{""type"":""Point"",""coordinates"":[74.0434247746464,18.610726872431943]}"
8,2428,681,1030,1580,1860,5,"{""type"":""Point"",""coordinates"":[74.04351955508807,18.610727353944142]}"
9,2527,709,1060,1660,1969,5,"{""type"":""Point"",""coordinates"":[74.04361433553264,18.61072783540864]}"
10,2527,739,1134,1664,1977,5,"{""type"":""Point"",""coordinates"":[74.04370911598009,18.61072831682544]}"
11,2514,729,1144,1716,2024,5,"{""type"":""Point"",""coordinates"":[74.04380389643046,18.61072879819455]}"
12,2510,655,935,1334,1682,5,"{""type"":""Point"",""coordinates"":[74.04276181703308,18.610633132568182]}"
13,2514,642,949,1360,1715,5,"{""type"":""Point"",""coordinates"":[74.04285659740442,18.610633614411743]}"
14,2514,652,993,1390,1776,5,"{""type"":""Point"",""coordinates"":[74.04295137777866,18.610634096207608]}"
15,2460,673,1019,1422,1740,5,"{""type"":""Point"",""coordinates"":[74.0430461581558,18.610634577955775]}"
16,2460,681,1040,1494,1800,5,"{""type"":""Point"",""coordinates"":[74.04314093853586,18.610635059656246]}"
17,2382,695,1092,1542,1848,5,"{""type"":""Point"",""coordinates"":[74.04323571891881,18.610635541309023]}"
18,2382,686,1074,1532,1798,5,"{""type"":""Point"",""coordinates"":[74.04333049930466,18.610636022914107]}"
19,2373,677,1024,1550,1810,5,"{""type"":""Point"",""coordinates"":[74.04342527969341,18.61063650447149]}"
20,2373,706,1086,1642,1891,5,"{""type"":""Point"",""coordinates"":[74.04352006008504,18.61063698598118]}"
21,2373,791,1204,1756,2032,5,"{""type"":""Point"",""coordinates"":[74.04361484047959,18.610637467443173]}"
22,2373,788,1180,1688,1932,5,"{""type"":""Point"",""coordinates"":[74.04370962087702,18.610637948857473]}"
23,2385,756,1166,1680,1968,5,"{""type"":""Point"",""coordinates"":[74.04380440127737,18.61063843022408]}"
24,2510,659,966,1390,1764,5,"{""type"":""Point"",""coordinates"":[74.04276232242734,18.61054276462439]}"
25,2514,636,953,1390,1736,5,"{""type"":""Point"",""coordinates"":[74.04285710274866,18.61054324646544]}"
26,2514,653,985,1400,1774,5,"{""type"":""Point"",""coordinates"":[74.04295188307289,18.610543728258797]}"
