Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.6319184135566,73.93410400679646,763,813,930,888,818,825,846,789,834,720,836,811,899,849,879,842,982.0,974,1050,866,855,739,1052,1210,1106,1046,896,1094,1144,1046,1108,1102,1140,11024,4528,1710,7980,4064,1806,726,7992,7780,5880,4920,5228,9448,2944,673,6336,6728,5644,8184,711,5756,594,579,598,751,2812,5836,8328,550,655,596,969,678,646,527,752,905,702,3152,766
18.63191895068255,73.93419879577029,774,838,912,876,808,891,830,821,837,695,863,875,902,879,880,821,977.0,966,1036,913,913,729,1026,1184,1108,1036,937,1070,1140,1084,1112,1098,1166,11104,4540,1700,8000,3986,1794,758,7988,7780,5848,4864,5172,9480,3028,810,6520,6728,5628,8296,717,5508,662,620,616,751,2728,5228,8416,565,683,609,996,695,661,607,742,890,727,3140,781
18.63191948776076,73.93429358474734,796,872,930,857,756,904,828,777,798,701,841,834,901,865,867,865,1050.0,982,1080,912,891,788,1062,1166,1092,1036,931,1086,1122,1132,1132,1070,1160,11104,4440,1584,8032,3892,1788,758,7928,7768,5776,4864,5196,9480,2668,920,6732,6764,5600,8128,711,5744,665,642,600,771,2500,4904,8408,587,694,631,964,664,662,643,748,929,706,3492,738
18.63192002479122,73.93438837372764,792,831,947,901,788,872,786,821,796,680,866,833,884,901,930,945,1174.0,1054,1130,893,893,756,1098,1224,1152,1078,949,1120,1144,1102,1108,1094,1196,11072,4440,1584,8076,3880,1760,710,7780,7744,5812,4808,5332,9480,2676,847,6832,6728,5552,8216,716,5480,652,564,578,763,2338,5308,8392,591,696,570,940,637,743,595,744,833,722,3328,758
18.631920561773928,73.93448316271117,772,857,912,827,754,850,764,794,780,705,904,861,913,876,913,1017,1212.0,1096,1184,886,918,829,1128,1234,1220,1134,967,1166,1220,1072,1152,1092,1220,10984,4424,1490,8124,4048,1820,694,7348,7752,5788,4808,5260,9448,2354,806,6836,6776,5532,8240,745,5400,760,539,581,834,2302,5412,8384,647,681,577,961,616,724,526,772,892,674,3710,759
18.63192109870889,73.93457795169792,827,757,920,841,774,819,783,804,800,699,857,822,863,830,899,1092,1192.0,1168,1172,884,923,750,1116,1246,1184,1122,971,1152,1240,1084,1118,1102,1240,11072,4608,1460,8156,4080,1774,697,6548,7780,5840,4840,5460,9416,2250,722,6812,6764,5532,8392,733,5168,678,584,587,758,2112,5248,8368,626,662,554,918,628,751,607,740,885,700,3652,743
18.63182804885932,73.93410457024362,800,818,865,819,754,889,786,767,771,658,905,788,911,862,909,1064,1180.0,1158,1180,873,961,813,1076,1260,1154,1098,1000,1164,1182,1076,1188,1100,1220,11112,4496,1378,8164,3834,1856,709,6048,7816,5788,4828,5704,9408,2066,686,6776,6764,5532,8512,695,4988,744,582,575,837,1924,4808,8304,634,639,564,936,612,744,563,710,866,709,3898,716
18.631828585982397,73.93419935916738,805,811,912,875,719,897,772,803,724,661,875,859,881,850,894,1112,1184.0,1158,1194,921,915,779,1072,1236,1146,1120,981,1158,1162,1090,1130,1074,1246,11152,4352,1410,8140,3848,1808,700,5876,7752,5880,4772,5640,9456,1942,736,6712,6764,5508,7936,711,4784,717,602,565,801,1792,4248,8248,604,641,561,963,633,687,579,767,906,739,3834,720
18.631829123057898,73.93429414809438,813,802,871,886,671,878,734,775,742,661,803,807,870,836,852,1170,1226.0,1186,1204,897,894,739,1108,1258,1158,1142,947,1186,1222,1098,1122,1082,1256,11232,4320,1434,8156,4344,1820,735,5944,7752,5780,4720,6244,9448,1702,714,6504,6784,5504,8136,733,5044,722,610,596,796,1730,4308,8168,599,664,569,976,644,687,586,770,916,718,4048,769
18.63182966008557,73.93438893702458,816,886,903,890,702,901,725,843,747,636,846,854,876,863,868,1130,1282.0,1188,1240,860,871,731,1144,1274,1184,1156,942,1208,1246,1122,1116,1128,1268,11248,4440,1432,8200,4708,1838,720,6156,7768,5904,4680,6124,9408,1648,664,6624,6756,5488,8156,747,4764,699,648,597,808,1918,4608,8160,590,681,579,976,630,709,543,769,902,750,3990,797
18.63183019706549,73.93448372595803,797,858,905,889,713,868,749,847,728,609,881,868,891,865,874,1066,1214.0,1154,1186,932,885,777,1122,1230,1188,1132,929,1140,1250,1021,1148,1102,1240,11152,4696,1494,8200,4924,1788,752,6188,7752,5832,4700,6668,9448,1300,650,6792,6796,5456,8200,738,5628,638,656,605,815,2556,5020,8116,596,673,582,910,637,700,469,774,974,688,4034,766
