system:index,B11,B2,B3,B4,B8,SCL,.geo
0,6575,13000,12352,11752,10840,9,"{""type"":""Point"",""coordinates"":[73.47822716525832,18.59508020644109]}"
1,6625,12920,12480,11856,10840,9,"{""type"":""Point"",""coordinates"":[73.47832191671104,18.595080971797948]}"
2,6625,12864,12528,11920,10840,9,"{""type"":""Point"",""coordinates"":[73.47841666816838,18.595081737107193]}"
3,6690,12960,12568,12040,10896,9,"{""type"":""Point"",""coordinates"":[73.47851141963031,18.595082502368825]}"
4,6690,13096,12640,12160,10944,9,"{""type"":""Point"",""coordinates"":[73.47860617109686,18.595083267582844]}"
5,6653,13168,12728,12184,11016,9,"{""type"":""Point"",""coordinates"":[73.47870092256801,18.595084032749245]}"
6,6653,13320,12688,12136,11080,9,"{""type"":""Point"",""coordinates"":[73.47879567404378,18.595084797868033]}"
7,6553,13288,12640,12152,11024,9,"{""type"":""Point"",""coordinates"":[73.47889042552414,18.595085562939207]}"
8,6553,13248,12616,12160,11024,9,"{""type"":""Point"",""coordinates"":[73.47898517700911,18.595086327962772]}"
9,6540,12960,12312,11896,10800,9,"{""type"":""Point"",""coordinates"":[73.47822796793396,18.594989857716495]}"
10,6516,12848,12336,11920,10720,9,"{""type"":""Point"",""coordinates"":[73.47832271933676,18.594990623069375]}"
11,6516,12688,12392,11920,10680,9,"{""type"":""Point"",""coordinates"":[73.47841747074416,18.594991388374634]}"
12,6564,12760,12520,11984,10760,9,"{""type"":""Point"",""coordinates"":[73.47851222215617,18.594992153632283]}"
13,6564,12928,12624,12088,10880,9,"{""type"":""Point"",""coordinates"":[73.47860697357278,18.59499291884232]}"
14,6598,12968,12616,12200,11000,9,"{""type"":""Point"",""coordinates"":[73.478701724994,18.59499368400474]}"
15,6598,13168,12648,12136,11008,9,"{""type"":""Point"",""coordinates"":[73.47879647641983,18.59499444911955]}"
16,6509,13248,12624,12120,11008,9,"{""type"":""Point"",""coordinates"":[73.47889122785027,18.59499521418674]}"
17,6509,13152,12536,12112,10912,9,"{""type"":""Point"",""coordinates"":[73.47898597928531,18.59499597920632]}"
18,6540,12832,12344,11896,10760,9,"{""type"":""Point"",""coordinates"":[73.478228770605,18.594899508991013]}"
19,6516,12800,12296,11800,10712,9,"{""type"":""Point"",""coordinates"":[73.47832352195786,18.594900274339906]}"
20,6516,12728,12352,11856,10608,9,"{""type"":""Point"",""coordinates"":[73.47841827331533,18.594901039641186]}"
21,6564,12728,12352,11976,10624,9,"{""type"":""Point"",""coordinates"":[73.47851302467741,18.59490180489485]}"
22,6564,12832,12392,11984,10696,9,"{""type"":""Point"",""coordinates"":[73.4786077760441,18.594902570100903]}"
23,6598,12920,12528,12136,10808,9,"{""type"":""Point"",""coordinates"":[73.47870252741538,18.594903335259342]}"
24,6598,13136,12640,12136,10968,9,"{""type"":""Point"",""coordinates"":[73.47879727879128,18.59490410037017]}"
25,6509,13168,12576,12040,10968,9,"{""type"":""Point"",""coordinates"":[73.47889203017179,18.594904865433374]}"
26,6509,13016,12432,12000,10808,9,"{""type"":""Point"",""coordinates"":[73.4789867815569,18.594905630448974]}"
27,6457,12800,12336,11768,10704,9,"{""type"":""Point"",""coordinates"":[73.47822957327142,18.594809160264628]}"
28,6419,12800,12336,11760,10656,9,"{""type"":""Point"",""coordinates"":[73.47832432457436,18.59480992560954]}"
29,6419,12848,12360,11776,10568,9,"{""type"":""Point"",""coordinates"":[73.47841907588189,18.594810690906833]}"
30,6454,12848,12312,11848,10544,9,"{""type"":""Point"",""coordinates"":[73.47851382719404,18.59481145615652]}"
31,6454,12880,12336,11896,10672,9,"{""type"":""Point"",""coordinates"":[73.47860857851079,18.594812221358588]}"
32,6510,12960,12512,12040,10760,9,"{""type"":""Point"",""coordinates"":[73.47870332983216,18.59481298651304]}"
33,6510,13016,12640,12152,10888,9,"{""type"":""Point"",""coordinates"":[73.47879808115813,18.594813751619885]}"
34,6394,13056,12512,11984,10896,9,"{""type"":""Point"",""coordinates"":[73.4788928324887,18.594814516679115]}"
35,6394,12848,12304,11848,10704,9,"{""type"":""Point"",""coordinates"":[73.47898758382387,18.594815281690728]}"
36,6457,12824,12288,11784,10568,9,"{""type"":""Point"",""coordinates"":[73.47823037593324,18.594718811537344]}"
37,6419,12840,12344,11824,10568,9,"{""type"":""Point"",""coordinates"":[73.47832512718624,18.59471957687827]}"
38,6419,12968,12392,11800,10568,9,"{""type"":""Point"",""coordinates"":[73.47841987844386,18.594720342171584]}"
39,6454,13056,12336,11752,10608,9,"{""type"":""Point"",""coordinates"":[73.47851462970605,18.594721107417286]}"
40,6454,13136,12352,11848,10704,9,"{""type"":""Point"",""coordinates"":[73.47860938097288,18.59472187261537]}"
41,6510,13136,12448,12000,10720,9,"{""type"":""Point"",""coordinates"":[73.47870413224432,18.594722637765845]}"
42,6510,13008,12584,12040,10832,9,"{""type"":""Point"",""coordinates"":[73.47879888352035,18.594723402868706]}"
