Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.80426262229668,73.38300118935113,427,493,527,5072,401,627,429,642,398,794,602,500,515,631,451,631,708,717,675,801,630,596,1006,666,2640,528,645,525,525,561,1172,7028,1338,3572,3054,8792,12336,10208,2002,272,9744,13008,8920,7904,13272,7476,6852,8288,6540,10664,6344,8116,10232,8960,287,236,265,588,2248,3496,506,292,270,824,328,357,628,315,395,259,828,2156,355
18.804263444336698,73.38309605291836,431,486,561,4082,401,659,451,682,422,803,646,510,547,692,520,722,755,759,730,871,618,655,991,676,2742,599,621,568,594,642,1198,7020,1396,3686,3132,8832,12416,10184,2030,259,9728,12976,8944,7720,13080,7496,6960,8136,6540,10704,6308,8120,10232,9328,301,258,257,571,2370,3738,484,309,278,800,332,364,625,325,422,265,824,2236,335
18.804264266328648,73.38319091649049,438,564,574,2958,412,716,570,738,558,913,756,710,667,902,797,899,839,940,821,1002,787,853,1054,847,3288,756,791,753,777,807,1290,7008,1516,4012,3240,8816,12464,10224,2118,310,9656,12880,8952,7728,12912,7552,7056,8016,6556,10784,6244,8080,10216,9584,319,274,271,599,2452,3882,516,339,343,819,355,409,642,332,458,285,841,2082,397
18.8042650882723,73.38328578006758,448,532,554,1746,460,753,664,817,711,996,900,868,841,1036,937,1072,1013,1120,1028,1138,983,1060,1182,1064,3768,1040,986,1003,977,1038,1344,7040,1592,4404,3172,8816,12496,10184,2206,297,9664,12880,8968,7608,12816,7564,7120,7988,6568,10752,6320,8048,10216,9640,315,289,272,618,2598,3864,498,324,322,794,361,429,634,331,458,285,829,1974,381
18.8042659101679,73.38338064364955,450,521,550,1344,451,691,664,819,703,974,903,982,950,1078,1015,1094,1078,1158,1112,1162,1084,1168,1220,1184,4188,1202,1118,1232,1156,1224,1400,7072,1660,4684,2854,8872,12520,10184,2222,262,9616,12864,8976,7508,12712,7548,7236,7880,6540,10768,6356,7968,10192,9936,308,275,245,616,2786,4008,489,308,301,769,317,401,604,306,463,263,842,2018,370
18.804171457636002,73.38290718903944,370,538,553,4516,345,637,478,693,419,812,595,535,518,641,520,618,727,697,674,776,613,552,984,559,2878,469,616,468,592,528,1164,7040,1354,3508,3018,8800,12296,10296,1926,308,9816,13080,8936,7984,13536,7572,6828,8264,6540,10592,6320,8160,10248,8184,292,282,257,577,1870,3632,503,362,278,891,307,385,683,361,443,322,828,2008,383
18.80417227972051,73.38300205255118,389,487,558,3244,359,637,474,678,391,794,582,508,518,615,480,590,699,647,664,770,565,544,987,548,2658,523,634,497,529,511,1170,6992,1360,3604,2990,8824,12360,10224,2002,266,9720,12992,8944,7412,13392,7496,6844,8100,6520,10624,6320,8140,10232,8496,283,282,239,602,2186,3532,494,341,304,827,317,416,661,346,455,292,844,2236,354
18.8041731017563,73.38309691606781,399,510,535,2436,371,649,458,689,439,825,612,528,530,694,542,699,750,699,704,856,589,576,996,611,2742,536,624,547,563,580,1158,7036,1388,3726,3094,8824,12440,10208,2068,262,9688,12928,8952,7276,13080,7548,6876,8000,6500,10704,6248,8136,10256,9016,292,263,271,585,2372,3838,501,317,310,816,332,393,636,340,444,282,853,2294,360
18.804173923744,73.38319177958938,419,533,548,1872,451,686,529,746,578,898,806,697,710,911,819,923,907,927,889,1044,818,860,1072,853,3388,723,753,690,735,794,1238,7056,1504,3970,3220,8840,12472,10216,2114,301,9664,12928,9000,7396,12864,7636,7040,7892,6564,10768,6196,8120,10256,9456,322,280,273,574,2458,4040,522,344,335,809,338,431,649,347,432,274,853,2210,383
18.80417474568348,73.38328664311584,438,514,541,1150,497,733,652,830,725,1022,959,881,893,1009,946,1014,1058,1046,1066,1132,1005,1070,1170,1023,3864,1054,995,987,980,1062,1338,7044,1610,4264,3122,8816,12560,10256,2130,285,9616,12872,9016,7284,12832,7596,7160,7848,6572,10752,6248,8072,10224,9768,321,243,264,588,2564,4144,495,342,307,781,346,418,625,324,417,291,852,2060,380
18.80417556757478,73.38338150664725,465,556,558,939,484,742,663,865,754,1050,961,982,986,1052,1030,1058,1122,1104,1132,1162,1128,1112,1224,1126,4070,1182,1168,1172,1206,1174,1414,7036,1682,4464,2818,8848,12560,10176,2114,270,9568,12792,8992,7308,12704,7552,7276,7796,6564,10704,6248,7972,10184,10096,288,230,250,591,2746,4552,457,301,269,778,304,386,608,288,420,278,846,2072,374
18.804176389416998,73.38347637018356,432,596,541,829,489,817,688,922,757,1044,947,957,977,1062,1000,1076,1112,1128,1120,1194,1132,1160,1260,1176,4288,1186,1216,1172,1226,1222,1446,7044,1688,4852,2674,8840,12448,10144,2134,292,9592,12816,9000,7440,12736,7528,7344,7816,6556,10720,6260,7896,10216,10216,276,263,263,581,2894,4996,484,295,304,790,306,393,600,327,420,285,822,2252,377
18.804177211212803,73.38357123372478,544,677,504,819,682,871,822,971,893,1094,1052,1040,1028,1156,1138,1118,1150,1166,1114,1198,1160,1190,1262,1254,4528,1262,1206,1250,1256,1286,1478,7088,1768,5296,2622,8848,12496,10128,2178,316,9592,12880,9032,7456,12624,7504,7364,7788,6488,10752,6284,7896,10216,10032,313,284,269,560,2990,5272,547,325,328,764,349,426,626,361,467,316,878,2424,441
18.80408029293568,73.38281318882895,423,576,558,4460,402,694,521,734,484,863,640,574,543,672,519,652,703,653,615,722,482,523,960,589,2938,477,566,504,513,552,1128,7020,1354,3338,2996,8872,12208,10312,2028,298,9816,13048,8944,8376,13512,7716,6880,8536,6572,10480,6408,8192,10216,8004,327,320,302,662,1696,3992,554,395,323,876,363,439,681,405,477,281,844,1758,410
