system:index,B11,B2,B3,B4,B8,SCL,.geo
0,2576,1684,1954,2244,2986,5,"{""type"":""Point"",""coordinates"":[73.9035617438159,18.516343310105125]}"
1,2576,1498,1876,2002,2736,5,"{""type"":""Point"",""coordinates"":[73.9036564679881,18.516343859320788]}"
2,2548,1490,1802,2108,2688,5,"{""type"":""Point"",""coordinates"":[73.90375119216361,18.516344408489015]}"
3,2548,1644,1872,1982,2556,5,"{""type"":""Point"",""coordinates"":[73.90384591634246,18.516344957609814]}"
4,3019,1668,1786,1878,2072,5,"{""type"":""Point"",""coordinates"":[73.92499206786172,18.512851605014237]}"
5,3019,1570,1696,1678,1850,5,"{""type"":""Point"",""coordinates"":[73.92508679078753,18.51285214339826]}"
6,2960,1726,1944,2046,2226,5,"{""type"":""Point"",""coordinates"":[73.92518151371657,18.512852681734856]}"
7,2960,1766,2058,2286,2492,5,"{""type"":""Point"",""coordinates"":[73.92527623664884,18.512853220024034]}"
8,2678,1698,2004,2216,2554,5,"{""type"":""Point"",""coordinates"":[73.92537095958438,18.5128537582658]}"
9,2678,1644,1952,2152,2584,5,"{""type"":""Point"",""coordinates"":[73.92546568252318,18.512854296460134]}"
10,2538,1566,1906,1960,2510,5,"{""type"":""Point"",""coordinates"":[73.9255604054652,18.51285483460705]}"
11,2538,1584,1848,2008,2708,5,"{""type"":""Point"",""coordinates"":[73.92565512841051,18.512855372706547]}"
12,2393,1644,1888,2094,2714,5,"{""type"":""Point"",""coordinates"":[73.92574985135903,18.512855910758624]}"
13,2393,1676,1990,2176,2808,5,"{""type"":""Point"",""coordinates"":[73.92584457431083,18.512856448763277]}"
14,2716,1536,1770,1804,1952,5,"{""type"":""Point"",""coordinates"":[73.92499263222943,18.51276123944778]}"
15,2716,1562,1716,1708,1870,5,"{""type"":""Point"",""coordinates"":[73.92508735510553,18.512761777828988]}"
16,2970,1644,1786,1846,1990,5,"{""type"":""Point"",""coordinates"":[73.92518207798487,18.512762316162775]}"
17,2970,1758,1990,2142,2342,5,"{""type"":""Point"",""coordinates"":[73.92527680086744,18.512762854449136]}"
18,3050,1810,2068,2278,2500,5,"{""type"":""Point"",""coordinates"":[73.92537152375327,18.512763392688083]}"
19,3050,1742,2020,2128,2280,5,"{""type"":""Point"",""coordinates"":[73.92546624664236,18.51276393087961]}"
20,3064,1606,1740,1762,1978,5,"{""type"":""Point"",""coordinates"":[73.9255609695347,18.512764469023715]}"
21,3064,1692,1904,1976,2192,5,"{""type"":""Point"",""coordinates"":[73.92565569243027,18.5127650071204]}"
22,2687,1654,1994,2064,2390,5,"{""type"":""Point"",""coordinates"":[73.92575041532912,18.512765545169664]}"
23,2687,1424,1720,1930,2836,5,"{""type"":""Point"",""coordinates"":[73.9258451382312,18.51276608317151]}"
24,2716,1492,1656,1882,2148,5,"{""type"":""Point"",""coordinates"":[73.9249931965939,18.512670873880438]}"
25,2716,1514,1676,1830,2050,5,"{""type"":""Point"",""coordinates"":[73.92508791942028,18.51267141225883]}"
26,2970,1582,1720,1808,1996,5,"{""type"":""Point"",""coordinates"":[73.92518264224991,18.512671950589805]}"
27,2970,1788,1974,2114,2358,5,"{""type"":""Point"",""coordinates"":[73.92527736508279,18.512672488873356]}"
28,3050,1664,1882,1956,2102,5,"{""type"":""Point"",""coordinates"":[73.92537208791892,18.512673027109493]}"
29,3050,1616,1678,1766,1936,5,"{""type"":""Point"",""coordinates"":[73.92546681075831,18.512673565298204]}"
30,3064,1570,1556,1656,1878,5,"{""type"":""Point"",""coordinates"":[73.92556153360093,18.5126741034395]}"
31,3064,1720,1858,2024,2166,5,"{""type"":""Point"",""coordinates"":[73.9256562564468,18.512674641533373]}"
32,2687,1654,1982,2078,2356,5,"{""type"":""Point"",""coordinates"":[73.92575097929594,18.512675179579823]}"
33,2687,1298,1680,1734,2950,5,"{""type"":""Point"",""coordinates"":[73.92584570214831,18.51267571757886]}"
34,2387,1364,1656,1812,2196,5,"{""type"":""Point"",""coordinates"":[73.92499376095512,18.51258050831222]}"
35,2387,1406,1688,1794,2098,5,"{""type"":""Point"",""coordinates"":[73.92508848373178,18.5125810466878]}"
36,2668,1624,1904,1998,2196,5,"{""type"":""Point"",""coordinates"":[73.92518320651172,18.51258158501596]}"
37,2668,1734,2008,2170,2408,5,"{""type"":""Point"",""coordinates"":[73.92527792929488,18.5125821232967]}"
38,2754,1738,2004,2030,2218,5,"{""type"":""Point"",""coordinates"":[73.92537265208132,18.51258266153002]}"
39,2754,1638,1904,1956,2168,5,"{""type"":""Point"",""coordinates"":[73.92546737487098,18.51258319971592]}"
