Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.51634331010512,73.90356174381591,997,1166,1108,1320,1054,1510,1156,1338,1332,1526,1312,1644,1180,1848,1764,1366,1626.0,1852,1724,1658,1748,1710,1206,1954,1566,1856,1974,1356,1796,1758,1956,1600,2402,9960,1764,4732,7940,2482,2676,2070,6488,7876,6040,3500,10680,7208,2696,4084,5792,6168,5204,13224,1024,12624,1716,1486,1588,1852,3808,2288,4012,1622,1418,1422,1756,1340,1472,1440,1370,1670,1372,6920,1338
18.51634385932078,73.90365646798809,947,1060,922,1300,851,1330,1058,1556,1274,1318,1096,1568,1238,1326,1290,1362,1430.0,1628,1586,1700,1656,1774,1332,1876,1958,2034,2176,1456,2100,2086,2104,1676,1996,9944,1648,4752,7984,2382,2338,1836,6288,7852,6088,3480,10664,7168,2676,4492,5816,6112,5208,13320,883,12424,1598,1660,1230,1812,3808,1972,4084,1520,1210,1440,1632,1130,1332,1406,1238,1582,1290,6764,1108
18.51634440848901,73.90375119216361,861,997,943,1296,742,1406,1070,1566,1122,1286,755,1526,1802,1208,1150,1566,1178.0,1512,1242,1714,1210,1744,1510,1802,1262,1678,1456,1560,1550,1918,1576,1634,2092,10048,1558,4760,8084,2236,2338,1750,6324,7836,6112,3514,10648,7080,2928,4780,5844,6112,5228,13272,876,12312,1076,1470,1092,1658,3850,1858,4176,1408,1184,1296,1560,934,1290,1378,1188,1602,1156,6792,1146
18.516344957609807,73.90384591634245,922,1086,966,1332,786,1450,1126,1566,1168,1428,931,1452,2236,1354,1332,1434,1366.0,1592,1344,1700,1450,1790,1640,1872,1402,1866,1692,1666,1664,1874,1782,1642,2190,10048,1600,4756,8068,2254,2470,1866,6304,7868,6104,3648,10584,7072,3562,5036,5876,6112,5224,13312,1036,12168,1372,1494,1482,1746,3792,1894,4184,1604,1304,1438,1712,1180,1440,1440,1324,1594,1320,6812,1300
18.51285160501423,73.92499206786172,1594,1622,1550,1462,1512,1476,1102,1568,1522,1492,1600,1510,1786,1516,1746,1368,1902.0,1638,1694,1778,1888,1826,1504,1786,2230,2198,2232,1910,2196,1684,2060,2216,3770,10888,2416,4484,9520,2336,2814,1902,2632,7880,7764,2908,10568,8544,1788,4200,6304,6188,5204,13192,2918,11728,2032,2018,2044,2172,3542,1496,4094,1668,1484,1604,1978,1666,1706,1726,1596,1550,1816,6624,1670
18.5128521433982,73.92508679078753,1432,1322,1404,1222,1278,1116,1132,1154,1336,1108,1368,1286,1590,1246,1404,1504,1510.0,1390,1504,1484,1552,1536,1720,1696,2072,1818,1876,1666,1946,1612,1830,2202,3404,11008,2298,4464,9568,2064,2686,1722,2508,7868,7736,2828,10704,8576,1780,4416,6332,6104,5208,13048,2292,11712,1550,1660,1490,2014,3630,1614,4052,1234,1250,1254,1746,1278,1328,1430,1256,1462,1452,6784,1070
18.51285268173485,73.92518151371657,1264,1258,1316,1264,1066,1200,1222,1238,1320,1250,1356,1510,1648,1472,1488,1578,1560.0,1534,1520,1662,1554,1906,1348,1944,1946,1916,1876,1400,1990,2048,1826,2222,2864,11112,2416,4464,9568,2540,2770,2050,2626,7852,7736,2770,10648,8592,1746,4488,6352,6104,5224,12968,2028,11672,1670,1712,1460,1896,3782,1626,4052,1402,1386,1300,1752,1278,1364,1482,1296,1492,1448,6572,1076
18.51285322002403,73.92527623664884,1020,1052,1046,1180,716,1154,1164,1180,1226,1066,972,1314,1482,1378,1332,1396,1442.0,1644,1534,1772,1708,2160,1462,2058,2118,2218,2162,1746,2226,2338,2024,2200,2994,11112,2420,4456,9592,2534,2740,2088,2542,7852,7720,2714,10568,8632,1722,4792,6320,6112,5224,12936,1852,11576,1440,1746,1224,1754,3890,1620,4184,1334,1150,1288,1536,1060,1278,1382,1152,1426,1418,6544,1028
18.512853758265,73.92537095958438,750,807,835,1140,467,1152,1058,1170,944,1002,741,1154,1228,1092,938,1438,1132.0,1504,1306,1594,1452,1914,1660,2004,1926,2022,2042,1706,1976,2294,1978,2186,3730,11232,2224,4444,9640,2382,2610,1924,2404,7868,7672,2600,10456,8632,1606,4296,6276,6112,5196,12792,1846,11376,1134,1406,843,1456,3956,1882,4200,1248,1126,1270,1468,873,1166,1274,1078,1578,1434,6524,841
18.512854296460127,73.92546568252318,753,908,868,1064,432,1056,1178,1196,987,924,695,1278,1258,1130,934,1570,1098.0,1502,1318,1568,1362,1848,1606,1952,1750,1980,1888,1506,1900,2376,1916,2192,4058,11296,2238,4456,9640,2358,2634,2004,2398,7904,7672,2566,10472,8704,1758,4224,6236,6088,5204,12672,2040,11144,1152,1454,861,1430,3950,1594,4152,1130,1094,1200,1450,791,1094,1224,1026,1550,1374,6352,819
