system:index,B11,B2,B3,B4,B8,SCL,.geo
0,6718,14608,13392,12480,10984,9,"{""type"":""Point"",""coordinates"":[73.55892010170632,18.35075166921512]}"
1,6779,14680,13408,12536,10976,9,"{""type"":""Point"",""coordinates"":[73.55901472254952,18.350752384821295]}"
2,6779,14600,13440,12600,10976,9,"{""type"":""Point"",""coordinates"":[73.55910934339707,18.350753100380512]}"
3,6712,14552,13488,12616,10944,9,"{""type"":""Point"",""coordinates"":[73.55920396424895,18.350753815892787]}"
4,6712,14432,13408,12568,10800,9,"{""type"":""Point"",""coordinates"":[73.55929858510517,18.350754531358103]}"
5,6718,14568,13392,12480,10944,9,"{""type"":""Point"",""coordinates"":[73.55892085112544,18.35066131485571]}"
6,6779,14608,13392,12536,10976,9,"{""type"":""Point"",""coordinates"":[73.55901547191947,18.350662030458114]}"
7,6779,14648,13488,12616,11008,9,"{""type"":""Point"",""coordinates"":[73.55911009271784,18.35066274601357]}"
8,6712,14608,13488,12656,11016,9,"{""type"":""Point"",""coordinates"":[73.55920471352057,18.35066346152207]}"
9,6712,14552,13448,12608,10920,9,"{""type"":""Point"",""coordinates"":[73.55929933432763,18.350664176983624]}"
10,6675,14592,13360,12392,11000,9,"{""type"":""Point"",""coordinates"":[73.5589216005402,18.350570960495414]}"
11,6757,14656,13408,12552,11000,9,"{""type"":""Point"",""coordinates"":[73.55901622128506,18.350571676094056]}"
12,6757,14744,13496,12608,11032,9,"{""type"":""Point"",""coordinates"":[73.55911084203429,18.35057239164574]}"
13,6695,14744,13544,12656,11104,9,"{""type"":""Point"",""coordinates"":[73.55920546278783,18.350573107150478]}"
14,6695,14696,13536,12656,11032,9,"{""type"":""Point"",""coordinates"":[73.55930008354572,18.350573822608265]}"
15,6675,14680,13360,12256,11000,9,"{""type"":""Point"",""coordinates"":[73.55892234995062,18.35048060613423]}"
16,6757,14656,13464,12480,11032,9,"{""type"":""Point"",""coordinates"":[73.55901697064633,18.350481321729102]}"
17,6757,14736,13496,12600,11072,9,"{""type"":""Point"",""coordinates"":[73.55911159134638,18.350482037277022]}"
18,6695,14792,13536,12600,11168,9,"{""type"":""Point"",""coordinates"":[73.55920621205077,18.350482752777992]}"
19,6695,14704,13528,12552,10976,9,"{""type"":""Point"",""coordinates"":[73.55930083275949,18.35048346823201]}"
20,6631,14656,13272,12216,10888,9,"{""type"":""Point"",""coordinates"":[73.55892309935669,18.350390251772165]}"
21,6719,14704,13448,12440,11032,9,"{""type"":""Point"",""coordinates"":[73.55901772000324,18.350390967363268]}"
22,6719,14744,13488,12552,11048,9,"{""type"":""Point"",""coordinates"":[73.55911234065412,18.35039168290742]}"
23,6715,14752,13448,12576,11016,9,"{""type"":""Point"",""coordinates"":[73.55920696130936,18.350392398404622]}"
