system:index,B11,B2,B3,B4,B8,SCL,.geo
0,2525,755,1001,1228,2070,5,"{""type"":""Point"",""coordinates"":[73.71918563724158,18.749493862016795]}"
1,2525,718,940,1172,1987,5,"{""type"":""Point"",""coordinates"":[73.7192804843207,18.749494511351667]}"
2,2432,732,937,1140,2028,5,"{""type"":""Point"",""coordinates"":[73.71937533140371,18.74949516063848]}"
3,2432,697,926,1126,1973,5,"{""type"":""Point"",""coordinates"":[73.71947017849061,18.749495809877235]}"
4,2399,670,904,1070,1862,5,"{""type"":""Point"",""coordinates"":[73.71956502558139,18.749496459067934]}"
5,2399,662,904,1040,1856,5,"{""type"":""Point"",""coordinates"":[73.71965987267606,18.749497108210576]}"
6,2224,664,918,1078,1906,5,"{""type"":""Point"",""coordinates"":[73.71975471977463,18.749497757305164]}"
7,2525,788,1052,1312,2188,5,"{""type"":""Point"",""coordinates"":[73.71918631887002,18.749403505430344]}"
8,2525,734,989,1236,2081,5,"{""type"":""Point"",""coordinates"":[73.71928116589869,18.74940415476186]}"
9,2432,744,985,1214,2094,5,"{""type"":""Point"",""coordinates"":[73.71937601293125,18.749404804045312]}"
10,2432,760,988,1242,2128,5,"{""type"":""Point"",""coordinates"":[73.7194708599677,18.749405453280716]}"
11,2399,761,999,1244,2110,5,"{""type"":""Point"",""coordinates"":[73.71956570700804,18.74940610246806]}"
12,2399,766,999,1234,2136,5,"{""type"":""Point"",""coordinates"":[73.71966055405228,18.749406751607346]}"
13,2224,716,987,1172,2148,5,"{""type"":""Point"",""coordinates"":[73.7197554011004,18.74940740069858]}"
14,2783,759,1026,1278,2174,5,"{""type"":""Point"",""coordinates"":[73.71918700049456,18.749313148843]}"
15,2783,741,956,1216,2054,5,"{""type"":""Point"",""coordinates"":[73.71928184747279,18.74931379817116]}"
16,2759,732,952,1198,2046,5,"{""type"":""Point"",""coordinates"":[73.7193766944549,18.749314447451262]}"
17,2759,737,971,1232,2128,5,"{""type"":""Point"",""coordinates"":[73.71947154144091,18.749315096683304]}"
18,2716,750,1016,1248,2160,5,"{""type"":""Point"",""coordinates"":[73.7195663884308,18.749315745867293]}"
19,2716,736,988,1240,2150,5,"{""type"":""Point"",""coordinates"":[73.71966123542461,18.749316395003227]}"
20,2264,676,990,1088,2362,4,"{""type"":""Point"",""coordinates"":[73.7197560824223,18.7493170440911]}"
21,2783,706,966,1226,2074,5,"{""type"":""Point"",""coordinates"":[73.7191876821152,18.74922279225476]}"
22,2783,689,904,1154,1996,5,"{""type"":""Point"",""coordinates"":[73.71928252904299,18.74922344157956]}"
23,2759,683,916,1134,2018,5,"{""type"":""Point"",""coordinates"":[73.71937737597466,18.749224090856305]}"
24,2759,692,943,1162,2070,5,"{""type"":""Point"",""coordinates"":[73.71947222291023,18.749224740084994]}"
25,2716,702,969,1156,2118,5,"{""type"":""Point"",""coordinates"":[73.71956706984969,18.74922538926563]}"
26,2716,699,954,1188,2122,5,"{""type"":""Point"",""coordinates"":[73.71966191679304,18.74922603839821]}"
27,2264,681,974,1018,2376,4,"{""type"":""Point"",""coordinates"":[73.71975676374028,18.749226687482725]}"
28,2744,702,921,1192,2062,5,"{""type"":""Point"",""coordinates"":[73.71918836373194,18.74913243566562]}"
29,2744,694,912,1130,2030,5,"{""type"":""Point"",""coordinates"":[73.71928321060929,18.749133084987065]}"
30,2763,674,904,1100,2018,5,"{""type"":""Point"",""coordinates"":[73.71937805749053,18.749133734260454]}"
31,2763,683,898,1098,2058,5,"{""type"":""Point"",""coordinates"":[73.71947290437565,18.74913438348579]}"
32,2603,681,913,1100,2070,5,"{""type"":""Point"",""coordinates"":[73.71956775126468,18.74913503266307]}"
33,2603,686,954,1144,2086,5,"{""type"":""Point"",""coordinates"":[73.71966259815758,18.749135681792293]}"
34,2111,689,968,967,2422,5,"{""type"":""Point"",""coordinates"":[73.71975744505438,18.749136330873455]}"
35,2744,699,947,1160,2071,5,"{""type"":""Point"",""coordinates"":[73.7191890453448,18.74904207907559]}"
36,2744,696,916,1112,2057,5,"{""type"":""Point"",""coordinates"":[73.71928389217172,18.749042728393682]}"
37,2763,691,940,1130,2082,5,"{""type"":""Point"",""coordinates"":[73.71937873900251,18.749043377663718]}"
38,2763,705,935,1124,2133,5,"{""type"":""Point"",""coordinates"":[73.71947358583719,18.749044026885695]}"
39,2603,713,939,1158,2109,5,"{""type"":""Point"",""coordinates"":[73.71956843267577,18.74904467605962]}"
40,2603,720,965,1166,2110,5,"{""type"":""Point"",""coordinates"":[73.71966327951824,18.749045325185485]}"
41,2111,675,904,951,2172,5,"{""type"":""Point"",""coordinates"":[73.7197581263646,18.7490459742633]}"
42,2773,695,932,1144,2154,5,"{""type"":""Point"",""coordinates"":[73.71918972695379,18.74895172248466]}"
43,2773,664,913,1104,2062,5,"{""type"":""Point"",""coordinates"":[73.71928457373023,18.74895237179939]}"
44,2859,693,931,1138,2144,5,"{""type"":""Point"",""coordinates"":[73.71937942051059,18.74895302106607]}"
45,2859,716,981,1178,2172,5,"{""type"":""Point"",""coordinates"":[73.71947426729483,18.748953670284692]}"
46,2608,715,960,1226,2154,5,"{""type"":""Point"",""coordinates"":[73.71956911408297,18.74895431945526]}"
47,2608,714,980,1166,2173,5,"{""type"":""Point"",""coordinates"":[73.719663960875,18.748954968577774]}"
48,2032,655,874,949,2004,5,"{""type"":""Point"",""coordinates"":[73.71975880767091,18.748955617652232]}"
49,2773,728,944,1138,2092,5,"{""type"":""Point"",""coordinates"":[73.71919040855884,18.748861365892836]}"
50,2773,664,909,1086,2100,5,"{""type"":""Point"",""coordinates"":[73.71928525528487,18.748862015204214]}"
51,2859,711,962,1148,2176,5,"{""type"":""Point"",""coordinates"":[73.7193801020148,18.748862664467534]}"
52,2859,739,1009,1224,2220,5,"{""type"":""Point"",""coordinates"":[73.71947494874858,18.748863313682804]}"
53,2608,761,996,1264,2242,5,"{""type"":""Point"",""coordinates"":[73.7195697954863,18.748863962850017]}"
