system:index,B11,B2,B3,B4,B8,SCL,.geo
0,5123,5692,6144,6484,7056,9,"{""type"":""Point"",""coordinates"":[74.04276131163591,18.610723500511096]}"
1,5052,5712,6164,6484,7128,9,"{""type"":""Point"",""coordinates"":[74.04285609205728,18.610723982357165]}"
2,5052,5728,6168,6496,7164,9,"{""type"":""Point"",""coordinates"":[74.04295087248155,18.610724464155535]}"
3,5046,5704,6196,6496,7132,9,"{""type"":""Point"",""coordinates"":[74.04304565290872,18.610724945906206]}"
4,5046,5724,6156,6496,7104,9,"{""type"":""Point"",""coordinates"":[74.04314043333879,18.610725427609186]}"
5,5070,5736,6148,6532,7132,9,"{""type"":""Point"",""coordinates"":[74.04323521377177,18.610725909264467]}"
6,5070,5724,6148,6532,7120,9,"{""type"":""Point"",""coordinates"":[74.04332999420764,18.610726390872053]}"
7,5056,5744,6108,6508,7056,9,"{""type"":""Point"",""coordinates"":[74.0434247746464,18.610726872431943]}"
8,5056,5724,6076,6476,7060,9,"{""type"":""Point"",""coordinates"":[74.04351955508807,18.610727353944142]}"
9,5029,5788,6076,6484,7096,9,"{""type"":""Point"",""coordinates"":[74.04361433553264,18.61072783540864]}"
10,5029,5880,6144,6496,7168,9,"{""type"":""Point"",""coordinates"":[74.04370911598009,18.61072831682544]}"
11,5016,5848,6164,6456,7208,9,"{""type"":""Point"",""coordinates"":[74.04380389643046,18.61072879819455]}"
12,5138,5664,6164,6500,7132,9,"{""type"":""Point"",""coordinates"":[74.04276181703308,18.610633132568182]}"
13,5082,5724,6196,6500,7152,9,"{""type"":""Point"",""coordinates"":[74.04285659740442,18.610633614411743]}"
14,5082,5780,6168,6504,7176,9,"{""type"":""Point"",""coordinates"":[74.04295137777866,18.610634096207608]}"
15,5079,5744,6200,6528,7176,9,"{""type"":""Point"",""coordinates"":[74.0430461581558,18.610634577955775]}"
16,5079,5724,6212,6568,7148,9,"{""type"":""Point"",""coordinates"":[74.04314093853586,18.610635059656246]}"
17,5107,5736,6196,6568,7152,9,"{""type"":""Point"",""coordinates"":[74.04323571891881,18.610635541309023]}"
18,5107,5684,6200,6564,7164,9,"{""type"":""Point"",""coordinates"":[74.04333049930466,18.610636022914107]}"
19,5103,5708,6168,6532,7100,9,"{""type"":""Point"",""coordinates"":[74.04342527969341,18.61063650447149]}"
20,5103,5692,6164,6476,7056,9,"{""type"":""Point"",""coordinates"":[74.04352006008504,18.61063698598118]}"
21,5046,5776,6164,6500,7116,9,"{""type"":""Point"",""coordinates"":[74.04361484047959,18.610637467443173]}"
22,5046,5776,6164,6468,7144,9,"{""type"":""Point"",""coordinates"":[74.04370962087702,18.610637948857473]}"
23,5034,5812,6176,6444,7208,9,"{""type"":""Point"",""coordinates"":[74.04380440127737,18.61063843022408]}"
24,5138,5724,6200,6464,7176,9,"{""type"":""Point"",""coordinates"":[74.04276232242734,18.61054276462439]}"
25,5082,5768,6212,6520,7164,9,"{""type"":""Point"",""coordinates"":[74.04285710274866,18.61054324646544]}"
26,5082,5800,6224,6532,7184,9,"{""type"":""Point"",""coordinates"":[74.04295188307289,18.610543728258797]}"
27,5079,5728,6212,6548,7176,9,"{""type"":""Point"",""coordinates"":[74.0430466634,18.61054421000446]}"
28,5079,5712,6216,6588,7212,9,"{""type"":""Point"",""coordinates"":[74.04314144373002,18.610544691702426]}"
29,5107,5708,6244,6616,7152,9,"{""type"":""Point"",""coordinates"":[74.04323622406295,18.610545173352698]}"
30,5107,5648,6248,6588,7152,9,"{""type"":""Point"",""coordinates"":[74.04333100439878,18.610545654955274]}"
31,5103,5688,6224,6544,7132,9,"{""type"":""Point"",""coordinates"":[74.0434257847375,18.610546136510155]}"
32,5103,5712,6164,6500,7100,9,"{""type"":""Point"",""coordinates"":[74.04352056507912,18.610546618017338]}"
