system:index,B11,B2,B3,B4,B8,SCL,.geo
0,2077,1334,1852,1952,2558,5,"{""type"":""Point"",""coordinates"":[73.9035617438159,18.516343310105125]}"
1,2077,1342,1628,1882,2420,5,"{""type"":""Point"",""coordinates"":[73.9036564679881,18.516343859320788]}"
2,2228,1262,1512,1714,2414,5,"{""type"":""Point"",""coordinates"":[73.90375119216361,18.516344408489015]}"
3,2228,1312,1592,1752,2220,5,"{""type"":""Point"",""coordinates"":[73.90384591634246,18.516344957609814]}"
4,2860,1412,1638,1686,1876,5,"{""type"":""Point"",""coordinates"":[73.92499206786172,18.512851605014237]}"
5,2860,1372,1390,1448,1580,5,"{""type"":""Point"",""coordinates"":[73.92508679078753,18.51285214339826]}"
6,2679,1428,1534,1720,1790,5,"{""type"":""Point"",""coordinates"":[73.92518151371657,18.512852681734856]}"
7,2679,1318,1644,1760,2004,5,"{""type"":""Point"",""coordinates"":[73.92527623664884,18.512853220024034]}"
8,2260,1186,1504,1744,1952,5,"{""type"":""Point"",""coordinates"":[73.92537095958438,18.5128537582658]}"
9,2260,1238,1502,1738,1880,5,"{""type"":""Point"",""coordinates"":[73.92546568252318,18.512854296460134]}"
10,2093,1288,1412,1596,1868,5,"{""type"":""Point"",""coordinates"":[73.9255604054652,18.51285483460705]}"
11,2093,1282,1404,1562,1946,5,"{""type"":""Point"",""coordinates"":[73.92565512841051,18.512855372706547]}"
12,1966,1300,1444,1670,2082,5,"{""type"":""Point"",""coordinates"":[73.92574985135903,18.512855910758624]}"
13,1966,1320,1592,1836,2352,5,"{""type"":""Point"",""coordinates"":[73.92584457431083,18.512856448763277]}"
14,1850,885,1110,1200,1408,5,"{""type"":""Point"",""coordinates"":[73.92915987966764,18.512875249051195]}"
15,1850,1158,1336,1680,2094,5,"{""type"":""Point"",""coordinates"":[73.92925460273618,18.512875785348704]}"
16,2092,1106,1490,1684,2210,5,"{""type"":""Point"",""coordinates"":[73.92934932580796,18.512876321598792]}"
17,2092,1106,1214,1562,1944,5,"{""type"":""Point"",""coordinates"":[73.92944404888297,18.51287685780146]}"
18,2158,1362,1694,1924,2250,5,"{""type"":""Point"",""coordinates"":[73.92953877196123,18.512877393956703]}"
19,2158,1390,1792,1970,2276,5,"{""type"":""Point"",""coordinates"":[73.92963349504272,18.512877930064533]}"
20,2226,1240,1438,1746,2080,5,"{""type"":""Point"",""coordinates"":[73.92972821812744,18.51287846612494]}"
21,2226,1166,1516,1714,2004,5,"{""type"":""Point"",""coordinates"":[73.9298229412154,18.51287900213792]}"
22,2074,1466,1724,2098,2420,5,"{""type"":""Point"",""coordinates"":[73.92991766430661,18.512879538103483]}"
23,2074,1116,1590,1570,1940,5,"{""type"":""Point"",""coordinates"":[73.93001238740105,18.512880074021627]}"
24,1857,796,988,1094,1374,5,"{""type"":""Point"",""coordinates"":[73.93010711049871,18.512880609892346]}"
25,1857,894,1112,1364,1462,5,"{""type"":""Point"",""coordinates"":[73.93020183359961,18.512881145715646]}"
26,1981,1138,1332,1622,1908,5,"{""type"":""Point"",""coordinates"":[73.93029655670377,18.51288168149153]}"
27,2771,1398,1664,1764,1872,5,"{""type"":""Point"",""coordinates"":[73.92499263222943,18.51276123944778]}"
28,2771,1324,1506,1576,1648,5,"{""type"":""Point"",""coordinates"":[73.92508735510553,18.512761777828988]}"
29,2930,1344,1494,1604,1624,5,"{""type"":""Point"",""coordinates"":[73.92518207798487,18.512762316162775]}"
30,2930,1414,1720,1876,2054,5,"{""type"":""Point"",""coordinates"":[73.92527680086744,18.512762854449136]}"
31,2878,1484,1820,2046,2288,5,"{""type"":""Point"",""coordinates"":[73.92537152375327,18.512763392688083]}"
32,2878,1404,1716,1914,1996,5,"{""type"":""Point"",""coordinates"":[73.92546624664236,18.51276393087961]}"
33,2812,1300,1526,1592,1606,5,"{""type"":""Point"",""coordinates"":[73.9255609695347,18.512764469023715]}"
34,2812,1342,1562,1668,1706,5,"{""type"":""Point"",""coordinates"":[73.92565569243027,18.5127650071204]}"
35,2467,1384,1604,1864,1938,5,"{""type"":""Point"",""coordinates"":[73.92575041532912,18.512765545169664]}"
36,2467,1120,1494,1578,2392,5,"{""type"":""Point"",""coordinates"":[73.9258451382312,18.51276608317151]}"
37,2159,1028,1322,1558,1882,5,"{""type"":""Point"",""coordinates"":[73.92916044184831,18.512784883361185]}"
38,2159,1204,1476,1840,2150,5,"{""type"":""Point"",""coordinates"":[73.92925516486716,18.512785419655888]}"
39,2266,1288,1556,1890,2314,5,"{""type"":""Point"",""coordinates"":[73.92934988788922,18.512785955903176]}"
40,2266,1074,1360,1536,1992,5,"{""type"":""Point"",""coordinates"":[73.92944461091453,18.51278649210304]}"
41,2202,1206,1588,1744,2362,5,"{""type"":""Point"",""coordinates"":[73.92953933394308,18.512787028255485]}"
42,2202,1272,1658,1826,2232,5,"{""type"":""Point"",""coordinates"":[73.92963405697486,18.51278756436051]}"
43,2281,1204,1388,1742,2068,5,"{""type"":""Point"",""coordinates"":[73.92972878000988,18.512788100418113]}"
