system:index,B11,B2,B3,B4,B8,SCL,.geo
0,688,503,616,446,238,6,"{""type"":""Point"",""coordinates"":[73.55892010170632,18.35075166921512]}"
1,1514,577,779,786,418,6,"{""type"":""Point"",""coordinates"":[73.55901472254952,18.350752384821295]}"
2,1514,749,1076,1176,760,6,"{""type"":""Point"",""coordinates"":[73.55910934339707,18.350753100380512]}"
3,1705,705,1038,1134,756,6,"{""type"":""Point"",""coordinates"":[73.55920396424895,18.350753815892787]}"
4,1705,559,766,705,432,6,"{""type"":""Point"",""coordinates"":[73.55929858510517,18.350754531358103]}"
5,688,546,783,821,389,6,"{""type"":""Point"",""coordinates"":[73.55892085112544,18.35066131485571]}"
6,1514,768,1132,1280,837,6,"{""type"":""Point"",""coordinates"":[73.55901547191947,18.350662030458114]}"
7,1514,1116,1592,1616,1416,6,"{""type"":""Point"",""coordinates"":[73.55911009271784,18.35066274601357]}"
8,1705,1068,1502,1572,1376,6,"{""type"":""Point"",""coordinates"":[73.55920471352057,18.35066346152207]}"
9,1705,755,1078,1306,810,6,"{""type"":""Point"",""coordinates"":[73.55929933432763,18.350664176983624]}"
10,743,776,1216,1132,900,6,"{""type"":""Point"",""coordinates"":[73.5589216005402,18.350570960495414]}"
11,1796,1188,1658,1600,1550,8,"{""type"":""Point"",""coordinates"":[73.55901622128506,18.350571676094056]}"
12,1796,1694,1976,1848,2050,8,"{""type"":""Point"",""coordinates"":[73.55911084203429,18.35057239164574]}"
13,2251,1562,1964,2082,1948,8,"{""type"":""Point"",""coordinates"":[73.55920546278783,18.350573107150478]}"
14,2251,1146,1808,2088,1528,8,"{""type"":""Point"",""coordinates"":[73.55930008354572,18.350573822608265]}"
15,743,1236,1448,964,1378,6,"{""type"":""Point"",""coordinates"":[73.55892234995062,18.35048060613423]}"
16,1796,1744,1906,1550,1990,8,"{""type"":""Point"",""coordinates"":[73.55901697064633,18.350481321729102]}"
17,1796,2054,2194,2006,2331,8,"{""type"":""Point"",""coordinates"":[73.55911159134638,18.350482037277022]}"
18,2251,2102,2470,2310,2612,8,"{""type"":""Point"",""coordinates"":[73.55920621205077,18.350482752777992]}"
19,2251,1970,2536,2346,2595,8,"{""type"":""Point"",""coordinates"":[73.55930083275949,18.35048346823201]}"
20,535,1324,1130,640,1152,6,"{""type"":""Point"",""coordinates"":[73.55892309935669,18.350390251772165]}"
21,1461,1866,1788,1354,2004,6,"{""type"":""Point"",""coordinates"":[73.55901772000324,18.350390967363268]}"
22,1461,2200,2270,1908,2491,6,"{""type"":""Point"",""coordinates"":[73.55911234065412,18.35039168290742]}"
23,1981,2532,2562,2190,2852,8,"{""type"":""Point"",""coordinates"":[73.55920696130936,18.350392398404622]}"
24,1981,2652,2622,2148,2927,8,"{""type"":""Point"",""coordinates"":[73.55930158196891,18.350393113854874]}"
25,4484,2858,3454,3674,3386,9,"{""type"":""Point"",""coordinates"":[73.92208088222374,18.539041924724177]}"
26,4054,2768,3260,3538,3156,9,"{""type"":""Point"",""coordinates"":[73.92217561948165,18.539042465301467]}"
27,4054,2934,3118,3288,3159,9,"{""type"":""Point"",""coordinates"":[73.92227035674283,18.539043005831267]}"
28,3867,3108,3360,3360,3374,9,"{""type"":""Point"",""coordinates"":[73.92236509400728,18.539043546313575]}"
29,3867,3108,3328,3342,3408,9,"{""type"":""Point"",""coordinates"":[73.92245983127498,18.539044086748387]}"
30,3591,3040,3000,2900,3230,9,"{""type"":""Point"",""coordinates"":[73.92255456854595,18.53904462713571]}"
31,3591,3134,2886,2686,3241,9,"{""type"":""Point"",""coordinates"":[73.92264930582017,18.53904516747554]}"
32,3284,3592,3228,2828,3558,9,"{""type"":""Point"",""coordinates"":[73.92274404309765,18.539045707767876]}"
33,3868,2742,2836,3248,2922,8,"{""type"":""Point"",""coordinates"":[73.92208144897836,18.538951559494496]}"
34,3692,2988,2706,3138,2984,9,"{""type"":""Point"",""coordinates"":[73.92217618618649,18.53895210006897]}"
35,3692,3264,2868,2984,3242,9,"{""type"":""Point"",""coordinates"":[73.92227092339789,18.53895264059594]}"
36,3623,3298,3098,3228,3396,9,"{""type"":""Point"",""coordinates"":[73.92236566061254,18.538953181075428]}"
37,3623,3256,3016,3156,3318,9,"{""type"":""Point"",""coordinates"":[73.92246039783046,18.538953721507422]}"
38,3372,3360,2946,2818,3310,9,"{""type"":""Point"",""coordinates"":[73.92255513505162,18.538954261891924]}"
39,3372,3542,3046,2758,3492,9,"{""type"":""Point"",""coordinates"":[73.92264987227605,18.538954802228933]}"
40,3400,3842,3476,3072,3772,9,"{""type"":""Point"",""coordinates"":[73.92274460950375,18.53895534251845]}"
41,3868,3308,2668,2734,3187,8,"{""type"":""Point"",""coordinates"":[73.92208201572971,18.538861194263937]}"
42,3692,3516,2872,2634,3396,9,"{""type"":""Point"",""coordinates"":[73.92217675288806,18.53886173483559]}"
43,3692,3474,3142,2800,3570,9,"{""type"":""Point"",""coordinates"":[73.92227149004968,18.538862275359744]}"
44,3623,3432,3294,3000,3594,9,"{""type"":""Point"",""coordinates"":[73.92236622721454,18.53886281583641]}"
45,3623,3360,3198,2912,3492,9,"{""type"":""Point"",""coordinates"":[73.92246096438267,18.53886335626558]}"
46,3372,3400,3220,2798,3554,9,"{""type"":""Point"",""coordinates"":[73.92255570155405,18.538863896647264]}"
47,3372,3688,3406,2890,3726,9,"{""type"":""Point"",""coordinates"":[73.92265043872871,18.538864436981452]}"
48,3400,4012,3706,3298,3916,9,"{""type"":""Point"",""coordinates"":[73.92274517590661,18.53886497726815]}"
49,3292,3484,3156,2580,3582,9,"{""type"":""Point"",""coordinates"":[73.92208258247783,18.538770829032504]}"
50,3395,3350,3328,2740,3586,9,"{""type"":""Point"",""coordinates"":[73.92217731958638,18.538771369601328]}"
51,3395,3132,3392,3020,3532,9,"{""type"":""Point"",""coordinates"":[73.9222720566982,18.538771910122666]}"
52,3490,3176,3396,3100,3486,9,"{""type"":""Point"",""coordinates"":[73.92236679381328,18.538772450596504]}"
53,3490,3156,3270,2988,3377,9,"{""type"":""Point"",""coordinates"":[73.92246153093163,18.53877299102286]}"
54,3458,3322,3328,3034,3536,9,"{""type"":""Point"",""coordinates"":[73.92255626805321,18.53877353140172]}"
55,3458,3666,3572,3228,3774,9,"{""type"":""Point"",""coordinates"":[73.92265100517808,18.53877407173309]}"
56,3733,3940,3814,3494,3968,9,"{""type"":""Point"",""coordinates"":[73.92274574230619,18.538774612016965]}"
57,3292,3518,3394,3040,3585,9,"{""type"":""Point"",""coordinates"":[73.92208314922267,18.53868046380018]}"
58,3395,3274,3278,3206,3388,9,"{""type"":""Point"",""coordinates"":[73.92217788628145,18.538681004366182]}"
59,3395,3008,3154,3212,3229,9,"{""type"":""Point"",""coordinates"":[73.92227262334347,18.5386815448847]}"
60,3490,3024,3152,3248,3248,9,"{""type"":""Point"",""coordinates"":[73.92236736040876,18.53868208535572]}"
61,3490,3068,3066,3112,3259,9,"{""type"":""Point"",""coordinates"":[73.92246209747732,18.538682625779256]}"
62,3458,3276,3232,3176,3484,9,"{""type"":""Point"",""coordinates"":[73.92255683454913,18.538683166155295]}"
63,3458,3602,3544,3418,3688,9,"{""type"":""Point"",""coordinates"":[73.9226515716242,18.538683706483845]}"
64,3733,3792,3826,3650,3916,9,"{""type"":""Point"",""coordinates"":[73.92274630870253,18.538684246764902]}"
65,546,530,576,384,505,6,"{""type"":""Point"",""coordinates"":[73.50256270130724,18.531935445661706]}"
66,546,548,624,439,577,6,"{""type"":""Point"",""coordinates"":[73.5026574189746,18.531936196319258]}"
67,509,569,642,449,604,6,"{""type"":""Point"",""coordinates"":[73.50275213664648,18.53193694692937]}"
68,509,522,604,458,572,6,"{""type"":""Point"",""coordinates"":[73.5028468543229,18.53193769749204]}"
69,481,559,599,415,561,6,"{""type"":""Point"",""coordinates"":[73.50294157200383,18.531938448007267]}"
70,481,631,598,373,498,6,"{""type"":""Point"",""coordinates"":[73.5030362896893,18.53193919847505]}"
71,450,512,560,321,383,6,"{""type"":""Point"",""coordinates"":[73.50313100737931,18.531939948895392]}"
72,450,448,469,306,327,6,"{""type"":""Point"",""coordinates"":[73.50322572507383,18.531940699268286]}"
73,426,408,415,274,367,6,"{""type"":""Point"",""coordinates"":[73.50332044277289,18.531941449593745]}"
74,426,448,508,265,440,6,"{""type"":""Point"",""coordinates"":[73.50341516047646,18.531942199871754]}"
75,440,559,558,313,506,6,"{""type"":""Point"",""coordinates"":[73.50350987818457,18.53194295010232]}"
76,440,491,551,343,462,6,"{""type"":""Point"",""coordinates"":[73.50360459589719,18.531943700285446]}"
77,475,459,498,331,377,6,"{""type"":""Point"",""coordinates"":[73.50369931361436,18.531944450421125]}"
78,475,541,481,376,394,6,"{""type"":""Point"",""coordinates"":[73.50379403133604,18.531945200509362]}"
79,468,610,536,355,454,6,"{""type"":""Point"",""coordinates"":[73.50388874906224,18.53194595055016]}"
80,468,508,597,383,516,6,"{""type"":""Point"",""coordinates"":[73.50398346679297,18.531946700543507]}"
81,465,512,573,451,509,6,"{""type"":""Point"",""coordinates"":[73.50407818452824,18.53194745048942]}"
82,465,503,602,420,498,6,"{""type"":""Point"",""coordinates"":[73.50417290226802,18.531948200387884]}"
83,545,525,634,382,545,6,"{""type"":""Point"",""coordinates"":[73.50426762001233,18.531948950238906]}"
84,546,541,591,415,510,6,"{""type"":""Point"",""coordinates"":[73.5025634882724,18.531845095316637]}"
85,546,587,591,471,565,6,"{""type"":""Point"",""coordinates"":[73.50265820589003,18.531845845970278]}"
86,509,599,579,435,566,6,"{""type"":""Point"",""coordinates"":[73.50275292351218,18.53184659657647]}"
87,509,604,584,420,579,6,"{""type"":""Point"",""coordinates"":[73.50284764113884,18.531847347135223]}"
88,481,568,606,380,534,6,"{""type"":""Point"",""coordinates"":[73.50294235877007,18.53184809764653]}"
89,481,485,603,344,503,6,"{""type"":""Point"",""coordinates"":[73.50303707640579,18.531848848110393]}"
90,450,413,572,301,472,6,"{""type"":""Point"",""coordinates"":[73.50313179404607,18.53184959852682]}"
91,450,390,504,315,360,6,"{""type"":""Point"",""coordinates"":[73.50322651169085,18.531850348895798]}"
92,426,422,486,302,312,6,"{""type"":""Point"",""coordinates"":[73.50332122934017,18.531851099217338]}"
93,426,495,495,329,419,6,"{""type"":""Point"",""coordinates"":[73.50341594699402,18.531851849491428]}"
94,440,556,542,373,477,6,"{""type"":""Point"",""coordinates"":[73.5035106646524,18.531852599718082]}"
95,440,507,545,368,425,6,"{""type"":""Point"",""coordinates"":[73.5036053823153,18.53185334989729]}"
96,475,439,535,411,406,6,"{""type"":""Point"",""coordinates"":[73.50370009998272,18.531854100029058]}"
97,475,473,534,429,424,6,"{""type"":""Point"",""coordinates"":[73.50379481765466,18.53185485011338]}"
98,468,562,521,396,450,6,"{""type"":""Point"",""coordinates"":[73.50388953533115,18.53185560015026]}"
99,468,541,611,412,541,6,"{""type"":""Point"",""coordinates"":[73.50398425301215,18.531856350139694]}"
100,465,537,615,398,506,6,"{""type"":""Point"",""coordinates"":[73.50407897069766,18.531857100081687]}"
101,465,533,606,375,519,6,"{""type"":""Point"",""coordinates"":[73.50417368838772,18.53185784997624]}"
102,545,561,660,362,585,6,"{""type"":""Point"",""coordinates"":[73.50426840608229,18.531858599823348]}"
103,567,524,587,462,546,6,"{""type"":""Point"",""coordinates"":[73.50256427523303,18.531754744970677]}"
104,567,616,608,451,523,6,"{""type"":""Point"",""coordinates"":[73.50265899280092,18.53175549562039]}"
105,512,614,625,399,499,6,"{""type"":""Point"",""coordinates"":[73.50275371037334,18.531756246222667]}"
106,512,631,637,397,542,6,"{""type"":""Point"",""coordinates"":[73.50284842795028,18.531756996777503]}"
107,503,570,614,379,534,6,"{""type"":""Point"",""coordinates"":[73.50294314553177,18.531757747284896]}"
108,503,507,555,351,544,6,"{""type"":""Point"",""coordinates"":[73.50303786311777,18.531758497744843]}"
109,482,477,532,365,513,6,"{""type"":""Point"",""coordinates"":[73.50313258070831,18.53175924815735]}"
110,482,390,495,424,427,6,"{""type"":""Point"",""coordinates"":[73.50322729830337,18.531759998522414]}"
111,450,396,444,376,374,6,"{""type"":""Point"",""coordinates"":[73.50332201590295,18.531760748840032]}"
112,450,484,455,367,421,6,"{""type"":""Point"",""coordinates"":[73.50341673350705,18.53176149911021]}"
113,463,551,507,394,474,6,"{""type"":""Point"",""coordinates"":[73.50351145111571,18.531762249332942]}"
114,463,489,501,391,457,6,"{""type"":""Point"",""coordinates"":[73.50360616872887,18.531762999508235]}"
115,521,439,503,460,428,6,"{""type"":""Point"",""coordinates"":[73.50370088634656,18.531763749636085]}"
116,521,448,562,429,427,6,"{""type"":""Point"",""coordinates"":[73.50379560396877,18.53176449971649]}"
117,551,499,521,360,472,6,"{""type"":""Point"",""coordinates"":[73.50389032159552,18.53176524974946]}"
118,551,554,587,358,580,6,"{""type"":""Point"",""coordinates"":[73.50398503922679,18.531765999734983]}"
119,566,535,654,374,524,6,"{""type"":""Point"",""coordinates"":[73.50407975686258,18.531766749673057]}"
120,566,548,574,395,549,6,"{""type"":""Point"",""coordinates"":[73.50417447450289,18.531767499563692]}"
121,614,570,561,434,593,6,"{""type"":""Point"",""coordinates"":[73.50426919214773,18.531768249406888]}"
122,567,550,598,467,534,6,"{""type"":""Point"",""coordinates"":[73.50256506218912,18.53166439462382]}"
123,567,552,632,448,535,6,"{""type"":""Point"",""coordinates"":[73.50265977970727,18.53166514526962]}"
124,512,536,656,416,546,6,"{""type"":""Point"",""coordinates"":[73.50275449722997,18.531665895867977]}"
125,512,596,638,388,552,6,"{""type"":""Point"",""coordinates"":[73.50284921475719,18.531666646418895]}"
126,503,567,560,428,528,6,"{""type"":""Point"",""coordinates"":[73.50294393228894,18.531667396922366]}"
127,503,550,498,448,481,6,"{""type"":""Point"",""coordinates"":[73.50303864982521,18.531668147378397]}"
128,482,567,470,434,434,6,"{""type"":""Point"",""coordinates"":[73.503133367366,18.531668897786986]}"
129,482,432,470,454,416,6,"{""type"":""Point"",""coordinates"":[73.50322808491133,18.53166964814813]}"
130,450,455,467,385,334,6,"{""type"":""Point"",""coordinates"":[73.50332280246118,18.531670398461834]}"
131,450,461,512,343,333,6,"{""type"":""Point"",""coordinates"":[73.50341752001557,18.531671148728098]}"
132,463,540,525,372,388,6,"{""type"":""Point"",""coordinates"":[73.50351223757448,18.531671898946914]}"
133,463,490,531,381,437,6,"{""type"":""Point"",""coordinates"":[73.50360695513791,18.531672649118292]}"
134,521,464,543,448,408,6,"{""type"":""Point"",""coordinates"":[73.50370167270587,18.531673399242226]}"
135,521,461,600,379,425,6,"{""type"":""Point"",""coordinates"":[73.50379639027837,18.531674149318718]}"
136,551,523,551,332,476,6,"{""type"":""Point"",""coordinates"":[73.50389110785537,18.531674899347767]}"
137,551,575,593,379,553,6,"{""type"":""Point"",""coordinates"":[73.5039858254369,18.531675649329372]}"
138,566,550,601,388,561,6,"{""type"":""Point"",""coordinates"":[73.50408054302297,18.53167639926354]}"
139,566,585,554,419,539,6,"{""type"":""Point"",""coordinates"":[73.50417526061355,18.53167714915026]}"
140,614,650,525,479,514,6,"{""type"":""Point"",""coordinates"":[73.50426997820865,18.53167789898954]}"
141,479,536,638,555,543,6,"{""type"":""Point"",""coordinates"":[73.5025658491407,18.53157404427607]}"
142,479,545,630,543,594,6,"{""type"":""Point"",""coordinates"":[73.50266056660912,18.531574794917955]}"
143,457,567,575,487,603,6,"{""type"":""Point"",""coordinates"":[73.50275528408208,18.531575545512393]}"
144,457,567,558,479,564,6,"{""type"":""Point"",""coordinates"":[73.50285000155958,18.53157629605939]}"
145,450,573,532,490,465,6,"{""type"":""Point"",""coordinates"":[73.50294471904158,18.531577046558947]}"
146,450,536,501,463,392,6,"{""type"":""Point"",""coordinates"":[73.50303943652811,18.53157779701106]}"
147,482,497,520,429,360,6,"{""type"":""Point"",""coordinates"":[73.50313415401918,18.53157854741573]}"
148,482,442,545,362,351,6,"{""type"":""Point"",""coordinates"":[73.50322887151478,18.531579297772957]}"
149,513,432,545,309,320,6,"{""type"":""Point"",""coordinates"":[73.5033235890149,18.53158004808275]}"
150,513,401,568,325,379,6,"{""type"":""Point"",""coordinates"":[73.50341830651955,18.531580798345093]}"
151,518,482,571,348,437,6,"{""type"":""Point"",""coordinates"":[73.50351302402873,18.531581548559995]}"
152,518,460,602,364,440,6,"{""type"":""Point"",""coordinates"":[73.50360774154244,18.531582298727454]}"
153,575,481,618,465,471,6,"{""type"":""Point"",""coordinates"":[73.50370245906066,18.531583048847473]}"
154,575,478,630,426,508,6,"{""type"":""Point"",""coordinates"":[73.50379717658342,18.53158379892005]}"
155,585,490,554,390,506,6,"{""type"":""Point"",""coordinates"":[73.50389189411068,18.531584548945183]}"
156,585,605,559,442,518,6,"{""type"":""Point"",""coordinates"":[73.5039866116425,18.531585298922874]}"
157,634,586,539,397,521,6,"{""type"":""Point"",""coordinates"":[73.50408132917883,18.531586048853125]}"
158,634,567,585,434,470,6,"{""type"":""Point"",""coordinates"":[73.50417604671968,18.531586798735933]}"
159,665,605,621,479,462,6,"{""type"":""Point"",""coordinates"":[73.50427076426504,18.5315875485713]}"
160,479,592,642,581,569,6,"{""type"":""Point"",""coordinates"":[73.50256663608774,18.53148369392742]}"
161,479,599,614,550,569,6,"{""type"":""Point"",""coordinates"":[73.50266135350644,18.53148444456539]}"
162,457,632,597,503,530,6,"{""type"":""Point"",""coordinates"":[73.50275607092965,18.53148519515591]}"
163,457,586,540,437,505,6,"{""type"":""Point"",""coordinates"":[73.50285078835742,18.53148594569899]}"
164,450,534,601,413,447,6,"{""type"":""Point"",""coordinates"":[73.5029455057897,18.531486696194627]}"
165,450,464,616,451,403,6,"{""type"":""Point"",""coordinates"":[73.50304022322649,18.53148744664282]}"
166,482,406,651,435,433,6,"{""type"":""Point"",""coordinates"":[73.50313494066783,18.531488197043576]}"
167,482,391,643,372,449,6,"{""type"":""Point"",""coordinates"":[73.5032296581137,18.531488947396888]}"
168,513,372,571,357,410,6,"{""type"":""Point"",""coordinates"":[73.50332437556409,18.53148969770276]}"
