Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.5619846614847,73.71803359499536,1727,1848,2678,1652,2131,1910,1313,2196,1699,1602,1522,2062,2060,1660,2396,2018,3034.0,2192,3104,3440,2646,1702,2330,2370,2898,2980,2070,1720,2798,2900,1800,1884,2800,5972,3838,5560,4756,3812,6124,2536,4960,7904,7592,8584,9136,6236,1462,3282,3740,4832,7252,10632,6856,3188,2692,2806,3283,4307,7276,2806,6608,3167,3060,2230,2315,1440,1300,1456,2291,1628,1382,3940,2266
18.56198530514698,73.7181283379204,1776,1767,2802,1708,1780,1900,1329,2106,1722,1574,1526,2002,1534,1700,2266,1836,3146.0,2260,2966,3448,2604,2046,2212,2344,2884,3562,1987,1760,2884,2958,1802,1854,2814,5972,3926,5568,4740,3936,6112,2530,4592,7856,7592,8600,9032,6320,1460,3184,3750,4832,7292,10592,6665,3194,2648,2639,3623,4291,7668,2702,6556,3384,2930,2288,2210,1236,1144,1474,2212,1440,1218,4002,2142
18.56198594876168,73.7182230808493,1827,1722,2732,1708,1838,1874,1249,2164,1672,1544,1532,1895,1518,1666,2096,1908,3134.0,2244,2978,3408,2364,2248,2256,2334,2884,3486,2028,1845,2850,2940,1838,1906,2852,6004,3986,5596,4664,3894,6112,2554,4416,7836,7652,8600,8944,6276,1466,3072,3720,4792,7280,10576,6332,3064,2690,2722,3761,4292,8000,2666,6488,3474,2422,2290,2039,1245,1122,1814,2156,1363,1204,4030,1979
18.5619865923288,73.71831782378206,1845,1770,2552,1592,1852,1816,1124,2288,1616,1378,1362,1842,1622,1532,2068,1898,3054.0,2192,2938,3398,2154,2073,2228,2440,2746,3496,1973,1855,2798,2912,1824,1920,2612,6040,4014,5584,4632,3886,6112,2620,4344,7904,7700,8568,8976,6232,1508,3150,3570,4784,7240,10544,5889,2964,2633,2503,3168,4301,8104,2954,6504,3405,2888,2177,2029,1257,1164,1604,2156,1474,1236,3980,1907
18.56198723584845,73.71841256671875,1772,1788,2707,1579,1841,1732,1077,2384,1577,1229,1302,1886,2138,1458,2041,2058,2908.0,2030,2924,3294,2036,2574,2402,2344,2820,3430,1862,1996,2934,3032,1858,1898,2822,6124,3926,5584,4668,3674,6112,2588,4240,7892,7628,8504,9024,6200,1548,3460,3392,4740,7232,10544,4953,3034,2541,2874,3495,4198,7188,3210,6552,3369,2678,2332,1976,1468,1320,1510,2120,1604,1386,3938,2028
18.56198787932052,73.7185073096593,1794,1686,2824,1768,1885,1538,1130,2331,1646,1249,1316,2044,1620,1620,2140,1814,2918.0,2162,2836,3216,2170,2286,2294,2338,3022,3076,1856,1908,3088,2990,1874,1936,2764,6152,3790,5548,4732,2956,6092,2686,4908,7876,7608,8584,9040,6276,1658,3694,3230,4696,7292,10472,3636,3176,2856,2763,3610,4092,7692,3321,6584,3360,2323,2321,1900,1236,1138,1924,2332,1444,1206,4012,2307
18.561988522745,73.7186020526037,1873,1455,2780,1786,1704,1305,1328,2250,1774,1572,1554,2218,1482,1627,2257,1882,3178.0,2254,2836,3096,2380,1904,2134,2236,2635,2270,1906,1750,3248,2966,1922,1960,2698,6216,3834,5568,4700,1708,6112,2729,4584,7904,7632,8576,9144,6300,2070,3726,3374,4644,7700,10392,2879,9592,2867,2586,2931,4419,7984,3168,6480,3022,2810,2262,1448,1224,1162,1932,2283,1409,1198,4090,3175
18.56189430313859,73.71803426991386,2118,1428,2497,1723,1698,1289,1366,2184,1588,1582,1626,2062,1583,1570,2058,1832,3108.0,2292,2700,2902,2392,1858,2176,2372,2090,1858,2188,1859,2636,2968,1844,1872,2522,6248,3890,5592,4656,1534,6100,2700,4556,7892,7684,8552,9072,6300,1912,3344,3420,4832,7668,10344,2568,9576,2846,2483,3112,4460,8036,2839,6452,3230,2828,2193,1389,1271,1184,1603,2275,1450,1240,4078,3389
18.5618949467974,73.71812901278903,2163,1732,2713,1678,1815,1748,1272,2150,1560,1514,1556,2020,2010,1384,1852,2010,3116.0,2222,3018,3442,2322,2386,2302,2280,1854,3156,2081,2024,2330,2874,1844,1914,2778,5924,3806,5624,4760,3892,6084,2787,4544,7856,7660,8568,9040,6284,1430,3378,3728,4828,7608,10664,6685,9480,2723,2732,3262,4445,7148,2567,6540,3244,2591,2402,2300,1494,1260,1598,2308,1497,1344,3928,2350
18.56189559040881,73.71822375566809,2180,1723,2758,1682,1698,1790,1110,2256,1534,1280,1302,1970,1528,1263,1750,1836,3208.0,2078,2994,3542,2088,2362,2242,2310,2032,3521,2094,1972,2052,2836,1864,1948,2778,6016,3920,5612,4716,4048,6132,2836,4336,7904,7640,8584,9056,6244,1422,3340,3728,4768,7672,10624,6331,9432,2640,2706,3360,4424,7628,2454,6540,3073,2432,2287,2148,1193,1058,1916,2181,1390,1172,3960,2201
18.561896233972607,73.71831849855104,2139,1642,2746,1644,1671,1816,1026,2307,1526,1204,1224,1888,1440,1626,1774,1882,3266.0,1920,3052,3510,1928,1454,2146,2198,2260,3536,2128,1600,1802,2906,1870,1936,2602,6040,3970,5560,4608,4104,6104,2732,4832,7940,7628,8576,9040,6288,1388,3406,3692,4752,7684,10608,5908,9288,2885,2585,3015,4365,7752,2473,6420,3032,2773,2232,1999,1208,1136,1780,2339,1434,1168,4124,2014
