Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.5619846614847,73.71803359499536,1806,1662,1913,1718,1610,1726,1659,1720,1953,1752,1733,2219,2341,1630,2215,2191,1786.0,2009,1660,1687,2013,2332,2336,2034,1697,1627,2525,2181,1808,1909,2260,2166,2319,5238,1989,3313,4034,1901,2677,1499,4835,1953,4304,1864,5392,4687,1881,2972,2989,3412,4907,5949,5624,1820,1825,1953,3822,3518,6368,2305,4041,2075,1761,1746,1891,1812,1857,1686,1677,1864,1843,3406,1407
18.56198530514698,73.7181283379204,1743,1662,1636,1658,1610,1726,1465,1720,1912,1616,1619,2299,1700,1630,2139,1718,1786.0,1924,1660,1687,2047,2116,1717,1791,1697,1627,2525,2109,1808,1758,2260,2166,2191,5238,1989,3311,4034,1901,2679,1499,4835,1945,4327,1864,5250,4625,1881,2805,2989,3412,4907,5949,5624,1820,1825,1871,3958,3511,6677,2305,4029,2490,1515,1689,1891,1579,1624,1676,1677,1431,1359,3416,1407
18.56198594876168,73.7182230808493,1743,1687,1636,1658,1672,1663,1465,1737,1912,1616,1619,2299,1700,1567,2139,1718,1859.0,1924,1747,1671,2047,2116,1717,1791,1805,1620,2432,2109,1850,1758,2246,2201,2191,5298,2025,3311,3973,1922,2679,1561,4457,1945,4327,1866,5250,4625,1853,2805,2921,3307,4881,5994,4372,1922,1826,1871,3958,3511,6677,2541,4029,2490,1515,1689,1891,1579,1624,1676,1702,1431,1359,3416,1398
18.5619865923288,73.71831782378206,1773,1687,1789,1645,1672,1663,1499,1737,1895,1603,1694,2322,1704,1567,2221,1897,1859.0,1889,1747,1671,2056,2111,1783,1835,1805,1620,2432,2031,1850,1793,2246,2201,2329,5298,2025,3283,3973,1922,2675,1561,4457,1958,4305,1866,5105,4575,1853,2898,2921,3307,4881,5994,4372,1922,1826,1813,2819,3461,6763,2541,3962,2552,1707,1859,1891,1342,1418,1863,1702,1384,1366,3219,1398
18.56198723584845,73.71841256671875,1773,1624,1913,1645,1666,1596,1499,1746,1895,1603,1694,2322,2341,1574,2221,2191,1913.0,1889,1849,1730,2056,2277,2336,2034,1797,1788,2399,2173,1721,1793,2279,2232,2319,5429,2044,3283,3992,1897,2675,1632,4282,1953,4304,1861,5105,4575,1866,2898,2816,3173,4876,5975,3320,1999,1845,1953,3389,3461,6368,2645,3850,2552,1469,1746,1665,1812,1857,1726,1739,1864,1843,3406,1472
18.56198787932052,73.7185073096593,1812,1624,1636,1659,1666,1596,1772,1746,1899,1709,1962,2386,1700,1630,2310,1718,1913.0,1989,1849,1730,2103,2277,1717,1791,1797,1788,2399,2173,1721,1894,2279,2232,2191,5429,2044,3256,3992,1897,2692,1499,4835,1945,4327,1861,5131,4524,1866,3168,2816,3173,4876,5975,3320,1999,1825,1871,3389,3379,6677,2645,3850,2446,1469,1689,1665,1579,1624,1726,1677,1431,1359,3416,1472
18.561988522745,73.7186020526037,1812,1459,1636,1659,1589,1478,1568,1738,1899,1668,1571,2386,1700,1630,2310,1718,1946.0,1991,1871,1779,2103,2111,1717,1791,2331,1994,2224,2031,2473,1797,2326,2287,2191,5460,2029,3294,4077,1839,2692,1499,4835,1945,4327,1868,5418,4524,1986,3168,2708,3064,5134,5911,2575,4560,1825,1871,2819,3593,6677,2378,3962,1691,1707,1689,1261,1579,1624,1863,1677,1431,1359,3416,1628
18.56189430313859,73.71803426991386,1745,1459,1789,1570,1589,1478,1411,1720,1809,1541,1443,2399,1704,1567,2241,1897,1946.0,1858,1871,1779,2117,2111,1783,1835,1789,1994,2525,2031,2007,1693,2260,2166,2329,5460,2029,3286,4077,1839,2694,1561,4457,1958,4305,1864,5217,4710,1986,3104,2708,3412,5103,5911,2575,4574,1826,1813,2819,3644,6763,2378,3962,1951,1707,1859,1261,1342,1418,1863,1702,1384,1366,3219,1628
18.5618949467974,73.71812901278903,1688,1662,1872,1514,1610,1726,1411,1720,1728,1541,1443,2628,2221,1567,2308,2114,1786.0,1858,1660,1687,2123,2277,2350,2019,1789,1627,2525,2173,2007,1693,2260,2166,2337,5238,1989,3286,4034,1901,2702,1561,4457,1952,4379,1864,5217,4664,1881,3062,2989,3412,5103,5949,5624,4574,1826,2014,3389,3644,6029,2305,3850,1951,1469,1795,1891,1729,1809,1726,1702,1828,1769,3590,1407
18.56189559040881,73.71822375566809,1688,1662,1690,1514,1610,1726,1327,1737,1728,1467,1347,2628,1673,1574,2308,1744,1786.0,1779,1660,1687,2123,2277,1677,1765,1876,1627,2432,2173,1688,1712,2246,2201,2180,5238,1989,3256,4034,1901,2702,1632,4282,1949,4423,1866,5150,4664,1881,3062,2989,3307,5025,5949,5624,4370,1845,1873,3389,3608,6743,2305,3850,1996,1469,1689,1891,1473,1551,1726,1739,1412,1296,3636,1407
