Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.610723500511092,74.0427613116359,1018,1074,1102,1102,1019,1040,1114,1094,1094,1152,1092,1118,1168,1188,1144,1226,1394.0,1328,1328,1352,1198,940,1290,1526,1078,1388,1088,1736,1162,1486,1472,1270,1500,10448,2612,2248,4050,3992,1974,1148,7876,7884,6144,5356,5516,8472,5800,1026,10408,6532,8004,1140,5508,12464,821,882,730,939,1720,1470,8060,680,889,861,1116,918,1082,924,890,1128,1278,3642,955
18.61072398235716,74.04285609205729,1005,1096,1098,1142,1013,1070,1136,1126,1094,1128,1042,1148,1180,1208,1154,1274,1352.0,1310,1338,1334,1190,976,1310,1526,1078,1396,1116,1672,1162,1484,1502,1278,1458,10472,2358,2214,3812,4192,2010,1158,7784,7920,6164,5324,5428,8464,5712,1036,10344,6532,8000,1114,5228,12496,797,898,736,951,1830,1466,8040,692,889,870,1142,912,1062,910,908,1172,1276,3758,941
18.61072446415553,74.04295087248154,1068,1146,1168,1156,1062,1124,1176,1176,1154,1114,1136,1210,1238,1274,1234,1318,1370.0,1360,1338,1358,1168,1038,1310,1502,1114,1416,1170,1650,1186,1460,1472,1248,1448,10576,2016,2164,3550,4308,2038,1170,7628,7880,6168,5332,5340,8400,5392,1068,10336,6568,8004,1122,4860,12424,829,924,739,964,1996,1454,8116,732,905,857,1178,944,1092,968,927,1168,1314,3956,954
18.6107249459062,74.04304565290872,1126,1154,1206,1182,1096,1134,1202,1164,1188,1090,1192,1260,1288,1294,1274,1346,1368.0,1390,1302,1376,1174,1086,1310,1510,1258,1392,1262,1618,1294,1480,1468,1264,1428,10720,1880,2186,3318,4260,2016,1192,7612,7912,6196,5356,5244,8400,4920,1098,10256,6552,7980,1140,4090,12472,894,932,720,967,2160,1438,8116,731,918,846,1194,969,1122,957,962,1160,1296,4112,983
18.61072542760918,74.04314043333879,1106,1190,1216,1202,1074,1184,1202,1200,1206,1052,1190,1250,1306,1294,1268,1322,1260.0,1374,1252,1356,1136,1116,1256,1518,1278,1392,1268,1622,1340,1488,1482,1264,1424,10760,1872,2250,2906,4140,2018,1198,7596,7856,6156,5384,5104,8384,4652,1110,10224,6532,8028,1162,3482,12560,904,987,705,967,2276,1414,8068,784,941,867,1182,959,1136,986,975,1166,1270,4232,976
18.610725909264463,74.04323521377177,1068,1124,1176,1176,1068,1110,1178,1158,1180,1064,1166,1218,1290,1282,1248,1306,1262.0,1350,1262,1364,1172,1102,1264,1528,1234,1400,1258,1642,1360,1532,1516,1258,1440,10704,1858,2266,2586,4132,2016,1188,7436,7860,6148,5356,5148,8312,4604,1140,10208,6548,8036,1186,2922,12496,872,999,698,953,2292,1422,8068,808,927,872,1176,984,1158,963,941,1186,1262,4308,985
18.610726390872053,74.04332999420764,1074,1124,1154,1148,1058,1096,1146,1138,1156,1090,1144,1196,1266,1234,1184,1274,1330.0,1356,1312,1392,1192,1086,1282,1550,1228,1432,1268,1616,1316,1534,1492,1274,1436,10720,1864,2280,2460,4328,2036,1160,7188,7912,6148,5384,5180,8296,4428,1116,10256,6532,8024,1182,2414,12336,876,948,723,983,2236,1498,8124,806,922,890,1170,941,1122,962,941,1136,1252,4220,947
18.61072687243194,74.04342477464641,1060,1098,1128,1108,1042,1024,1116,1078,1136,1108,1122,1138,1232,1214,1172,1214,1482.0,1318,1410,1448,1248,1021,1322,1576,1206,1472,1228,1626,1312,1538,1512,1290,1492,10696,1880,2248,2398,4328,2070,1152,6712,7860,6108,5404,4992,8232,4400,1096,10280,6532,8024,1156,2154,12296,857,951,705,965,2430,1582,8056,765,885,908,1174,927,1080,938,930,1102,1212,4038,912
18.61072735394414,74.04351955508807,1002,1094,1124,1108,1014,1034,1110,1080,1134,1076,1086,1120,1202,1172,1166,1258,1632.0,1344,1498,1534,1304,1030,1444,1604,1172,1496,1190,1690,1280,1548,1584,1282,1542,10624,1886,2222,2320,4080,2028,1152,6024,7892,6076,5416,4832,8156,4252,1130,10312,6496,8052,1164,2038,12216,844,922,682,951,2522,1644,8056,816,871,860,1154,914,1082,918,916,1130,1250,3736,939
18.610727835408603,74.04361433553264,1017,1112,1128,1136,1009,1064,1148,1100,1132,1074,1114,1196,1204,1206,1190,1314,1642.0,1360,1534,1598,1294,1060,1386,1604,1164,1484,1214,1682,1258,1550,1582,1302,1560,10584,1874,2168,2136,3926,2020,1156,5332,7868,6076,5444,4892,8068,4156,1194,10272,6520,8028,1174,1854,12136,869,872,696,952,2458,1678,7816,801,890,873,1142,933,1134,948,930,1158,1236,3472,923
18.610728316825398,74.04370911598009,1094,1132,1190,1152,1086,1126,1152,1144,1170,1028,1146,1220,1228,1244,1218,1334,1662.0,1350,1570,1604,1308,1134,1396,1594,1182,1478,1224,1600,1266,1584,1570,1314,1508,10536,1848,2126,1918,4296,2018,1166,5420,7884,6144,5444,4984,8036,4084,1184,10248,6520,8040,1212,1574,12184,905,901,709,965,2446,1720,7648,826,911,846,1198,951,1116,1002,943,1152,1210,3330,937
18.6107287981945,74.04380389643046,1058,1138,1202,1182,1070,1146,1182,1192,1178,1060,1202,1238,1256,1294,1228,1338,1666.0,1368,1512,1560,1290,1144,1348,1618,1236,1470,1218,1540,1310,1584,1576,1282,1542,10392,1860,2114,1860,4616,2012,1172,5820,7868,6164,5464,5020,7992,3962,1186,10232,6520,8080,1230,1544,12176,916,912,742,1004,2286,1786,7748,829,954,871,1192,972,1118,957,969,1144,1204,3120,968
18.610633132568182,74.04276181703308,1052,1100,1124,1102,1036,1036,1124,1054,1106,989,1102,1116,1224,1202,1178,1214,1698.0,1318,1582,1636,1304,935,1390,1622,1108,1524,1116,1506,1206,1600,1598,1288,1582,10312,1880,2230,3642,4932,2028,1160,6000,7860,6164,5332,5880,8440,3480,1028,10440,6524,7968,1126,6148,12080,814,883,709,921,1720,1446,8024,641,873,850,1138,917,1058,877,875,1060,1246,3442,885
18.61063361441174,74.04285659740442,1052,1118,1156,1134,1038,1046,1136,1086,1110,967,1116,1144,1214,1204,1178,1240,1714.0,1302,1580,1616,1344,949,1428,1616,1084,1560,1124,1490,1198,1620,1602,1318,1592,10384,1990,2188,3194,5088,2054,1172,5752,7880,6196,5324,5776,8432,3212,1042,10352,6548,7968,1098,5776,11952,804,893,705,904,1760,1428,8036,641,858,872,1136,928,1076,902,890,1100,1254,3704,896
18.6106340962076,74.04295137777865,1074,1124,1202,1172,1096,1094,1174,1106,1172,918,1174,1170,1232,1240,1228,1242,1730.0,1334,1596,1656,1360,993,1472,1642,1166,1564,1168,1532,1236,1632,1614,1328,1594,10576,2374,2164,2924,5008,2004,1188,5332,7860,6168,5356,5536,8376,3426,1038,10312,6568,7988,1102,5288,11760,814,904,724,929,1924,1398,8036,692,890,865,1182,959,1114,949,896,1140,1246,3940,924
18.61063457795577,74.04304615815579,1096,1140,1204,1146,1110,1086,1174,1132,1166,889,1184,1164,1266,1262,1238,1306,1782.0,1356,1586,1638,1376,1019,1472,1628,1208,1574,1206,1558,1278,1620,1626,1308,1594,10744,2820,2160,2852,4824,2004,1176,5428,7832,6200,5356,5416,8352,3504,1042,10256,6548,7944,1126,4744,11720,838,928,728,952,2076,1384,7992,704,869,859,1198,938,1136,932,949,1102,1236,4120,920
18.61063505965624,74.04314093853586,1112,1180,1226,1152,1102,1088,1172,1120,1150,882,1186,1176,1298,1246,1224,1268,1730.0,1350,1588,1602,1354,1040,1452,1594,1200,1566,1222,1606,1294,1584,1626,1312,1590,10736,3162,2186,2674,4712,2016,1190,6240,7852,6212,5368,5288,8312,3428,1076,10256,6548,7968,1144,3942,11632,860,922,700,954,2228,1346,7904,737,915,854,1180,946,1100,963,972,1100,1240,4304,927
18.61063554130902,74.04323571891881,1102,1164,1184,1176,1100,1106,1164,1126,1170,890,1178,1182,1272,1254,1248,1262,1606.0,1338,1516,1498,1302,1092,1378,1572,1212,1468,1260,1678,1328,1552,1578,1280,1520,10624,3540,2240,2454,4588,2036,1186,6932,7856,6196,5368,5184,8296,3194,1110,10224,6568,8028,1158,3116,11584,863,916,705,932,2352,1402,7980,786,921,864,1170,996,1126,982,969,1118,1206,4452,982
18.6106360229141,74.04333049930466,1072,1130,1162,1120,1082,1060,1148,1130,1176,902,1154,1182,1284,1228,1194,1258,1638.0,1348,1548,1576,1328,1074,1366,1584,1226,1494,1254,1650,1324,1560,1566,1286,1502,10656,3808,2280,2328,4640,2052,1158,7160,7848,6200,5384,5184,8248,3086,1096,10208,6564,8024,1168,2408,11592,883,912,695,943,2468,1456,7924,796,927,908,1214,982,1128,969,955,1112,1230,4412,937
18.610636504471398,74.04342527969341,1032,1116,1104,1086,1016,1048,1106,1062,1124,1160,1104,1144,1236,1176,1164,1224,1382.0,1312,1310,1308,1188,1024,1292,1462,1190,1352,1206,1542,1314,1366,1474,1264,1520,10656,2598,2226,2318,4108,2066,1146,7984,7920,6168,5392,5060,8168,5584,1094,10264,6524,8028,1176,2054,12272,863,956,706,936,2696,1544,7868,775,912,892,1194,929,1098,941,930,1122,1226,4244,967
18.610636985981102,74.04352006008504,1007,1070,1122,1126,1020,1074,1092,1094,1076,1126,1124,1154,1208,1184,1186,1274,1328.0,1290,1296,1234,1158,1086,1282,1430,1150,1344,1198,1522,1270,1380,1464,1274,1444,10656,2280,2160,2116,4296,2052,1180,7936,7852,6164,5416,4900,8096,5308,1146,10272,6532,8052,1198,1970,12272,875,950,721,961,2754,1602,7764,851,915,911,1172,964,1102,932,932,1122,1208,3986,948
18.610637467443173,74.04361484047959,1038,1106,1136,1182,1044,1114,1128,1166,1172,1098,1172,1216,1246,1236,1244,1360,1298.0,1356,1280,1284,1174,1204,1264,1460,1190,1342,1254,1494,1302,1408,1436,1252,1454,10496,1944,2110,2010,4364,2044,1232,7768,7868,6164,5412,4872,8056,4908,1268,10248,6540,8028,1246,1770,12304,957,926,751,1023,2654,1688,7508,907,950,882,1226,992,1132,1016,987,1146,1208,3776,977
18.61063794885747,74.04370962087702,1064,1132,1168,1148,1080,1110,1146,1128,1156,1096,1188,1222,1264,1266,1250,1360,1388.0,1382,1334,1426,1208,1180,1300,1566,1262,1396,1272,1488,1348,1528,1476,1264,1456,10432,1864,2074,1886,4396,2016,1226,7672,7868,6164,5400,4920,8032,4664,1260,10208,6504,8028,1272,1526,12536,964,922,733,1023,2454,1762,7324,897,949,859,1220,1001,1144,1030,974,1166,1222,3580,973
18.610638430224,74.04380440127737,1086,1168,1216,1144,1108,1132,1168,1166,1194,1100,1208,1244,1298,1294,1290,1352,1392.0,1360,1374,1466,1238,1166,1328,1584,1256,1440,1294,1516,1350,1572,1520,1286,1460,10360,1858,2054,1844,4324,2002,1202,7660,7856,6176,5412,5096,7992,4624,1214,10184,6520,8040,1250,1582,12440,941,951,759,1040,2272,1804,7340,869,953,852,1180,982,1094,995,967,1134,1196,3404,958
18.6105427646243,74.04276232242734,1050,1032,1118,1046,1000,962,1086,1028,1074,1130,1044,1086,1184,1152,1134,1196,1442.0,1300,1372,1468,1248,966,1332,1578,1152,1466,1142,1558,1266,1568,1564,1294,1464,10176,1860,2222,2924,4204,2028,1158,7464,7860,6200,5324,6020,8416,4688,1048,10408,6532,7928,1118,6440,12288,779,993,664,890,1706,1410,7876,598,838,852,1096,861,1013,864,813,1058,1202,3030,830
18.6105432464654,74.04285710274866,1044,1048,1110,1036,1006,961,1080,1012,1064,1146,1080,1084,1156,1158,1142,1198,1468.0,1292,1402,1510,1248,953,1338,1590,1118,1456,1148,1636,1210,1560,1542,1314,1454,10296,1848,2232,2654,4356,2004,1154,7228,7924,6212,5352,5856,8384,4560,1018,10344,6552,7960,1080,6176,12120,772,993,681,874,1700,1422,7920,621,839,880,1086,882,1001,852,829,1054,1188,3398,841
18.61054372825879,74.04295188307289,1062,1070,1158,1102,1060,998,1144,1042,1098,1164,1122,1156,1204,1170,1192,1230,1464.0,1312,1376,1482,1266,985,1364,1604,1154,1480,1186,1650,1248,1588,1554,1294,1478,10560,1874,2164,2566,4520,1966,1166,6784,7860,6224,5352,5584,8336,4552,1058,10312,6548,7928,1084,5612,12120,800,967,700,890,1870,1386,7840,661,834,908,1126,912,1036,867,834,1084,1198,3752,874
18.6105442100044,74.0430466634,1062,1114,1174,1094,1068,1020,1136,1086,1126,1158,1136,1132,1224,1192,1210,1236,1584.0,1334,1460,1516,1306,980,1412,1614,1178,1512,1180,1626,1274,1572,1558,1294,1530,10656,1886,2174,2534,4376,1942,1168,6080,7924,6212,5356,5428,8352,4376,1062,10280,6548,8000,1094,5132,11992,803,927,726,948,2058,1354,7792,652,841,904,1142,889,1088,882,893,1072,1190,3940,889
18.610544691702422,74.04314144373001,1062,1112,1144,1086,1066,1024,1120,1066,1116,1120,1142,1132,1236,1202,1210,1208,1656.0,1324,1522,1616,1286,998,1402,1638,1158,1550,1170,1538,1258,1562,1546,1302,1572,10720,1854,2204,2382,4140,1960,1176,5184,7912,6216,5368,5288,8280,4244,1064,10280,6552,7988,1132,4320,11872,821,902,717,907,2228,1342,7724,688,888,888,1176,893,1064,892,913,1104,1194,4144,896
18.61054517335269,74.04323622406295,1066,1116,1148,1088,1046,1032,1116,1074,1124,1092,1144,1140,1182,1198,1210,1214,1684.0,1312,1516,1664,1306,1036,1392,1622,1188,1520,1192,1550,1274,1598,1554,1276,1560,10696,1820,2244,2180,4304,1974,1172,5324,7880,6244,5392,5244,8248,4094,1064,10280,6532,8004,1138,3554,11904,864,896,695,912,2450,1378,7724,758,904,865,1180,942,1062,907,905,1082,1192,4364,909
18.61054565495527,74.04333100439878,1090,1096,1132,1100,1058,1012,1138,1090,1138,1066,1146,1140,1212,1202,1180,1218,1682.0,1316,1544,1622,1316,1034,1392,1600,1194,1544,1214,1506,1312,1614,1594,1296,1550,10656,1834,2260,2066,4644,1992,1138,5768,7912,6248,5368,5324,8216,3898,1076,10272,6552,7980,1136,2674,11944,872,899,683,913,2642,1446,7724,771,897,883,1168,952,1088,924,932,1098,1206,4424,915
18.61054613651015,74.04342578473751,1016,1094,1088,1114,1004,1028,1096,1074,1110,981,1094,1138,1214,1194,1192,1250,1650.0,1306,1554,1564,1302,1050,1398,1582,1174,1506,1206,1494,1304,1592,1592,1296,1532,10536,1838,2188,2030,4864,2042,1174,5980,7884,6224,5380,5288,8168,3536,1110,10280,6548,8004,1178,2232,11904,880,874,734,947,2790,1560,7624,791,935,883,1178,941,1116,951,921,1116,1206,4348,949
18.610546618017327,74.04352056507912,1005,1108,1102,1132,1017,1078,1126,1108,1088,949,1110,1204,1214,1242,1178,1316,1638.0,1342,1506,1564,1306,1086,1392,1586,1180,1482,1206,1534,1278,1584,1572,1302,1540,10536,1930,2174,1932,5060,2058,1216,5732,7860,6164,5420,5084,8076,3128,1142,10272,6564,8068,1204,2160,11808,895,882,760,958,2808,1642,7404,836,989,865,1160,978,1118,994,942,1148,1208,4096,952
18.6105470994768,74.04361534542362,1062,1150,1176,1174,1100,1124,1182,1190,1164,956,1194,1258,1272,1310,1294,1394,1646.0,1388,1542,1566,1278,1242,1404,1590,1246,1520,1298,1572,1342,1560,1592,1302,1532,10432,2186,2136,1968,4948,2040,1290,5584,7848,6148,5412,5080,8076,3206,1304,10272,6528,8028,1346,2132,11712,1042,913,857,1044,2700,1720,7188,944,1018,870,1238,1026,1140,1058,1036,1176,1218,3848,976
18.61054758088862,74.04371012577107,1090,1116,1176,1148,1076,1094,1144,1142,1182,946,1214,1224,1306,1310,1284,1354,1690.0,1376,1528,1582,1282,1232,1414,1540,1312,1504,1322,1636,1412,1538,1576,1296,1558,10360,2554,2068,1870,4844,2044,1264,5860,7852,6164,5384,5244,8096,3484,1272,10248,6544,8012,1346,1916,11664,1034,909,839,1090,2490,1754,7152,938,960,870,1256,1013,1176,1009,955,1128,1206,3652,980
18.610548062252718,74.04380490612138,1086,1144,1154,1162,1096,1076,1146,1148,1160,937,1186,1226,1266,1274,1236,1342,1634.0,1350,1508,1566,1298,1170,1404,1526,1276,1494,1290,1614,1360,1544,1554,1302,1560,10360,2996,2092,1836,4684,1990,1216,6452,7860,6196,5392,5280,8060,3558,1232,10144,6504,8068,1290,2080,11520,988,916,802,1064,2278,1804,7172,886,946,874,1192,984,1140,1006,974,1126,1188,3554,967
