Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.610723500511092,74.0427613116359,1699,1798,1794,1779,1764,1802,1743,1910,1794,1988,1805,1880,1988,1949,1910,1994,2170.0,1968,2130,2184,1992,1667,2100,2322,1856,2188,1802,2586,1880,2226,2196,1754,2422,9008,3194,3222,4184,4792,3022,2186,7060,8256,7056,5412,5448,7584,5772,2444,9088,6108,7640,2756,5416,10360,2150,3376,1717,2249,2392,2256,7348,1695,2024,3182,1999,2091,2060,1865,1919,1964,2098,3360,1882
18.61072398235716,74.04285609205729,1627,1807,1744,1782,1697,1820,1788,1933,1763,1976,1770,1868,1942,1948,1910,2032,2178.0,2002,2108,2096,1972,1720,2082,2296,1808,2184,1772,2596,1836,2188,2206,1740,2416,9064,2836,3210,4020,4896,3054,2218,6964,8240,7128,5412,5444,7540,5772,2396,9040,6080,7656,2668,5328,10320,2081,3175,1704,2161,2566,2294,7376,1709,1964,3096,1917,1980,2016,1865,1863,1969,2032,3426,1842
18.61072446415553,74.04295087248154,1672,1863,1772,1816,1726,1876,1819,1983,1830,1956,1828,1919,1978,2009,1979,2062,2176.0,2016,2122,2094,1974,1773,2066,2310,1852,2166,1824,2544,1880,2252,2192,1746,2542,9120,2334,3198,3828,4996,3020,2246,6872,8224,7164,5424,5400,7452,5712,2388,8968,6084,7648,2626,5049,10296,2091,3124,1682,2186,2656,2297,7412,1721,1916,3064,1936,1999,2032,1834,1888,2004,2060,3496,1841
18.6107249459062,74.04304565290872,1714,1841,1777,1816,1749,1845,1848,1963,1841,1940,1883,1951,2036,1995,2008,2037,2220.0,2000,2172,2226,2036,1828,2096,2346,1942,2216,1870,2446,1940,2318,2242,1776,2486,9304,2114,3250,3658,5080,3006,2258,6820,8180,7132,5400,5240,7416,5460,2398,8928,6108,7640,2568,4408,10384,2068,3208,1635,2111,2740,2225,7428,1729,1921,3024,1876,1927,1976,1806,1824,1982,2048,3620,1823
18.61072542760918,74.04314043333879,1670,1831,1738,1793,1773,1876,1817,1956,1817,1908,1830,1949,2025,1994,1970,2060,2156.0,2000,2104,2225,2040,1830,2100,2406,1942,2242,1944,2436,1960,2348,2270,1776,2432,9360,2120,3306,3206,4984,2990,2244,6732,8224,7104,5424,5152,7416,5260,2444,8928,6144,7640,2604,4041,10504,2057,3000,1522,2121,2702,2210,7432,1736,1885,2900,1855,1953,1954,1839,1853,1960,1990,3740,1796
18.610725909264463,74.04323521377177,1632,1771,1718,1778,1702,1809,1804,1964,1780,1926,1802,1911,2020,1956,1983,2024,2142.0,2002,2122,2232,2036,1858,2086,2398,1932,2276,1908,2462,1938,2380,2302,1792,2486,9192,2106,3328,3008,4896,2990,2198,6724,8208,7132,5424,5228,7364,5260,2490,8968,6092,7640,2626,3730,10400,2036,2972,1451,2078,2644,2242,7364,1710,1831,2742,1792,1896,1898,1798,1791,1907,1976,3764,1772
18.610726390872053,74.04332999420764,1605,1717,1751,1743,1686,1738,1744,1891,1738,1973,1804,1857,1978,1927,1916,1973,2214.0,1990,2156,2264,2036,1804,2116,2436,1924,2289,1906,2442,1932,2415,2308,1786,2398,9192,2086,3308,2902,4944,2984,2154,6608,8232,7120,5424,5224,7328,5152,2472,8976,6144,7700,2662,3286,10216,2045,2908,1527,2047,2612,2272,7412,1728,1859,2740,1833,1909,1898,1748,1802,1895,1982,3686,1775
18.61072687243194,74.04342477464641,1632,1712,1766,1676,1691,1700,1730,1850,1726,1976,1803,1802,1951,1890,1908,1951,2464.0,1968,2322,2372,2142,1738,2164,2514,1880,2374,1868,2500,1932,2472,2382,1814,2414,9192,2132,3328,2790,5124,3018,2154,6328,8280,7056,5448,5036,7304,5064,2544,9032,6144,7692,2752,3007,10160,2116,2886,1621,2128,2658,2340,7484,1794,1855,2812,1863,1984,1930,1764,1829,1936,1950,3450,1782
18.61072735394414,74.04351955508807,1676,1744,1764,1737,1720,1771,1768,1895,1737,2000,1780,1848,1966,1917,1965,2058,2668.0,1980,2470,2580,2264,1860,2296,2556,1894,2513,1918,2530,1946,2562,2468,1852,2496,9168,2148,3306,2750,5052,3032,2244,5912,8200,7060,5468,4920,7232,4996,2622,9104,6100,7660,2768,2842,10072,2121,3079,1577,2161,2666,2410,7432,1802,1876,2856,1881,1935,1940,1798,1844,1875,1964,3128,1807
18.610727835408603,74.04361433553264,1700,1843,1802,1810,1796,1839,1854,1971,1802,1970,1874,1982,2030,2036,2060,2165,2698.0,2052,2540,2693,2214,1969,2272,2522,1960,2436,1947,2554,2010,2518,2414,1830,2504,9080,2128,3248,2610,4776,3032,2270,5260,8208,7096,5460,4940,7144,4900,2644,9032,6120,7692,2722,2608,9928,2090,3150,1595,2160,2662,2438,7272,1784,1869,2842,1851,1905,1964,1798,1820,1886,1998,2924,1794
18.610728316825398,74.04370911598009,1749,1919,1836,1861,1838,1876,1945,2009,1876,2016,1933,2011,2074,2100,2053,2156,2706.0,2056,2576,2658,2238,1977,2234,2492,1992,2374,2036,2524,2076,2494,2392,1806,2524,9016,2108,3196,2484,4792,2994,2220,5124,8200,7168,5500,4996,7132,4868,2590,9024,6084,7692,2648,2330,9960,2077,3206,1541,2093,2614,2481,7292,1792,1928,2844,1854,1963,1992,1820,1868,1888,1974,2770,1810
18.6107287981945,74.04380389643046,1768,1910,1836,1863,1843,1910,1922,2029,1920,2004,1966,2058,2117,2082,2100,2169,2640.0,2086,2518,2624,2170,2024,2196,2496,2050,2352,2074,2502,2112,2486,2392,1814,2514,8920,2116,3216,2418,5000,2910,2210,5384,8200,7208,5492,4952,7084,4792,2500,8960,6092,7684,2570,2271,9992,2050,3239,1553,2092,2502,2557,7324,1814,1936,2852,1952,2023,1998,1791,1874,1897,1970,2652,1799
18.610633132568182,74.04276181703308,1722,1786,1783,1728,1776,1714,1778,1857,1770,1974,1802,1877,1992,1941,1942,1981,2754.0,1960,2622,2730,2316,1682,2226,2578,1870,2374,1840,2338,1894,2554,2424,1824,2508,8808,2154,3212,3828,5224,3010,2268,5528,8232,7132,5372,5832,7564,4604,2562,9048,6168,7632,2762,5925,9928,2077,3381,1608,2194,2354,2238,7304,1590,1948,2819,1895,2013,1976,1744,1815,1796,1952,3360,1779
18.61063361441174,74.04285659740442,1694,1805,1790,1764,1781,1746,1792,1864,1744,1932,1802,1839,1998,1940,1910,2026,2814.0,1974,2668,2770,2382,1715,2360,2574,1830,2536,1836,2236,1870,2556,2454,1846,2546,8928,2298,3186,3514,5420,3032,2204,5436,8232,7152,5392,5744,7496,4304,2396,8976,6144,7632,2634,5716,9864,2074,3416,1661,2132,2468,2230,7340,1606,1936,2840,1949,1935,1950,1756,1834,1850,1932,3500,1787
18.6106340962076,74.04295137777865,1726,1885,1822,1806,1768,1799,1820,1908,1788,1896,1830,1865,2030,1980,1994,2042,2900.0,1984,2702,2806,2442,1776,2416,2608,1872,2635,1876,2316,1910,2622,2544,1872,2592,9144,2774,3132,3354,5448,3006,2268,5140,8208,7176,5424,5604,7396,4280,2452,8944,6092,7660,2652,5444,9704,2096,3404,1704,2205,2632,2248,7412,1731,1967,3028,1886,2010,2040,1771,1890,1937,1994,3630,1835
18.61063457795577,74.04304615815579,1758,1860,1790,1767,1792,1785,1830,1912,1810,1882,1851,1873,2020,1982,2020,2014,2978.0,1984,2734,2792,2464,1740,2482,2612,1924,2674,1922,2428,1932,2645,2568,1902,2584,9224,3316,3196,3232,5356,2974,2282,5080,8180,7176,5424,5384,7440,4372,2488,8936,6100,7648,2602,4924,9640,2120,3230,1642,2171,2780,2184,7396,1736,1956,2944,1910,1968,1988,1781,1866,1924,2006,3754,1839
18.61063505965624,74.04314093853586,1732,1845,1779,1761,1812,1818,1814,1892,1797,1892,1854,1882,2040,1952,1980,2002,2876.0,1986,2702,2731,2464,1800,2476,2578,1938,2602,1898,2534,1976,2578,2490,1872,2524,9192,3728,3250,3008,5308,2978,2232,5464,8232,7148,5412,5272,7364,4384,2410,8888,6100,7632,2580,4320,9552,2043,3208,1540,2150,2814,2172,7376,1736,1917,2823,1842,1919,1990,1779,1831,1902,1950,3862,1801
18.61063554130902,74.04323571891881,1704,1875,1806,1815,1742,1826,1844,1911,1802,1888,1854,1882,2030,1954,1965,2015,2710.0,1990,2566,2568,2264,1848,2336,2452,1932,2431,1924,2520,1968,2420,2380,1798,2450,9096,4120,3266,2858,5240,3020,2194,5880,8160,7152,5412,5260,7352,4300,2418,8904,6108,7632,2562,3702,9496,1956,3208,1409,2036,2712,2170,7388,1700,1881,2768,1824,1886,1966,1720,1825,1869,1938,3880,1774
18.6106360229141,74.04333049930466,1644,1731,1748,1701,1693,1756,1774,1852,1764,1871,1810,1844,1992,1963,1916,1996,2744.0,1958,2566,2671,2260,1798,2262,2532,1908,2396,1924,2524,1944,2457,2388,1806,2452,9144,4392,3222,2790,5132,2974,2156,6036,8172,7164,5424,5192,7328,4268,2410,8944,6144,7632,2490,3074,9456,1964,3457,1396,1968,2678,2224,7396,1647,1801,2759,1772,1861,1842,1664,1742,1765,1890,3790,1713
18.610636504471398,74.04342527969341,1574,1716,1726,1676,1705,1711,1724,1820,1718,1976,1761,1839,1936,1904,1892,2003,2114.0,1966,2060,2080,1886,1810,2032,2198,1858,2104,1876,2374,1948,2070,2158,1716,2336,9160,3168,3198,2742,4840,2990,2160,7108,8232,7100,5424,5036,7304,5728,2454,8952,6152,7632,2496,2732,10088,1993,3241,1494,1941,2818,2280,7412,1770,1808,3156,1775,1877,1880,1710,1766,1810,1872,3660,1743
18.610636985981102,74.04352006008504,1606,1695,1698,1738,1670,1800,1752,1886,1754,1936,1786,1911,1939,1936,1904,2115,2062.0,2032,2006,1960,1832,1891,1980,2196,1864,2009,1926,2292,1924,2062,2122,1682,2374,9112,2774,3174,2570,4888,2980,2210,7028,8240,7056,5440,4904,7240,5668,2524,9040,6108,7656,2578,2722,9992,2003,3152,1510,1984,2884,2358,7264,1723,1828,3152,1788,1848,1902,1719,1752,1860,1954,3396,1764
18.610637467443173,74.04361484047959,1720,1837,1792,1824,1777,1872,1792,2002,1830,1919,1894,1998,2014,2060,2054,2130,2094.0,2070,2030,2028,1804,2032,1980,2234,1986,2029,2030,2210,2010,2129,2092,1672,2478,9024,2256,3128,2486,5024,2966,2188,6924,8232,7116,5472,4876,7216,5412,2358,8944,6120,7672,2522,2406,10144,2008,3160,1540,2030,2894,2416,7104,1730,1844,3160,1781,1860,1904,1694,1859,1798,1926,3172,1718
18.61063794885747,74.04370962087702,1772,1882,1830,1808,1835,1836,1866,1941,1842,1956,1923,1952,2061,2014,2062,2072,2232.0,2040,2120,2272,1990,1932,2034,2388,2030,2146,2031,2168,2092,2382,2204,1732,2546,8960,2106,3088,2338,5128,2972,2128,6864,8200,7144,5472,4908,7172,5260,2226,8904,6080,7684,2408,2102,10296,1989,3340,1540,2083,2820,2483,7084,1714,1876,3206,1792,1920,1874,1677,1756,1731,1858,3032,1732
