Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.610723500511092,74.0427613116359,1352,1420,1434,1438,1358,1408,1458,1470,1464,1558,1466,1512,1616,1600,1558,1616,1856.0,1644,1742,1852,1604,1332,1704,1948,1502,1918,1484,2316,1576,1976,1910,1480,1672,9664,2388,2712,3894,3802,1948,1174,7316,7944,6484,5140,5504,8096,5552,1009,9800,6344,7608,954,5748,12064,819,742,678,888,1636,1402,6948,672,898,603,1190,1044,1256,1170,1194,1350,1478,3190,1302
18.61072398235716,74.04285609205729,1300,1404,1416,1462,1334,1448,1468,1498,1432,1558,1434,1572,1562,1596,1558,1698,1870.0,1660,1768,1848,1584,1374,1730,1904,1484,1870,1482,2324,1542,1950,1894,1470,1610,9680,2172,2670,3714,3942,1968,1204,7256,7960,6484,5168,5400,8096,5428,1048,9768,6312,7612,980,5460,12008,866,792,695,964,1644,1388,7000,705,897,616,1222,1050,1232,1188,1204,1372,1478,3370,1252
18.61072446415553,74.04295087248154,1338,1490,1478,1508,1404,1512,1488,1566,1498,1538,1512,1648,1654,1682,1656,1782,1886.0,1688,1748,1842,1602,1480,1692,1880,1550,1872,1544,2282,1622,1948,1868,1468,1480,9880,1836,2656,3410,4014,1986,1244,7108,7960,6496,5172,5272,8048,5128,1118,9648,6312,7608,1058,4960,11960,905,789,711,971,1700,1354,7088,757,924,622,1282,1106,1322,1244,1274,1388,1510,3560,1300
18.6107249459062,74.04304565290872,1408,1520,1528,1520,1474,1494,1534,1566,1528,1518,1554,1696,1720,1750,1710,1740,1886.0,1714,1714,1890,1592,1500,1714,1942,1654,1918,1648,2222,1716,1984,1888,1468,1504,10048,1742,2648,3120,3992,1976,1292,7140,7968,6496,5168,5172,7964,4640,1174,9592,6292,7656,1140,4364,11720,969,791,720,984,1874,1332,7160,754,935,634,1280,1148,1334,1244,1244,1384,1504,3840,1300
18.61072542760918,74.04314043333879,1372,1534,1518,1524,1440,1548,1514,1592,1560,1512,1600,1650,1712,1708,1714,1776,1804.0,1764,1674,1886,1524,1550,1666,1976,1694,1882,1696,2192,1738,2034,1884,1460,1510,10192,1744,2670,2978,3934,2004,1316,7044,7940,6496,5176,4984,7960,4476,1202,9616,6332,7656,1158,3676,11824,969,932,695,1026,2032,1344,7108,827,983,657,1300,1130,1318,1252,1268,1388,1476,3982,1312
18.610725909264463,74.04323521377177,1346,1510,1490,1488,1394,1504,1502,1574,1532,1512,1540,1660,1694,1682,1686,1786,1798.0,1738,1700,1904,1560,1570,1664,1964,1684,1908,1686,2214,1748,2086,1900,1474,1542,10096,1744,2702,2702,4050,2012,1322,6876,7972,6532,5196,4900,7948,4260,1194,9600,6388,7640,1170,2946,11688,1002,929,705,1030,2230,1372,7060,898,1003,698,1288,1146,1352,1260,1238,1410,1450,4108,1284
18.610726390872053,74.04332999420764,1326,1420,1454,1478,1374,1428,1466,1550,1510,1522,1504,1628,1672,1688,1658,1742,1848.0,1734,1754,1940,1598,1510,1708,1976,1634,1918,1664,2162,1766,2082,1914,1498,1588,10048,1722,2754,2510,4112,2012,1292,6540,7960,6532,5200,4940,7852,4092,1204,9616,6388,7652,1134,2210,11624,949,856,704,1026,2432,1418,6992,901,966,756,1252,1104,1324,1208,1252,1412,1440,4164,1266
18.61072687243194,74.04342477464641,1322,1448,1454,1438,1388,1420,1446,1494,1500,1534,1520,1588,1666,1650,1604,1686,2022.0,1706,1822,1958,1654,1514,1762,2050,1610,2024,1646,2194,1742,2122,1974,1482,1748,10072,1738,2732,2432,3960,2028,1244,5952,7992,6508,5216,4872,7912,3970,1180,9632,6348,7652,1084,1952,11512,890,814,669,948,2598,1512,6984,858,929,742,1240,1086,1306,1202,1202,1414,1438,4050,1236
18.61072735394414,74.04351955508807,1346,1434,1478,1454,1404,1430,1488,1520,1476,1556,1518,1610,1660,1666,1660,1806,2218.0,1710,2054,2144,1738,1580,1896,2112,1610,2120,1656,2200,1712,2226,2042,1518,1810,10048,1742,2710,2386,3718,2040,1300,5348,7944,6476,5252,4676,7828,3916,1216,9648,6312,7652,1088,1844,11520,926,710,662,946,2696,1582,6832,924,946,722,1242,1116,1308,1230,1214,1418,1434,3864,1250
18.610727835408603,74.04361433553264,1386,1472,1482,1526,1434,1508,1580,1598,1526,1550,1584,1686,1682,1744,1708,1794,2278.0,1744,2064,2246,1750,1660,1838,2098,1638,2082,1704,2290,1754,2178,2050,1516,1804,9912,1768,2674,2206,4084,2028,1322,5080,7944,6484,5244,4612,7716,3838,1340,9640,6284,7716,1134,1636,11672,982,673,710,1014,2662,1632,6676,950,972,688,1276,1136,1294,1264,1244,1434,1458,3662,1236
