Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.1635949828967,73.70877726164547,2553,2893,2799,2855,1676,1866,1820,3406,3132,1875,2713,2031,3628,2279,2415,2573,2544,2624,2450,3128,3096,2195,2642,2846,3178,3249,2798,2862,2996,3034,2792,2286,3230,8392,6060,5944,7320,7544,11408,3570,4072,8552,8128.0,5220,5416,9720,5644,10840,6600,7172,5244,10168,1700,6800,3108,3106,5040,2994,4428,5220,6592,2938,2236.0,2785,2696,2741,3946,2868,2523,2778,2568,3378,2944
18.163595617792698,73.70887178712427,2540,3053,3028,2496,1923,2003,1891,3094,2762,1848,3029,1835,3638,2186,2478,2439,2740,2652,2706,3516,3532,2234,2812,2784,3498,3653,2512,2888,3022,2956,2822,2266,3298,8376,6136,5960,7320,7608,11320,3416,3978,8624,8100.0,5224,5380,9688,5644,10840,6572,7184,5220,10128,1914,6820,3392,3137,5109,2965,4400,5247,6568,2984,2462.0,3066,2924,2722,3138,2977,2612,2602,2080,3264,2784
18.16359625264225,73.70896631260696,2684,2319,2454,2250,1865,1942,1807,2889,2913,1860,2618,1907,3184,2069,2300,2270,2488,2512,2608,3422,3228,2589,2856,2632,3542,3540,3122,2734,3034,2810,2700,2264,3156,8424,6080,5992,7368,7692,11296,3352,3792,8600,8116.0,5264,5328,9672,5680,10840,6608,7172,5216,10128,2060,6884,2772,3151,5356,2924,4364,5140,6584,3128,2500.0,3006,3016,2734,3152,3018,2640,2928,2058,3650,2591
18.1635968874453,73.7090608380935,2455,2561,2348,2402,1673,1772,1655,2679,3162,1717,2438,1947,3316,2060,2120,2338,2210,2304,2236,2919,3046,2490,2490,2462,3352,3428,3350,2532,2666,2630,2536,2154,2884,8392,6168,6000,7464,7516,11312,3264,3702,8576,8164.0,5308,5260,9664,5624,10896,6524,7188,5268,10192,2316,6900,2918,3137,5160,3017,4404,5220,6520,3035,2562.0,2749,2923,2308,3008,2773,2541,2922,2016,3584,2294
18.16359752220193,73.70915536358393,1987,2406,2399,2858,1875,1794,1767,2876,3138,1745,2357,1955,3306,2132,2196,2315,2228,2332,2232,2807,2900,2204,2412,2578,3209,3110,2894,2618,2542,2740,2476,2120,2986,8392,6168,5992,7396,7432,11272,3362,3740,8600,8148.0,5296,5180,9552,5712,10944,6552,7176,5292,10088,2808,6908,2949,3104,5088,3122,4428,5248,6520,2825,2730.0,2834,2972,2225,2940,2917,2585,2854,1926,3426,3062
18.16350271614975,73.7084943495511,2684,3015,2888,2564,1544,1623,1432,3094,2746,2073,2755,2768,3209,3078,3430,3384,3418,3024,3096,3182,3152,2260,3130,3130,3372,3588,2684,3110,3264,3260,2922,2302,3320,8336,6132,5932,7232,7320,11320,3398,4248,8624,8112.0,5268,5460,9672,5664,11016,6564,7128,5204,10312,1510,6932,2685,3404,4928,3183,4408,5228,6660,3198,2732.0,3064,3458,2724,2924,3064,2626,2596,1898,3274,3031
18.163503351181,73.70858887496969,2874,3241,3064,2886,1754,1661,1614,3382,2918,1938,3077,2513,3520,3124,3200,3230,3188,3090,3108,3300,3420,2088,3086,2932,3554,3646,2596,2962,3242,3062,2862,2300,3252,8328,6076,5928,7256,7436,11288,3260,4220,8600,8096.0,5268,5416,9704,5660,11080,6608,7128,5244,10208,1563,6960,2545,3248,5577,2896,4428,5052,6640,2956,2554.0,2776,3726,2902,3354,2700,2585,2464,2162,3218,3299
18.163503986167,73.70868340039216,2866,3250,3142,2436,1984,1693,1741,3166,2906,1766,3052,1990,3806,2386,2648,2678,2740,2784,2706,3345,3500,2142,2812,2824,3562,3514,2578,2856,3062,2976,2800,2230,3232,8416,6084,5956,7276,7472,11312,3338,4064,8576,8112.0,5236,5420,9696,5688,11024,6612,7160,5244,10136,1782,6968,2697,3094,5400,2786,4428,4845,6640,2734,2454.0,2848,3602,3050,3480,2829,2242,2678,2160,3234,2768
18.163504621106238,73.7087779258185,2917,3296,3118,2654,2076,1743,1761,3266,2965,1718,2986,1854,3938,2066,2274,2489,2496,2482,2532,3007,3328,2088,2718,2664,3608,3540,2630,2758,2916,3008,2746,2258,3116,8376,6172,5952,7320,7476,11336,3264,3986,8608,8124.0,5228,5372,9688,5680,11024,6596,7144,5228,10136,1836,6984,2977,2993,5228,2587,4408,4700,6552,2682,2472.0,2980,3312,2894,3902,2952,2424,2737,2470,3208,2775
18.1635052559988,73.70887245124871,2976,3409,3278,2928,1971,1749,1772,2952,2622,1772,3283,1891,3540,2049,2230,2272,2322,2372,2410,3348,3244,2108,2590,2624,3510,3602,2640,2690,2798,2784,2624,2186,3018,8376,6268,5988,7320,7596,11472,3132,3792,8600,8116.0,5248,5336,9608,5700,10800,6612,7172,5244,10136,1841,6992,3116,3105,5112,2573,4408,4656,6584,2799,2396.0,2756,3484,2714,3204,2770,2532,2523,2086,3096,2920
