Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.51634331010512,73.90356174381591,955,964,1052,1190,798,1102,963,1196,1122,1114,1196,1468,1304,1310,1214,1392,1268.0,1334,1322,1438,1428,1306,1294,1566,1494,1610,1662,1772,1548,1212,1692,1478,1904,9112,1708,4312,8656,4288,2426,1768,7220,8076,5656,7084,2314,7744,2540,2304,7012,5744,5376,14408,1040,13688,1390,1438,1260,1914,4100,3772,4244,1276,1312,1190,1862,1030,1224,1266,1194,1780,1196,12576,951
18.51634385932078,73.90365646798809,917,875,839,1028,713,1104,871,1204,1088,1018,1090,1176,1302,1140,1092,1260,1160.0,1342,1308,1334,1436,1416,1494,1450,1518,1636,1550,1542,1584,1540,1774,1524,1716,9016,1618,4340,8624,4160,2290,1574,7084,8076,5692,7100,2304,7744,2686,2440,7040,5732,5392,14376,885,13504,1368,1416,1168,1956,4112,3714,4168,1318,1072,1196,1732,965,1186,1256,1094,1700,1162,12536,989
18.51634440848901,73.90375119216361,788,819,725,1076,639,1104,913,1254,814,1026,1022,1222,778,888,1108,1230,788.0,1262,991,1230,1352,1494,1010,1602,1012,1400,1472,1330,1386,2294,1308,1470,2008,9016,1502,4352,8696,4008,2296,1436,6916,8100,5728,7064,2198,7668,2778,2512,6988,5756,5360,14368,849,13280,919,1204,895,1674,4080,3964,4208,1300,1114,1072,1712,862,1178,1088,1028,1650,1040,12512,927
18.516344957609807,73.90384591634245,832,872,925,1132,745,1090,959,1290,979,1136,1100,1304,977,1038,1244,1250,993.0,1312,1172,1318,1332,1578,1202,1650,1340,1626,1802,1588,1696,2310,1508,1528,2266,9072,1586,4344,8760,3948,2366,1682,6828,8100,5760,7056,2266,7636,3122,2498,7012,5744,5372,14408,1098,13136,1172,1444,1162,1770,4042,4062,4108,1440,1282,1246,1870,1042,1306,1164,1122,1896,1160,12352,1126
18.51285160501423,73.92499206786172,1272,1336,1372,1262,1368,1284,912,1376,1354,1404,1106,1314,1472,1262,1116,1326,1584.0,1412,1478,1522,1418,1646,1650,1516,1946,1888,1484,1848,1552,1692,1794,2192,1794,9056,2304,4058,10416,4276,2740,1744,2764,8080,7492,7088,7052,9240,1736,2306,7000,6828,5464,14368,2812,12568,1754,1828,1762,2100,4018,2082,4140,1528,1438,1488,2040,1534,1614,1490,1406,1818,1670,7720,1482
18.5128521433982,73.92508679078753,1284,1234,1256,1158,1212,1178,913,1150,1166,1150,1046,1196,1272,1180,1114,1250,1476.0,1372,1428,1338,1406,1486,1554,1630,1924,1642,1404,1708,1512,1838,1692,2192,1762,9032,2254,4030,10360,4152,2692,1718,2688,8076,7456,7124,7172,9304,1622,2140,7096,6836,5428,14240,2336,12488,1514,1578,1540,1904,4034,2502,4192,1336,1290,1218,1760,1288,1346,1350,1228,1674,1540,7772,1116
18.51285268173485,73.92518151371657,1118,1114,1148,1110,1048,1158,1018,1182,1168,1154,1128,1248,1272,1262,1190,1334,1514.0,1428,1402,1418,1440,1738,1502,1784,1816,1748,1462,1804,1390,1508,1736,2192,1964,9056,2280,4072,10448,4002,2712,1852,2718,8080,7404,7124,7192,9288,1660,2346,7076,6816,5424,14064,2236,12496,1566,1486,1520,1816,4052,3078,4208,1366,1256,1182,1750,1236,1332,1394,1252,1700,1476,7792,1090
18.51285322002403,73.92527623664884,961,898,1001,1042,680,977,959,1106,1028,902,1148,1072,1230,1020,1248,1294,1354.0,1318,1270,1502,1482,1810,1560,1628,1880,1900,1770,1814,1670,1622,1796,2192,2126,9072,2214,4084,10416,3930,2592,1738,2626,8080,7304,7020,7276,9320,1620,2396,7052,6856,5428,14032,2008,12416,1280,1420,1180,1766,4018,3594,4224,1252,1084,1086,1664,920,1170,1268,1092,1650,1368,7716,856
18.512853758265,73.92537095958438,761,769,822,1018,416,1020,969,989,879,804,1040,966,778,907,1160,1306,1050.0,1186,1142,1374,1438,1586,1462,1666,1490,1630,1672,1714,1522,1462,1656,2170,2032,9072,2058,4034,10360,4232,2570,1620,2482,8052,7304,7108,7396,9376,1548,2288,6984,6904,5428,14000,1836,12296,1100,1188,967,1504,3964,3814,4172,1158,1012,1086,1496,781,1124,1202,1112,1650,1338,7824,861
18.512854296460127,73.92546568252318,777,783,797,904,400,1012,985,1074,829,797,1142,917,778,940,1284,1262,1046.0,1238,1058,1286,1402,1476,1354,1816,1542,1622,1812,1572,1666,1592,1610,2170,2208,9056,2008,4018,10400,4104,2558,1628,2454,8076,7228,7108,7396,9360,1650,2524,7032,6896,5416,13944,2022,12120,1088,1160,974,1482,3938,3868,4164,1118,1012,1084,1528,774,1030,1120,1016,1628,1356,7968,757
18.512854834607,73.9255604054652,746,796,793,886,444,989,1009,1054,816,846,1128,902,687,860,1242,1076,1242.0,1288,1132,1194,1378,1506,1372,1800,1490,1598,1792,1750,1706,1610,1618,2202,2178,9056,2082,4006,10416,3990,2574,1650,2588,8096,7192,7108,7412,9360,1852,2182,7100,6836,5404,13968,2452,12008,952,1184,918,1418,4012,3594,4224,1104,1012,945,1400,787,1026,1084,947,1658,1324,7980,775
18.51285537270654,73.92565512841051,706,787,797,930,439,865,927,987,772,878,1180,1016,648,731,1230,1090,1134.0,1282,1204,1328,1394,1604,1410,1584,1594,1716,1802,1698,1792,1932,1584,2160,2044,9072,2094,3992,10400,3942,2554,1654,2596,8052,7192,7056,7460,9376,1692,2182,7164,6836,5392,13928,2928,11824,789,1210,767,1368,4012,3120,4292,1062,995,941,1510,747,1032,1050,916,1668,1252,7980,789
18.51285591075862,73.92574985135903,700,720,803,969,421,943,1130,1036,777,865,1316,1200,697,800,1242,1204,941.0,1300,1218,1424,1360,1570,1270,1834,1562,1690,2052,1672,1908,1712,1610,2176,2250,9056,2090,4006,10400,4188,2510,1654,2422,8080,7192,7172,7508,9320,1678,2308,6988,6784,5392,14032,3630,11752,705,1268,675,1394,4042,2524,4332,1024,1028,962,1482,695,1118,1008,896,1596,1240,8076,767
18.51285644876327,73.92584457431083,844,919,970,924,683,1190,967,1302,930,1216,1154,1334,932,1178,1208,1396,1256.0,1320,1248,1538,1310,1604,1294,1584,1432,1678,1760,1658,1706,1910,1692,2154,2104,9072,2050,4034,10416,4074,2492,1544,2182,8004,7192,7100,7456,9288,1824,2014,6960,6756,5400,14152,3584,11824,1118,1282,1054,1438,4064,2028,4300,1166,1122,1072,1520,879,1016,1138,1080,1596,1368,8100,973
18.51287524905119,73.92915987966765,755,749,830,894,519,791,978,639,684,607,1214,538,618,616,1226,843,758.0,885,871,699,1460,932,972,1644,1264,984,1708,1114,1636,1814,1128,2246,2106,9072,1868,3772,10696,4002,2226,1092,1716,8076,7276,7120,7008,9528,2298,1042,6916,6624,5356,14352,4196,13680,673,684,772,1286,3964,2050,4268,908,907,904,1952,747,999,999,913,1660,1170,7360,561
18.512875785348697,73.9292546027362,713,914,935,1012,565,1040,934,987,871,929,1086,1040,602,932,1236,1056,825.0,1158,1002,1040,1460,1272,1110,1630,1016,1130,1904,1328,1754,1820,1282,2262,2264,9088,1926,3794,10616,3986,2296,1404,1798,8052,7276,7108,6920,9520,2624,1082,7040,6608,5356,14368,4484,13408,1001,1030,958,1334,4092,1714,4332,1098,1146,1013,1900,854,1180,1050,974,1668,1264,7272,872
18.51287632159879,73.92934932580795,898,932,1054,960,829,995,890,1062,1012,1064,1110,1022,1158,888,1148,1034,1150.0,1106,1138,1254,1554,1280,1200,1452,1446,1482,1726,1340,1798,1594,1520,2318,1906,9152,2000,3760,10624,4116,2242,1292,1708,8052,7308,7096,6616,9528,2906,887,7152,6588,5396,14216,5004,13352,1096,1208,1056,1496,4090,1300,4368,1007,1082,1002,2042,1028,1234,1032,1005,1616,1256,7228,1194
18.5128768578014,73.92944404888297,797,878,866,950,611,953,865,955,902,751,880,911,655,981,1274,1118,757.0,1106,1046,919,1538,1118,1170,1308,989,924,1462,1268,1634,1684,1136,2272,1650,8928,1918,3760,10656,4028,2280,1324,1970,8004,7360,7404,6584,9552,3002,752,7680,6476,5348,14000,5280,13352,976,1136,932,1290,4070,1474,4380,1064,1048,981,2098,907,1124,1082,983,1634,1214,7344,836
18.5128773939567,73.92953877196123,834,1036,1066,1186,729,1218,951,1328,973,1214,1036,1418,944,1148,1052,1486,1176.0,1362,1154,1442,1478,1614,1158,1516,1408,1638,1470,1562,1572,1616,1540,2342,1646,8888,2068,3746,10656,4020,2300,1400,2626,7992,7344,7408,6616,9592,3334,775,7648,6424,5280,13968,5236,13448,1164,1242,1152,1538,4056,1652,4364,1258,1204,1142,2354,1001,1228,1210,1072,1614,1402,7284,975
18.51287793006453,73.92963349504271,877,1100,1048,1066,844,1190,846,1278,1174,1238,991,1272,1194,1224,1088,1378,1398.0,1390,1322,1610,1502,1614,1456,1656,1626,1656,1542,1710,1564,1866,1654,2332,1758,8888,2170,3702,10656,4020,2340,1384,3016,7992,7376,7408,6412,9632,3828,752,7724,6476,5240,14112,5124,13464,1320,1356,1202,1560,4018,1524,4396,1262,1106,1214,2492,1042,1184,1236,1144,1656,1378,7152,1072
