Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.51634331010512,73.90356174381591,997,1166,1108,1320,1054,1510,1156,1338,1332,1526,1368,1644,1556,1848,1470,1594,1626.0,1852,1724,1658,1678,1710,1514,1730,1566,1856,1808,2132,1730,1538,1956,1600,2048,8312,1764,4732,7940,4036,2676,2070,6488,8224,6040,6884,2172,7208,2696,2358,6376,5508,5204,13224,1024,12624,1716,1486,1588,1852,3904,3300,4012,1622,1418,1422,1756,1340,1472,1440,1370,1822,1372,11512,1338
18.51634385932078,73.90365646798809,947,1060,922,1300,851,1330,1058,1556,1274,1318,1194,1568,1418,1326,1214,1780,1430.0,1628,1586,1700,1658,1774,1640,1578,1958,2034,1714,1994,1702,1930,2104,1676,1742,8328,1648,4752,7984,3894,2338,1836,6288,8208,6088,6876,2182,7168,2676,2548,6332,5560,5208,13320,883,12424,1598,1660,1230,1812,3916,3328,4084,1520,1210,1440,1632,1130,1332,1406,1238,1732,1290,11360,1108
18.51634440848901,73.90375119216361,861,997,943,1296,742,1406,1070,1566,1122,1286,1166,1526,1082,1208,1322,1642,1178.0,1512,1242,1714,1542,1744,1342,1802,1262,1678,1632,1542,1608,2664,1576,1634,2100,8288,1558,4760,8084,3790,2338,1750,6324,8224,6112,6884,2092,7080,2928,2680,6308,5580,5228,13272,876,12312,1076,1470,1092,1658,3896,3552,4176,1408,1184,1296,1560,934,1290,1378,1188,1716,1156,11240,1146
18.516344957609807,73.90384591634245,922,1086,966,1332,786,1450,1126,1566,1168,1428,1362,1452,1216,1354,1452,1522,1366.0,1592,1344,1700,1594,1790,1498,1876,1402,1866,1996,1770,1930,2762,1782,1642,2474,8288,1600,4756,8068,3676,2470,1866,6304,8224,6104,6844,2154,7072,3562,2600,6288,5604,5224,13312,1036,12168,1372,1494,1482,1746,3890,3586,4184,1604,1304,1438,1712,1180,1440,1440,1324,1926,1320,11336,1300
18.51285160501423,73.92499206786172,1594,1622,1550,1462,1512,1476,1102,1568,1522,1492,1350,1510,1740,1516,1382,1392,1902.0,1638,1694,1778,1638,1826,1974,1714,2230,2198,1684,1994,1710,1960,2060,2216,1880,8328,2416,4484,9520,4020,2814,1902,2632,8224,7764,6916,6856,8544,1788,2610,6400,6636,5204,13192,2918,11728,2032,2018,2044,2172,3882,2420,4094,1668,1484,1604,1978,1666,1706,1726,1596,1904,1816,7128,1670
18.5128521433982,73.92508679078753,1432,1322,1404,1222,1278,1116,1132,1154,1336,1108,1194,1286,1450,1246,1216,1376,1510.0,1390,1504,1484,1576,1536,1770,1746,2072,1818,1598,1756,1548,2008,1830,2202,1828,8328,2298,4464,9568,3860,2686,1722,2508,8208,7736,6884,6964,8576,1780,2172,6364,6664,5208,13048,2292,11712,1550,1660,1490,2014,3924,2680,4052,1234,1250,1254,1746,1278,1328,1430,1256,1744,1452,7204,1070
18.51285268173485,73.92518151371657,1264,1258,1316,1264,1066,1200,1222,1238,1320,1250,1342,1510,1368,1472,1452,1574,1560.0,1534,1520,1662,1612,1906,1744,1908,1946,1916,1682,2034,1546,1830,1826,2222,2054,8328,2416,4464,9568,3718,2770,2050,2626,8224,7736,6876,7012,8592,1746,2564,6324,6640,5224,12968,2028,11672,1670,1712,1460,1896,3940,3334,4052,1402,1386,1300,1752,1278,1364,1482,1296,1782,1448,7308,1076
18.51285322002403,73.92527623664884,1020,1052,1046,1180,716,1154,1164,1180,1226,1066,1410,1314,1320,1378,1502,1454,1442.0,1644,1534,1772,1744,2160,1858,1770,2118,2218,1946,2144,1924,1924,2024,2200,2300,8288,2420,4456,9592,3648,2740,2088,2542,8224,7720,6836,7120,8632,1722,2658,6368,6680,5224,12936,1852,11576,1440,1746,1224,1754,3882,3830,4184,1334,1150,1288,1536,1060,1278,1382,1152,1772,1418,7292,1028
18.512853758265,73.92537095958438,750,807,835,1140,467,1152,1058,1170,944,1002,1282,1154,929,1092,1460,1488,1132.0,1504,1306,1594,1742,1914,1688,1768,1926,2022,1716,1982,1744,1784,1978,2186,2014,8328,2224,4444,9640,3982,2610,1924,2404,8224,7672,6884,7088,8632,1606,2488,6432,6652,5196,12792,1846,11376,1134,1406,843,1456,3872,4096,4200,1248,1126,1270,1468,873,1166,1274,1078,1732,1434,7308,841
18.512854296460127,73.92546568252318,753,908,868,1064,432,1056,1178,1196,987,924,1256,1278,912,1130,1404,1544,1098.0,1502,1318,1568,1606,1848,1570,1918,1750,1980,1824,1968,1702,1904,1916,2192,2132,8344,2238,4456,9640,3850,2634,2004,2398,8192,7672,6860,7148,8704,1758,2564,6452,6624,5204,12672,2040,11144,1152,1454,861,1430,3860,4090,4152,1130,1094,1200,1450,791,1094,1224,1026,1756,1374,7264,819
