Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.51634331010512,73.90356174381591,1328,1865,1448,1902,1552,2132,1512,2193,2014,2168,1774,2461,2188,2340,1814,2632,2664.0,2558,2288,2770,2150,2564,2548,2006,2603,2758,2106,3000,2056,2284,2600,2110,2220,7148,2100,5500,6952,4180,3574,3028,5832,8576,6612,7016,2452,6188,2940,3038,5868,5504,5368,10664,1126,10504,2315,2197,2516,2002,4352,3886,4200,2208,2178,2196,1742,1737,2130,1968,1999,1892,1824,10040,1971
18.51634385932078,73.90365646798809,1484,1645,1522,1842,1378,2034,1417,2275,1852,2100,1588,2185,2161,2181,1682,2442,2322.0,2420,2520,2543,2214,2654,2670,2070,2994,3100,2014,2734,2083,2622,2798,2164,2110,7176,2036,5500,6968,4070,3418,2820,5692,8584,6624,7028,2388,6128,3022,3190,5836,5508,5372,10720,1065,10304,2403,2468,2068,1914,4372,3826,4304,2292,2067,2055,1734,1784,1954,2052,1774,1812,1642,10000,1786
18.51634440848901,73.90375119216361,1416,1693,1464,1757,1386,2002,1465,2250,1938,2100,1581,2213,2152,2102,1737,2370,2164.0,2414,2186,2476,2048,2498,2416,2238,2663,2800,2019,2502,1938,3086,2354,2054,2370,7196,1962,5500,7040,3970,3360,2820,5660,8552,6612,6988,2422,6104,3254,3264,5820,5488,5392,10608,1093,10136,2202,2216,2076,2012,4384,4000,4344,2075,1893,2065,1682,1823,1916,1917,1843,1749,1698,9856,1820
18.516344957609807,73.90384591634245,1394,1600,1543,1847,1323,1867,1536,2024,1717,1942,1682,2100,1813,2064,1904,2219,2042.0,2220,2176,2259,2002,2456,2352,2266,2677,2614,2320,2580,2262,3093,2496,2062,2556,7148,2026,5488,7108,3872,3408,2666,5660,8584,6640,6988,2406,6104,3638,3196,5792,5540,5372,10696,1189,10008,2232,2239,2023,1772,4364,4056,4232,2055,2005,1860,1759,1720,1948,1885,1765,2072,1604,9784,1740
18.51285160501423,73.92499206786172,1830,1748,1773,1510,1717,1596,1476,1627,1784,1585,1630,1592,2050,1800,1700,1462,2108.0,1876,2036,1948,2126,1832,2258,2114,2396,2276,1904,2292,1894,2589,2210,2352,2102,7196,2626,5268,8440,4168,3002,2132,2540,8584,8512,7016,6440,7264,1754,2530,5880,6496,5376,10696,2850,9656,2059,2044,1853,1961,4308,2326,4208,1559,1610,1614,1733,1777,1750,1788,1602,1981,1784,6224,1668
18.5128521433982,73.92508679078753,1581,1365,1497,1273,1445,1245,1553,1286,1403,1243,1609,1275,1629,1406,1716,1307,1702.0,1580,1716,1445,2092,1543,1928,2304,2201,1861,1976,1914,1975,2460,1962,2336,2216,7152,2338,5220,8408,4050,2944,1936,2474,8576,8464,7016,6504,7300,1770,2238,5868,6508,5340,10608,2307,9576,1491,1559,1459,1543,4420,2718,4312,1265,1388,1195,1509,1500,1406,1330,1339,1837,1406,6260,1172
18.51285268173485,73.92518151371657,1413,1371,1418,1350,1284,1435,1604,1573,1434,1518,1757,1568,1620,1606,1882,1720,1904.0,1790,1878,1731,2064,1984,2026,2316,2325,1954,2192,2272,2114,2542,2072,2306,2424,7196,2510,5200,8424,3928,3178,2302,2632,8528,8440,6996,6596,7372,1858,2540,5904,6500,5348,10472,2124,9512,1594,1534,1493,1568,4392,3398,4380,1562,1543,1362,1529,1506,1544,1440,1409,1748,1428,6320,1158
18.51285322002403,73.92527623664884,1055,1171,1130,1392,938,1416,1582,1557,1415,1398,1794,1592,1708,1584,1846,1892,1974.0,2004,2094,2147,2240,2504,2454,2166,2778,2531,2222,2674,2304,2620,2480,2376,2416,7196,2740,5204,8528,3838,3238,2578,2642,8552,8368,6976,6640,7332,1946,2886,5868,6528,5368,10384,1965,9472,1514,1737,1332,1622,4372,3826,4412,1497,1429,1418,1309,1219,1482,1499,1296,1780,1488,6260,1186
18.512853758265,73.92537095958438,767,934,948,1376,594,1433,1486,1649,1124,1262,1654,1556,1296,1424,1698,1994,1758.0,1952,1858,2186,2254,2361,2358,2204,2624,2562,1992,2624,1892,2645,2512,2386,2204,7220,2590,5244,8504,4144,3210,2578,2546,8552,8280,6988,6684,7360,1920,2818,5908,6548,5336,10296,1888,9320,1263,1515,1079,1370,4400,4040,4376,1498,1334,1400,1137,992,1434,1538,1182,1816,1484,6328,1088
18.512854296460127,73.92546568252318,694,952,956,1210,577,1394,1614,1623,1121,1302,1672,1410,1269,1506,1861,1720,1742.0,1880,1942,2157,2026,2369,2272,2372,2601,2651,2222,2784,2118,2708,2566,2382,2456,7196,2728,5200,8504,4034,3260,2702,2532,8560,8280,6972,6680,7384,2022,3028,5908,6508,5340,10248,2044,9144,1186,1476,1061,1303,4384,4029,4340,1369,1309,1415,1168,1010,1384,1450,1155,1811,1416,6388,1107
