Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.51634331010512,73.90356174381591,1056,1252,1160,1504,971,1662,1346,1760,1494,1630,1570,1766,1448,1782,1610,2004,1820.0,1952,1642,1996,1866,2134,1634,1792,1820,2290,1898,2292,1800,1952,2152,1708,2006,7824,1712,4976,7496,3738,2432,2198,5944,8304,6236,6708,2050,6816,2678,2466,6048,5384,4968,12480,982,11848,1818,1648,1820,1738,3650,3222,3936,1726,1412,1514,1528,1236,1424,1454,1328,1820,1350,10480,1446
18.51634385932078,73.90365646798809,961,1106,941,1338,900,1524,1180,1628,1378,1572,1388,1788,1622,1588,1458,1886,1566.0,1882,1742,2024,1914,1952,1936,1700,1834,2276,1772,2120,1898,2286,2152,1770,1882,7784,1550,4960,7500,3708,2334,2054,5844,8304,6240,6724,2036,6800,2654,2678,6044,5424,4948,12480,837,11736,1470,1864,1232,1688,3576,3108,3816,1514,1250,1424,1412,1094,1314,1428,1242,1738,1230,10416,1150
18.51634440848901,73.90375119216361,795,1106,927,1356,731,1554,1236,1646,1248,1538,1338,1724,1120,1400,1562,1836,1430.0,1714,1434,1930,1708,2032,1394,1986,1500,1986,1810,1938,1776,3002,1874,1700,2148,7828,1504,5000,7544,3584,2332,1858,5912,8280,6300,6688,1994,6744,3182,2718,5992,5440,4920,12464,825,11576,1282,1544,1084,1520,3536,3098,3808,1514,1290,1354,1396,987,1302,1376,1140,1738,1172,10560,1164
18.516344957609807,73.90384591634245,889,1150,987,1376,788,1400,1294,1532,1350,1504,1494,1644,1284,1510,1720,1638,1456.0,1752,1550,1922,1808,1902,1598,2004,1712,2120,2132,1980,2074,2998,1928,1722,2448,7764,1532,5004,7584,3398,2298,1902,5824,8264,6392,6676,2050,6704,3868,2580,5916,5448,4968,12464,926,11512,1398,1558,1252,1606,3514,2944,3824,1526,1204,1402,1462,1074,1316,1390,1196,1990,1226,10664,1216
18.51285160501423,73.92499206786172,1570,1616,1626,1456,1656,1526,1318,1646,1704,1588,1488,1598,1916,1670,1576,1384,2102.0,1686,1930,1920,1836,1930,2124,1800,2370,2310,1800,2142,1764,2306,2178,2136,1858,7816,2380,4736,8952,3764,2698,1942,2510,8304,7872,6724,6724,8092,1810,2498,6016,6396,4992,12400,3292,11144,2178,2088,1922,2386,3488,2398,3794,1764,1520,1582,2000,1688,1576,1834,1616,1858,1832,6904,1674
18.5128521433982,73.92508679078753,1460,1306,1390,1264,1450,1204,1302,1182,1308,1216,1370,1360,1584,1434,1520,1382,1670.0,1448,1636,1460,1820,1476,1820,1932,2154,1742,1726,1788,1770,2286,1830,2126,1892,7796,2174,4768,8952,3686,2614,1754,2374,8320,7872,6724,6776,8136,1734,2276,6012,6396,5008,12256,2552,11120,1568,1636,1508,1938,3572,2652,3974,1242,1238,1234,1686,1322,1294,1358,1280,1738,1366,6944,1096
18.51285268173485,73.92518151371657,1266,1266,1312,1336,1256,1328,1404,1400,1318,1456,1528,1556,1548,1628,1668,1792,1762.0,1720,1692,1786,1902,1990,1802,2046,2058,1980,1938,2170,1846,2106,2060,2126,2200,7792,2388,4748,8952,3562,2702,2076,2632,8288,7912,6700,6796,8136,1754,2662,5948,6440,5024,12120,2050,10984,1564,1716,1600,1902,3566,3332,3940,1462,1356,1358,1672,1292,1368,1410,1358,1758,1400,6976,1212
18.51285322002403,73.92527623664884,982,1026,955,1216,824,1278,1360,1416,1268,1204,1540,1360,1488,1376,1682,1700,1682.0,1760,1686,2054,1964,2348,2072,1904,2298,2408,2122,2386,2092,2332,2304,2170,2254,7796,2488,4724,9056,3416,2668,2204,2512,8240,7924,6676,6856,8144,1700,2706,5916,6444,5028,12008,1756,10912,1428,1750,1328,1892,3550,3936,3892,1392,1158,1308,1470,1021,1234,1362,1134,1764,1362,7008,1060
18.512853758265,73.92537095958438,746,883,871,1242,499,1266,1306,1390,1034,1086,1466,1404,1140,1182,1570,1906,1240.0,1744,1502,1936,1920,2172,1958,1852,2058,2258,1828,2342,1816,2248,2216,2186,1924,7816,2352,4704,9056,3726,2626,2222,2422,8264,7916,6732,6860,8208,1672,2678,5976,6460,5040,11816,1718,10656,1058,1478,1024,1520,3542,4276,3784,1268,1102,1300,1256,835,1216,1312,1074,1702,1346,6972,940
18.512854296460127,73.92546568252318,705,841,843,1110,507,1238,1338,1452,1082,1082,1462,1432,1110,1316,1640,1768,1376.0,1738,1470,1892,1730,2074,1844,2050,2084,2354,1950,2280,1914,2418,2260,2202,2206,7828,2326,4704,9000,3636,2592,2176,2632,8264,7856,6728,6904,8224,1766,2872,5932,6464,5052,11768,1914,10432,1140,1530,1032,1554,3504,4364,3750,1268,1058,1294,1302,803,1142,1276,1078,1648,1346,6840,1002
18.512854834607,73.9255604054652,674,805,802,1021,510,1164,1350,1244,971,1058,1614,1360,1102,1330,1698,1514,1576.0,1596,1592,1788,1830,1876,1858,2010,2016,2212,2176,2262,2064,2524,2260,2200,2248,7824,2360,4728,9032,3548,2592,2156,2636,8288,7872,6724,6984,8224,1788,2664,5880,6484,5000,11824,2156,10224,1176,1470,893,1516,3516,4084,4026,1180,1036,1106,1366,760,1021,1202,1042,1648,1270,6872,807
18.51285537270654,73.92565512841051,642,827,777,1030,428,1126,1288,1202,928,1044,1520,1306,874,1118,1654,1448,1572.0,1562,1676,1910,1814,2050,1896,1782,2138,2220,2062,2268,2094,2644,2248,2192,2018,7856,2316,4740,9056,3474,2588,2068,2382,8304,7804,6616,6996,8248,1734,2584,5944,6476,4968,11904,2662,10104,1124,1318,752,1424,3530,3608,3980,1218,1060,1021,1282,735,1024,1202,1005,1622,1210,6856,745
18.51285591075862,73.92574985135903,639,877,786,1084,420,1190,1454,1214,994,1242,1638,1454,803,1238,1780,1732,1450.0,1670,1620,2024,1742,2102,1738,1896,2026,2176,2122,2260,2044,2270,2144,2186,2150,7784,2282,4728,9056,3726,2544,2106,2210,8240,7760,6756,7032,8168,1768,2674,6060,6484,5008,12000,3500,10096,1015,1276,784,1302,3572,3104,3912,1176,1076,1072,1278,744,1058,1230,984,1562,1238,6856,757
18.51285644876327,73.92584457431083,888,1164,1154,1212,855,1670,1274,1700,1294,1682,1504,1840,1230,1722,1606,2084,1786.0,1836,1686,2140,1770,2244,1732,1746,1896,2264,1898,2242,1908,2458,2192,2186,1932,7796,2316,4700,9080,3648,2490,2042,2040,8216,7744,6732,7020,8172,1768,2462,6012,6464,5024,12008,3868,10160,1504,1524,1302,1532,3562,2674,3816,1450,1346,1318,1480,1072,1148,1332,1300,1550,1394,6792,1218
18.51287524905119,73.92915987966765,689,807,855,1178,565,1070,1288,974,869,747,1478,816,766,934,1592,1314,1068.0,1200,1084,1098,1764,1294,1244,1874,1632,1390,1930,1462,1880,2354,1636,2210,2096,7828,1886,4500,9240,3570,2380,1406,1690,8264,7696,6724,6128,8384,2464,1005,5952,6112,4892,12376,4516,11584,820,947,933,1366,3536,1488,3808,1088,996,1040,1658,781,1072,1114,880,1602,1166,6696,711
18.512875785348697,73.9292546027362,828,1262,1150,1474,873,1692,1288,1520,1128,1566,1520,1716,1030,1578,1654,1948,1356.0,1680,1416,1774,1934,1902,1524,1808,1472,1688,2010,2096,2004,2402,1748,2266,2008,7824,2134,4480,9224,3474,2452,1958,1792,8280,7640,6688,5968,8344,2810,1018,5912,6100,4852,12200,4784,11624,1420,1404,1238,1488,3542,1792,4064,1492,1498,1332,1780,1100,1440,1466,1328,1562,1490,6624,1150
18.51287632159879,73.92934932580795,1118,1382,1306,1448,1180,1638,1266,1812,1608,1612,1484,1732,1522,1588,1596,1556,1990.0,1684,1728,2080,1942,2162,1796,1710,2234,2308,1774,2008,1854,2334,2062,2286,1908,7808,2188,4472,9208,3732,2384,1830,1898,8304,7632,6644,5908,8344,2874,824,6000,6020,4824,12072,5044,11592,1870,1758,1544,1912,3562,1486,3984,1676,1498,1460,1886,1352,1472,1648,1510,1596,1664,6532,1638
18.5128768578014,73.92944404888297,988,1128,1078,1312,866,1270,1174,1370,1128,1390,1178,1478,1278,1332,1498,1708,1118.0,1562,1454,1462,2004,1566,1644,1774,1422,1496,1752,1808,1890,2350,1528,2250,1896,7648,1936,4468,9240,3684,2376,1650,2192,8144,7704,7108,5868,8352,3138,735,6668,5892,4812,12064,5072,11640,1314,1518,1050,1434,3588,1282,4026,1306,1238,1238,1672,1178,1360,1368,1196,1578,1374,6432,1092
