Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.51634331010512,73.90356174381591,1405,1471,1324,1593,1419,1467,2012,1698,1631,1632,2065,1821,1679,1797,2182,2007,1966.0,2077,2208,2170,2614,2364,2343,2510,2559,2630,2619,2594,2619,3147,2551,1728,2707,5479,1638,2729,5185,4179,2627,2561,4576,1745,3388,4914,2119,3988,3092,3606,4760,4010,3989,5910,902,5681,2096,2028,1956,1716,3503,3464,3530,1887,1750,1595,1131,1473,1444,1412,1361,2059,1348,6352,1387
18.51634385932078,73.90365646798809,1405,1471,1324,1593,1419,1467,2012,1698,1631,1632,2065,1821,1679,1797,2182,2007,1966.0,2077,2208,2170,2599,2364,2343,2510,2559,2630,2619,2594,2619,3252,2551,1728,2707,5479,1638,2729,5185,3964,2627,2561,4576,1745,3388,4914,2119,3988,3092,3606,4760,4010,3989,5910,902,5681,2096,2028,1956,1716,3478,3464,3515,1887,1750,1595,1131,1473,1444,1412,1361,2080,1348,6352,1387
18.51634440848901,73.90375119216361,1481,1463,1317,1526,1524,1604,1906,1701,1750,1662,2139,1951,1775,1835,2264,2098,2045.0,2228,2204,2330,2599,2447,2467,2496,2564,2771,2661,2564,2581,3252,2474,1767,2682,5469,1677,2752,5237,3964,2569,2750,4514,1737,3467,4872,2158,3949,3764,3646,4733,4036,3974,5931,939,5643,2002,2176,1835,1851,3478,3118,3515,1887,1649,1656,1238,1632,1637,1547,1545,2080,1341,6429,1459
18.516344957609807,73.90384591634245,1481,1463,1317,1526,1524,1604,1906,1701,1750,1662,2139,1951,1775,1835,2264,2098,2045.0,2228,2204,2330,2614,2447,2467,2496,2564,2771,2661,2564,2581,3186,2474,1767,2682,5469,1677,2752,5237,3700,2569,2750,4514,1737,3467,4872,2158,3949,3764,3646,4733,4036,3974,5931,939,5643,2002,2176,1835,1851,3477,3118,3447,1887,1649,1656,1238,1632,1637,1547,1545,2059,1341,6429,1459
18.51285160501423,73.92499206786172,1546,1915,1761,2181,1698,2378,2119,2370,2217,2410,2233,2591,2335,2488,2328,2846,2674.0,2860,2687,3067,2599,3213,2916,2610,2977,3208,2821,3096,2785,3186,3036,1739,2798,5489,3361,2835,6355,4277,2881,3273,2831,1743,4706,4949,5604,4150,2314,3840,4663,4690,3922,5836,3667,5706,2521,2844,2321,2663,3477,2819,3447,2477,2082,2400,2205,2051,2246,2389,2090,2080,2263,5086,2035
18.5128521433982,73.92508679078753,1546,1915,1761,2181,1698,2378,2119,2370,2217,2410,2233,2591,2335,2488,2328,2846,2674.0,2860,2687,3067,2599,3213,2916,2610,2977,3208,2821,3096,2785,2997,3036,1739,2798,5489,3361,2835,6355,4065,2881,3273,2831,1743,4706,4949,5604,4150,2314,3840,4663,4690,3922,5836,3667,5706,2521,2844,2321,2663,3487,2819,3483,2477,2082,2400,2205,2051,2246,2389,2090,2080,2263,5086,2035
18.51285268173485,73.92518151371657,1159,1423,1251,1621,1252,1836,2034,1909,1796,1973,2234,2207,2078,2144,2338,2505,2463.0,2679,2580,2961,2506,3136,2994,2587,2977,3231,2851,3155,2812,2997,3094,1748,2747,5477,3261,2836,6355,4065,2740,3211,2519,1737,4679,4908,5657,4173,2240,3734,4629,4706,3942,5794,2650,5573,2152,2510,1898,2409,3495,3736,3508,1934,1427,1923,1564,1522,1548,1824,1389,2034,1614,4999,1372
18.51285322002403,73.92527623664884,1159,1423,1251,1621,1252,1836,2034,1909,1796,1973,2234,2207,2078,2144,2338,2505,2463.0,2679,2580,2961,2614,3136,2994,2587,2977,3231,2851,3155,2812,2981,3094,1748,2747,5477,3261,2836,6355,3762,2740,3211,2519,1737,4679,4908,5657,4173,2240,3734,4629,4706,3942,5794,2650,5573,2152,2510,1898,2409,3495,3736,3508,1934,1427,1923,1564,1522,1548,1824,1389,2059,1614,4999,1372
18.512853758265,73.92537095958438,774,987,872,1208,880,1392,2119,1465,1246,1502,2233,1719,1555,1750,2328,2149,1983.0,2260,2077,2521,2614,2689,2510,2610,2517,2902,2821,2829,2785,3052,2759,1730,2798,5489,2902,2843,6329,4277,2642,2941,2309,1743,4568,4949,5675,4191,2097,3291,4663,4722,3945,5861,2220,5275,1639,1966,1448,1836,3476,4335,3479,1428,1032,1411,1144,1094,1161,1319,996,2059,1155,4773,863
18.512854296460127,73.92546568252318,774,987,872,1208,880,1392,2119,1465,1246,1502,2233,1719,1555,1750,2328,2149,1983.0,2260,2077,2521,2506,2689,2510,2610,2517,2902,2821,2829,2785,3086,2759,1730,2798,5489,2902,2843,6329,4065,2642,2941,2309,1743,4568,4949,5675,4191,2097,3291,4663,4722,3945,5861,2220,5275,1639,1966,1448,1836,3476,4335,3479,1428,1032,1411,1144,1094,1161,1319,996,2034,1155,4773,863
