Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.350751669215104,73.55892010170632,329,335,459,706,254,384,438,368,597,427,331,364,395,459,385,417,502.0,636,605,455,771,413,784,892,675,626,604,687,760,761,1114,945,1282,11608,1246,4156,5856,10712,5112,1272,5864,8000,9520,9040,1672,10016,4464,1200,10896,9664,8552,13392,6432,12112,470,627,13192,802,2476,616,5812,874,418,358,828,396,404,449,265,885,1206,3330,208
18.350752384821288,73.55901472254952,341,327,450,712,250,374,460,347,574,407,344,358,376,470,380,393,502.0,615,580,461,767,410,788,876,669,624,596,695,752,769,1116,930,1296,11584,1260,4112,5864,10648,5124,1278,5900,8008,9552,9040,1686,10056,4440,1172,10888,9680,8504,13408,6524,12008,466,623,12616,778,2504,779,5772,852,413,372,860,390,431,448,280,881,1202,3432,206
18.350753100380512,73.55910934339707,329,321,441,720,245,386,458,343,601,450,364,344,371,477,390,388,492.0,624,596,467,760,415,769,898,667,641,584,666,754,758,1108,930,1302,11600,1262,4080,5908,10592,5152,1256,5968,8000,9576,9040,1684,10072,4464,1192,10928,9712,8504,13440,6556,11904,457,624,11896,774,2502,1076,5688,882,402,366,902,388,410,417,275,870,1224,3484,214
18.350753815892784,73.55920396424895,320,327,458,711,234,364,442,339,619,412,347,344,397,469,380,402,498.0,606,604,458,751,412,773,899,657,634,588,671,770,788,1110,959,1282,11576,1230,4100,5912,10632,5220,1232,6036,7964,9568,9080,1664,10040,4464,1170,10936,9696,8472,13488,6828,11952,469,639,11448,793,2522,1038,5624,853,413,358,858,390,405,427,287,899,1224,3550,214
18.350754531358103,73.55929858510517,323,324,449,691,238,384,426,382,591,450,358,347,397,468,365,402,524.0,620,621,462,751,410,782,895,664,626,602,675,764,762,1102,959,1302,11584,1252,4144,5892,10544,5220,1262,6124,8000,9568,9064,1696,10016,4480,1214,10896,9616,8512,13408,7152,12072,471,625,11424,804,2532,766,5656,871,413,366,878,384,426,453,277,909,1262,3670,202
18.3506613148557,73.55892085112544,339,336,466,688,248,386,447,361,605,454,333,349,398,469,401,401,516.0,617,611,465,763,402,777,885,668,617,571,683,773,765,1122,951,1288,11520,1244,4160,5888,10752,4992,1260,5880,7940,9552,9040,1692,9984,4440,1182,10912,9656,8576,13392,6364,12048,466,627,13024,795,2476,783,5760,860,413,360,813,390,430,420,274,887,1268,3426,215
18.35066203045811,73.55901547191947,336,335,460,711,240,393,447,343,622,448,357,355,375,466,375,395,516.0,608,583,479,783,402,778,869,675,631,593,683,777,751,1114,945,1302,11496,1254,4092,5908,10592,5020,1272,5908,7972,9576,9040,1692,10040,4432,1188,10912,9696,8528,13392,6460,12112,457,615,12448,780,2462,1132,5692,855,395,351,775,396,417,444,282,887,1278,3484,212
18.3506627460135,73.55911009271784,330,339,420,713,240,384,439,354,597,431,355,339,375,471,390,395,509.0,609,607,466,794,412,773,892,655,623,571,667,773,778,1088,954,1294,11520,1240,4100,5968,10472,5052,1268,6004,8000,9552,9016,1704,10040,4448,1222,10888,9680,8512,13488,6584,12136,457,626,11784,780,2504,1592,5648,865,413,354,781,390,417,436,280,902,1312,3454,210
18.350663461522,73.55920471352057,338,332,450,722,231,379,435,351,590,437,338,345,404,462,381,433,500.0,599,604,459,777,398,769,903,676,622,591,671,767,789,1082,951,1282,11544,1236,4120,6000,10400,5140,1260,6068,7960,9584,9040,1678,10040,4460,1194,10928,9656,8512,13488,6812,12048,466,617,11400,795,2522,1502,5600,867,420,355,796,384,431,434,282,880,1454,3454,212
18.35066417698362,73.55929933432762,335,316,446,728,238,374,426,362,604,451,349,338,385,476,359,405,526.0,608,611,468,783,410,767,912,675,631,583,664,764,779,1090,952,1318,11576,1250,4156,5992,10384,5172,1274,6124,7988,9576,9064,1688,10040,4508,1208,10880,9656,8512,13448,7084,11976,470,643,11320,791,2498,1078,5636,860,426,357,783,385,394,450,264,896,1432,3496,193
