Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.560938408035298,73.86509225149409,688,559,640,559,532,511,472,502,553,509,590,455,631,572,568,488,540.0,674,695,420,666,467,860,826,687,547,627,634,753,544,811,1268,2908,11152,3476,5288,14784,1404,3322,802,1314,8144,6840,4074,2222,10840,497,10320,6576,6704,5792,11888,646,5316,443,698,543,613,6036,2768,7816,475,660,539,855,658,669,803,500,782,1208,4616,373
18.558082806864604,73.85610992103034,594,547,669,659,462,586,591,597,567,551,516,609,583,611,517,525,673.0,882,858,697,805,656,802,1034,586,672,592,814,668,750,961,1250,837,9496,5328,5640,9504,1005,3432,2526,2600,8048,7012,4632,2734,9552,558,5492,6504,7464,4788,12616,3670,839,457,689,521,775,4196,811,7500,788,617,693,935,627,613,680,502,928,966,5324,461
18.55522274155556,73.84646470586777,705,664,761,781,592,461,701,619,661,588,583,383,669,591,590,577,638.0,827,843,615,801,622,1210,1011,543,685,527,851,557,778,1002,1122,1324,7964,3508,5128,1638,1488,2788,2722,2988,8048,6948,6080,2746,8312,767,2592,6476,7552,4620,12216,387,1222,545,890,704,1108,5332,3140,6740,813,572,829,994,766,728,937,672,1094,1240,3388,578
18.544514559226197,73.85392648250487,735,599,694,691,535,576,562,555,610,514,574,434,591,608,538,494,576.0,751,790,598,767,623,922,1046,639,601,594,738,650,700,880,1252,1244,9088,1622,5396,5996,5868,2568,1138,1438,8168,5820,4284,6056,9232,491,5800,6488,7812,4420,11984,895,4512,2342,959,3618,812,5996,759,5160,735,722,595,878,619,729,705,539,932,1144,863,541
18.54160913028136,73.85167209507341,839,534,633,605,405,667,479,477,528,440,433,655,473,446,381,444,469.0,702,676,459,677,545,999,946,818,548,771,670,788,619,821,1130,1734,8680,2768,4828,4960,5684,2680,642,1426,8160,6704,5260,6328,8576,1021,6712,6784,8216,4584,12624,996,6372,417,7992,4768,763,2410,9280,6068,606,726,575,870,567,1048,594,579,989,805,5620,514
18.5402369624264,73.8489338202096,745,644,723,703,493,897,600,583,663,594,639,917,591,625,524,517,633.0,860,838,709,836,623,806,1162,1042,927,1009,918,1010,1036,1172,1270,1144,8616,1990,4228,2322,3310,2218,756,2336,8100,7216,6392,7060,7784,685,4928,7084,8016,3758,12128,8240,7080,572,691,2768,872,4476,7416,6300,780,884,738,965,749,619,876,728,1126,885,5560,647
18.53406452294097,73.84442782948553,647,633,710,718,533,586,534,485,609,543,548,504,757,658,559,568,587.0,774,780,527,720,526,832,984,625,581,578,658,694,583,847,1100,1138,8680,5016,4796,1810,5884,2588,984,5524,8144,7884,7388,7036,7496,296,7280,7836,7900,3850,11904,1736,6372,409,4276,634,2370,4288,13272,6992,551,651,690,885,672,808,626,560,930,777,8960,562
18.5338267894985,73.83514533517442,590,548,661,651,501,716,536,459,597,472,567,774,658,576,568,555,665.0,784,839,592,824,648,987,929,865,830,782,861,786,743,1016,1204,1238,8120,5352,4864,3486,8336,3586,1404,1344,8060,7496,6372,7100,5868,757,800,8432,8012,3090,11552,943,3614,528,845,5360,883,3724,8504,6880,637,691,609,916,639,878,579,634,1286,919,8160,474
18.53240023386963,73.83828124803037,593,608,677,654,534,508,494,412,531,386,458,532,583,497,417,490,518.0,763,757,518,750,572,945,882,568,654,505,733,604,647,895,1144,1338,8448,4268,4992,3758,8648,2942,2078,8216,8104,7964,6752,6920,5680,637,667,8400,6016,2876,12160,692,3746,491,863,917,946,6336,11248,6960,519,628,643,882,705,932,642,610,1126,818,9376,556
18.531648737809103,73.83364434346669,549,601,655,700,459,563,556,607,678,605,486,548,534,479,430,457,505.0,725,739,429,739,496,829,833,743,668,714,737,750,580,901,1122,1076,8104,4616,4772,4312,9616,3366,989,6864,8080,7332,7096,7176,5428,640,684,8568,6060,3164,11008,635,1362,457,689,740,886,6148,4420,6320,690,645,686,960,681,717,544,611,1142,1122,9344,427
