Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.560938408035298,73.86509225149409,2454,2424,2414,2069,2553,1670,2171,2177,2352,2474,2832,1722,3356,3206,3552,3537,3850.0,3610,3660,3981,3606,3825,2910,3034,2416,3960,2221,3750,2227,3896,3452,2662,3416,9472,4026,6024,13000,2618,3974,3344,2952,8552,7296,4640,3614,9088,2144,9288,5924,6520,5908,9728,3371,4896,2989,3409,3115,3185,6256,2796,7316,1919,2018,2689,1792,2625,2510,2547,2649,2226,2338,4144,2438
18.558082806864604,73.85610992103034,1473,1767,1604,1711,1444,1914,1652,1914,1636,1720,1558,1924,1772,1836,2128,2713,3056.0,2968,2856,3248,3052,3266,2454,2918,4024,3176,4004,2950,3884,3002,2736,2622,2512,8148,5528,6292,8188,3864,4012,3782,3592,8400,7472,5036,3718,7920,1156,5504,5904,6964,5008,10336,4083,1484,2505,3249,2308,2400,4792,1262,6944,2432,3244,2226,1987,1806,2508,1888,1678,1890,2050,4956,1656
18.55522274155556,73.84646470586777,2078,2169,2112,2181,2130,1998,2388,2545,2554,2666,2792,2217,2740,2786,2890,2888,2910.0,2750,2684,2797,2768,2720,1904,2864,3300,2820,3150,3038,3012,3152,2952,2706,2072,7008,3806,5796,2094,4074,3682,3620,3964,8376,7472,6236,3266,7296,2558,3596,5928,7056,4952,9928,937,1986,2383,2753,2378,2467,5328,3804,6392,2319,2534,2120,2178,1925,1144,2095,2030,2164,2214,3572,1970
18.544514559226197,73.85392648250487,1922,1866,1878,1810,1860,2155,1682,1712,1800,1994,2260,2122,2675,2530,2542,2292,2762.0,2526,2902,3481,3508,4159,2114,3754,2874,4124,2854,3926,2633,4604,3646,3090,2634,7780,4312,6032,5744,5844,3516,2964,2596,8560,6236,4892,5568,7720,2054,5992,5952,7212,4920,9720,4064,4316,3731,1539,4565,2968,6044,1610,5088,3110,2555,2692,2692,2590,2836,2511,2559,2328,2556,1186,2246
18.54160913028136,73.85167209507341,1350,1387,1324,1416,1289,2164,1499,1694,1732,1909,1830,2420,2132,2178,2400,2294,2396.0,2476,2332,2484,2430,2632,1784,2664,3660,2702,3610,2586,3462,2730,2502,2380,2444,7520,3554,5488,4856,5508,3488,1820,4356,8528,7168,5604,5840,7236,3244,6288,6152,7536,4972,10400,3270,5688,2543,7428,4676,2105,3436,8680,5744,2294,2907,1946,2130,1909,1610,1831,1803,1735,1406,5216,1598
18.5402369624264,73.8489338202096,2025,2065,1985,1914,1941,3151,1800,1943,1781,1886,1973,3473,2448,2833,3317,3565,3232.0,2858,2844,3197,3008,3293,573,2990,4074,2661,4072,2770,4046,2900,2620,2302,1052,7440,3256,5016,2792,3594,3376,1838,3398,8512,7896,6544,6376,6596,3316,5136,6332,7340,4236,9824,7848,6400,2361,246,3454,1773,4688,6768,5972,2048,3883,2038,2337,2173,437,2010,2115,1791,1926,5252,1993
18.53406452294097,73.84442782948553,2000,2065,2029,1989,1965,1894,1678,1740,1556,1595,1494,1758,2525,2894,3340,3572,3488.0,3098,3156,3326,3060,3350,3252,3218,3044,3204,3140,2930,2968,3184,2912,2642,4084,7588,5148,5504,2750,5776,3428,3262,5368,8504,8568,7412,6240,6436,874,6884,6872,7428,4440,9608,3599,5548,2856,4688,3134,3194,4560,11824,6660,1921,2381,2414,2670,2699,2512,2938,2589,2556,2200,7920,2465
18.5338267894985,73.83514533517442,1355,1473,1427,1453,1229,2186,1306,1420,1223,1302,1497,2966,1776,1788,1998,2053,2140.0,2156,2146,2526,2244,2603,3222,2622,3864,2656,3670,2460,3522,2736,2482,2364,3462,7124,5328,5600,4112,7520,4156,3106,3802,8432,8072,6456,6284,5348,2764,3430,7476,7476,3710,9424,2152,3648,2264,3177,5972,1894,4124,7960,6444,1773,2712,1676,1842,1645,2226,1723,1563,1831,1594,7172,1569
18.53240023386963,73.83828124803037,2084,1959,1906,1682,1763,2117,1670,1754,1722,1748,1938,2953,2294,2150,2356,2623,2402.0,2358,2338,2596,2740,2919,3222,2946,3914,2944,4006,2734,3603,2884,2584,2452,4156,7376,4432,5728,4224,7920,3758,3514,7172,8456,8720,6796,6124,5132,2810,2988,7500,5832,3646,9968,3030,3702,2578,2858,2900,2462,6324,10192,6636,1224,2813,2093,2008,2233,2312,1866,1967,1940,1902,8344,1966
18.531648737809103,73.83364434346669,1546,1845,1753,1924,1542,1805,1766,1804,1676,1859,1882,1790,2229,2548,2500,3452,2542.0,2814,2386,3207,2552,3333,2170,3332,3172,2968,3223,2836,2984,3320,2768,2472,2570,7116,4660,5492,4684,8488,3986,2564,6284,8392,7936,7212,6280,5136,3264,3750,7632,5916,3864,9080,3083,1848,2514,2258,2570,2445,6100,4336,6148,2500,2800,2162,2259,2043,2612,2016,2062,2035,2144,8424,1967
