Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.560938408035298,73.86509225149409,527,422,440,425,370,473,390,398,440,392,388,428,325,347,294,228,312.0,505,477,247,449,283,745,718,719,268,570,462,769,321,647,1214,2906,10504,3132,5572,13792,976,3064,601,1214,8200,6904,3928,1946,10352,332,9904,6120,6444,5536,11008,430,5336,218,392,304,396,5704,2556,7332,323,544,326,630,450,538,566,306,553,1116,4604,238
18.558082806864604,73.85610992103034,529,490,604,579,453,521,552,566,551,561,513,626,586,611,498,414,418.0,636,646,383,585,410,666,903,352,498,356,656,432,546,836,1148,686,8920,5036,5860,9056,766,3300,2500,2250,8124,7232,4488,2480,9096,617,5348,6056,7228,4616,11824,3638,756,307,437,364,568,4516,637,6944,592,388,525,703,471,470,547,374,731,768,5092,363
18.55522274155556,73.84646470586777,566,507,617,592,445,341,522,464,468,405,381,293,511,430,386,412,460.0,664,711,427,623,474,1498,916,367,525,378,659,452,565,829,974,1464,7504,3298,5356,1544,1072,2578,2598,2972,8100,7116,5904,2540,7836,449,2472,6064,7240,4476,11336,269,1184,365,790,481,855,5008,2580,6216,558,388,564,731,571,781,742,467,872,1144,3156,345
18.544514559226197,73.85392648250487,605,495,568,600,366,485,454,495,498,431,456,413,421,495,456,518,575.0,750,667,391,558,365,984,857,551,363,516,563,588,554,732,1164,1130,8544,1328,5660,5348,5712,2302,967,1278,8164,6080,4120,5716,8832,317,5428,6176,7552,4176,11184,606,4508,2358,720,3278,593,5536,432,4864,496,519,404,618,425,522,518,373,698,1098,686,393
18.54160913028136,73.85167209507341,755,460,535,491,367,524,426,372,436,336,314,504,408,361,274,333,383.0,597,615,336,556,372,1006,870,475,432,444,552,519,473,706,1036,1704,8156,2754,5152,4752,5392,2422,529,1048,8224,6880,5024,6060,8148,779,6044,6344,7924,4356,11736,835,5972,242,7744,4796,621,2428,8560,5736,458,476,419,684,412,1034,451,432,813,644,5208,410
18.5402369624264,73.8489338202096,615,511,577,596,402,735,554,568,601,583,595,694,543,449,384,321,571.0,803,833,643,753,494,609,1154,810,1084,737,913,731,1034,1226,1342,988,8084,1906,4560,2282,3520,2096,647,2056,8184,7412,6144,6684,7420,488,4504,6564,7744,3598,11328,7592,6752,507,376,2490,722,4404,6932,5868,620,550,661,801,642,423,803,600,1020,947,4520,617
18.53406452294097,73.84442782948553,509,503,552,560,464,512,473,492,572,552,565,430,510,384,331,304,461.0,668,652,428,538,352,681,833,511,397,426,551,527,446,711,996,918,8156,4804,5068,1700,5464,2248,805,5216,8232,8076,7232,6688,7084,197,7076,7240,7568,3604,11200,2012,6036,203,4308,355,2270,3852,12776,6564,361,453,481,634,454,714,410,384,726,594,8544,375
18.5338267894985,73.83514533517442,542,523,585,561,522,705,525,455,565,522,570,686,580,514,557,483,612.0,719,754,434,721,473,779,819,529,778,476,721,538,593,943,1126,1090,7660,5160,5200,3146,8000,3284,1296,1050,8084,7528,6344,6752,5572,568,520,7872,7616,2896,10840,866,3318,368,608,5444,727,3338,8240,6368,499,445,503,756,543,777,491,503,1078,769,7716,352
18.53240023386963,73.83828124803037,498,494,604,553,409,359,427,350,449,350,399,365,442,397,353,368,463.0,634,618,375,565,411,800,746,318,487,301,617,377,451,777,1010,1100,8004,4018,5288,3428,8248,2674,1776,7720,8144,8000,6544,6588,5436,440,403,7872,5768,2618,11384,501,3408,277,669,632,758,5860,10312,6504,399,410,505,653,540,777,512,451,894,717,9064,397
18.531648737809103,73.83364434346669,469,469,586,606,366,520,532,647,636,666,435,560,425,368,316,330,420.0,615,663,343,596,364,803,685,557,565,482,644,572,500,794,1042,1030,7632,4372,5052,4124,9152,3088,878,6248,8112,7528,6880,6880,5180,421,517,7992,5804,2894,10264,461,1620,387,525,535,654,5460,4440,5988,512,403,523,786,483,505,372,463,887,999,8656,312
