system:index,B2,B3,B4,B8,.geo
0,385,511,473,1670,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
1,379,586,521,1914,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
2,297,461,341,1998,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
3,407,576,485,2155,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
4,421,667,524,2164,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
5,556,897,735,3151,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
6,378,586,512,1894,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
7,515,716,705,2186,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
8,296,508,359,2117,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
9,438,563,520,1805,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
10,417,702,498,2344,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
11,394,569,463,1757,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
12,340,462,390,1428,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
13,412,587,524,1931,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
14,379,562,468,1978,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
15,333,493,468,1404,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
16,291,480,367,1755,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
17,444,589,538,1865,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
18,363,587,490,2182,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
19,372,520,480,1538,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
20,384,536,451,1736,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
21,450,777,634,2729,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,400,585,469,2275,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,834,1086,1428,1932,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,479,684,623,2302,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,867,1038,1220,1450,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,310,527,304,251,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,444,625,555,2404,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,488,680,591,1808,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,508,679,610,2464,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
