system:index,B11,B2,B3,B4,B8,SCL,.geo
0,1721,783,933,969,1762,7,"{""type"":""Point"",""coordinates"":[73.98334932594535,18.479827674653684]}"
1,1721,797,901,930,1802,7,"{""type"":""Point"",""coordinates"":[73.98344403248957,18.479828182938377]}"
2,1717,845,948,938,1816,7,"{""type"":""Point"",""coordinates"":[73.98353873903683,18.47982869117574]}"
3,1717,902,1010,1026,1782,7,"{""type"":""Point"",""coordinates"":[73.98363344558719,18.479829199365767]}"
4,1671,868,1015,1044,1762,7,"{""type"":""Point"",""coordinates"":[73.9837281521406,18.479829707508465]}"
5,1671,878,1030,1088,1701,7,"{""type"":""Point"",""coordinates"":[73.9838228586971,18.479830215603823]}"
6,1629,859,977,1032,1628,7,"{""type"":""Point"",""coordinates"":[73.98391756525665,18.479830723651855]}"
7,1629,869,1021,1134,1652,7,"{""type"":""Point"",""coordinates"":[73.98401227181927,18.479831231652547]}"
8,1721,804,933,966,1736,7,"{""type"":""Point"",""coordinates"":[73.98334985865846,18.47973730708298]}"
9,1721,832,916,933,1721,7,"{""type"":""Point"",""coordinates"":[73.98344456515306,18.47973781536502]}"
10,1717,797,942,924,1766,7,"{""type"":""Point"",""coordinates"":[73.98353927165073,18.479738323599722]}"
11,1717,812,937,886,1766,7,"{""type"":""Point"",""coordinates"":[73.98363397815147,18.47973883178709]}"
12,1671,821,901,899,1736,7,"{""type"":""Point"",""coordinates"":[73.98372868465528,18.479739339927125]}"
13,1671,819,900,930,1614,7,"{""type"":""Point"",""coordinates"":[73.98382339116218,18.479739848019825]}"
14,1629,807,891,915,1470,7,"{""type"":""Point"",""coordinates"":[73.98391809767213,18.479740356065196]}"
15,1629,799,922,933,1411,7,"{""type"":""Point"",""coordinates"":[73.98401280418514,18.47974086406323]}"
16,1627,808,962,966,1656,7,"{""type"":""Point"",""coordinates"":[73.98335039136849,18.479646939511415]}"
17,1627,797,924,941,1682,7,"{""type"":""Point"",""coordinates"":[73.9834450978135,18.47964744779079]}"
18,1603,791,933,903,1745,7,"{""type"":""Point"",""coordinates"":[73.98353980426155,18.47964795602283]}"
19,1603,804,897,905,1718,7,"{""type"":""Point"",""coordinates"":[73.98363451071269,18.47964846420754]}"
20,1491,780,872,908,1654,7,"{""type"":""Point"",""coordinates"":[73.9837292171669,18.479648972344915]}"
21,1491,821,904,908,1510,7,"{""type"":""Point"",""coordinates"":[73.98382392362419,18.47964948043496]}"
22,1426,767,865,908,1438,7,"{""type"":""Point"",""coordinates"":[73.98391863008453,18.479649988477668]}"
23,1426,755,890,915,1427,7,"{""type"":""Point"",""coordinates"":[73.98401333654796,18.47965049647305]}"
24,1335,553,749,549,2732,4,"{""type"":""Point"",""coordinates"":[74.01481219699708,18.476469454535422]}"
25,1335,556,733,562,2813,4,"{""type"":""Point"",""coordinates"":[74.01490690261103,18.476469947004546]}"
26,1312,546,724,576,2832,4,"{""type"":""Point"",""coordinates"":[74.01500160822793,18.476470439426343]}"
27,1312,556,756,571,2729,4,"{""type"":""Point"",""coordinates"":[74.01509631384782,18.476470931800815]}"
28,1312,528,721,562,2740,4,"{""type"":""Point"",""coordinates"":[74.01519101947068,18.47647142412796]}"
29,1312,521,717,575,2706,4,"{""type"":""Point"",""coordinates"":[74.01528572509652,18.47647191640778]}"
30,1284,546,715,566,2544,4,"{""type"":""Point"",""coordinates"":[74.01481271312505,18.47637908606102]}"
