Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13
18.739513970062802,73.92849851069936,1333,1955,1811,1472,1400,1726,1721,1479,1946,1663,1488,2057,1710,1674,1837,1574,1786.0,1670,1660,1724,1598,2236,1625,1806,1715,1627,2502,2450,1736,2489,2395,1692,978,5238,1839,1848,3815,1901,3655,1960,1860,2033,5676,2177,5199
18.7395145130135,73.92859335935796,1333,1682,1811,1472,1400,1726,1721,1479,1269,1663,1488,1529,1710,1674,1837,1574,1786.0,1670,1660,1724,1598,1725,1625,1806,1715,1627,1929,1963,1736,2080,2072,1692,978,5238,1721,1837,3886,1901,3638,1837,1860,2033,5676,2160,5204
18.7395150559161,73.9286882080198,1181,1682,2586,1457,1275,1663,1717,1482,1269,1668,1487,1529,1768,1706,1828,1591,1859.0,1682,1747,1686,1598,1725,1633,1829,1716,1620,1929,1963,1666,2080,2072,1701,1042,5298,1721,1837,3886,1922,3638,1837,1860,2025,5676,2160,5204
18.73951559877077,73.92878305668489,1181,1791,2586,1457,1275,1663,1717,1482,1757,1668,1487,1966,1768,1706,1828,1591,1859.0,1682,1747,1686,1598,1852,1633,1829,1716,1620,1883,2084,1666,2268,2344,1701,1042,5298,1687,1840,3930,1922,3620,1709,1860,2025,5676,2161,5246
18.73951614157734,73.92887790535327,1475,1955,2112,1486,1430,1596,1671,1549,1946,1668,1558,2057,1793,1794,1877,1682,1913.0,1745,1849,1731,1624,2236,1735,1900,1787,1788,2502,2450,1563,2489,2395,1705,1117,5429,1839,1848,3815,1897,3655,1960,2082,2014,5636,2177,5246
18.739423606566103,73.92849908062281,1291,1682,1811,1486,1321,1596,1671,1549,1269,1668,1558,1529,1793,1794,1877,1682,1913.0,1745,1849,1724,1624,1725,1735,1900,1787,1788,1929,1963,1736,2080,2072,1663,993,5429,1721,1837,3886,1897,3638,1837,2082,2014,5636,2160,5290
18.739424149514,73.92859392923098,1291,1682,1811,1459,1321,1478,1629,1648,1269,1696,1714,1529,1747,1933,1989,1766,1946.0,1812,1871,1724,2234,1725,1830,1960,1951,1994,1929,1963,1736,2080,2072,1663,993,5460,1721,1837,3886,1839,3638,1837,1025,2025,5651,2160,5290
18.73942469241386,73.92868877784241,1219,1791,2586,1459,1286,1478,1629,1648,1757,1696,1714,1966,1747,1933,1989,1766,1946.0,1812,1871,1686,2234,1852,1830,1960,1951,1994,1883,2084,1666,2268,2344,1687,1031,5460,1687,1840,3930,1839,3620,1709,1025,2025,5651,2161,5300
18.73942523526567,73.92878362645706,1219,2026,2586,1486,1286,1726,1721,1479,1844,1663,1488,1978,1710,1674,1837,1574,1786.0,1670,1660,1686,1857,2219,1625,1806,1715,1627,2502,2453,1666,2403,2394,1687,1031,5238,1799,1846,3744,1901,3643,1947,1089,2033,5666,2174,5133
18.739425778069428,73.928878475075,1513,1738,2112,1486,1462,1726,1721,1479,1313,1663,1488,1551,1710,1674,1837,1574,1786.0,1670,1660,1731,2203,1701,1625,1806,1715,1627,1886,1960,1563,2086,2085,1680,1026,5238,1690,1837,3782,1901,3609,1830,1042,2033,5651,2159,5179
18.73933324306855,73.92849965054303,1291,1738,1373,1459,1321,1663,1717,1482,1313,1668,1487,1551,1768,1706,1828,1591,1859.0,1682,1747,1621,2203,1701,1633,1829,1716,1620,1886,1960,1564,2086,2085,1663,993,5298,1690,1837,3782,1922,3609,1830,1042,2025,5651,2159,5179
18.739333786013642,73.92859449910075,1291,1855,1373,1459,1321,1663,1717,1482,1802,1668,1487,2026,1768,1706,1828,1591,1859.0,1682,1747,1621,1853,1860,1633,1829,1716,1620,1905,2076,1564,2275,2327,1663,993,5298,1551,1838,3834,1922,3599,1675,1105,2025,5664,2165,5217
18.73933432891068,73.92868934766176,1219,2026,1776,1732,1286,1596,1671,1549,1844,1668,1558,1978,1793,1794,1877,1682,1913.0,1745,1849,1601,2203,2219,1735,1900,1787,1788,2502,2453,1560,2403,2394,1687,1031,5429,1799,1846,3744,1897,3643,1947,1042,2014,5651,2174,5217
18.7393348717596,73.92878419622599,1219,1738,1776,1529,1286,1596,1671,1549,1313,1668,1558,1551,1793,1794,1877,1682,1913.0,1745,1849,1601,2203,1701,1735,1900,1787,1788,1886,1960,1560,2086,2085,1687,1031,5429,1690,1837,3782,1897,3609,1830,1042,2014,5651,2159,5275
