system:index,B11,B2,B3,B4,B8,SCL,.geo
0,2495,818,1096,1470,1981,5,"{""type"":""Point"",""coordinates"":[73.8929834619457,18.51149217460473]}"
1,2495,808,1052,1436,1910,5,"{""type"":""Point"",""coordinates"":[73.89307818311032,18.511492728978826]}"
2,2550,756,974,1400,1864,5,"{""type"":""Point"",""coordinates"":[73.89317290427829,18.5114932833055]}"
3,2550,788,984,1404,1921,5,"{""type"":""Point"",""coordinates"":[73.89326762544958,18.51149383758477]}"
4,2590,754,969,1388,1949,5,"{""type"":""Point"",""coordinates"":[73.89336234662424,18.51149439181662]}"
5,2590,774,974,1328,1898,5,"{""type"":""Point"",""coordinates"":[73.89345706780223,18.511494946001054]}"
6,2613,754,955,1324,1903,5,"{""type"":""Point"",""coordinates"":[73.89355178898359,18.51149550013808]}"
7,2613,719,948,1334,1914,5,"{""type"":""Point"",""coordinates"":[73.89364651016825,18.511496054227685]}"
8,2608,671,953,1324,1904,5,"{""type"":""Point"",""coordinates"":[73.8937412313563,18.511496608269873]}"
9,2608,702,865,1268,1861,5,"{""type"":""Point"",""coordinates"":[73.89383595254768,18.51149716226465]}"
10,2562,713,869,1226,1851,5,"{""type"":""Point"",""coordinates"":[73.8939306737424,18.51149771621201]}"
11,2562,707,935,1260,1920,5,"{""type"":""Point"",""coordinates"":[73.89402539494047,18.511498270111957]}"
12,2518,695,899,1268,1925,5,"{""type"":""Point"",""coordinates"":[73.89412011614189,18.511498823964487]}"
13,2518,623,856,1236,1904,5,"{""type"":""Point"",""coordinates"":[73.89421483734664,18.5114993777696]}"
14,2470,675,854,1200,1849,5,"{""type"":""Point"",""coordinates"":[73.89430955855474,18.511499931527304]}"
15,2470,632,839,1192,1829,5,"{""type"":""Point"",""coordinates"":[73.89440427976619,18.511500485237587]}"
16,2412,647,839,1184,1838,5,"{""type"":""Point"",""coordinates"":[73.89449900098097,18.51150103890046]}"
17,2412,672,901,1220,1851,5,"{""type"":""Point"",""coordinates"":[73.89459372219912,18.511501592515913]}"
18,2398,707,905,1258,1901,5,"{""type"":""Point"",""coordinates"":[73.89468844342058,18.511502146083956]}"
19,2398,705,899,1242,1937,5,"{""type"":""Point"",""coordinates"":[73.8947831646454,18.511502699604584]}"
20,2495,807,1028,1422,1932,5,"{""type"":""Point"",""coordinates"":[73.8929840430698,18.511401809991934]}"
21,2495,800,1016,1364,1835,5,"{""type"":""Point"",""coordinates"":[73.89307876418471,18.511402364363132]}"
22,2550,795,1001,1368,1838,5,"{""type"":""Point"",""coordinates"":[73.89317348530297,18.511402918686915]}"
23,2550,760,1024,1394,1928,5,"{""type"":""Point"",""coordinates"":[73.89326820642457,18.511403472963284]}"
24,2590,736,959,1408,1975,5,"{""type"":""Point"",""coordinates"":[73.89336292754953,18.51140402719224]}"
25,2590,773,996,1394,1989,5,"{""type"":""Point"",""coordinates"":[73.89345764867784,18.511404581373778]}"
26,2613,764,972,1332,1896,5,"{""type"":""Point"",""coordinates"":[73.89355236980948,18.5114051355079]}"
27,2613,717,957,1328,1926,5,"{""type"":""Point"",""coordinates"":[73.89364709094447,18.51140568959461]}"
28,2608,730,974,1326,1930,5,"{""type"":""Point"",""coordinates"":[73.89374181208281,18.511406243633907]}"
29,2608,702,891,1318,1943,5,"{""type"":""Point"",""coordinates"":[73.89383653322449,18.51140679762579]}"
30,2562,707,911,1294,1917,5,"{""type"":""Point"",""coordinates"":[73.8939312543695,18.511407351570252]}"
31,2562,711,918,1252,1930,5,"{""type"":""Point"",""coordinates"":[73.89402597551786,18.511407905467305]}"
