Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.6319184135566,73.93410400679646,965,1132,1190,1152,1096,1122,1056,1144,1112,1062,1146,1220,1228,1244,1218,1196,1402.0,1310,1338,1248,1128,1134,1322,1498,1452,1392,1224,1432,1520,1428,1362,1266,1442,10184,4492,2126,7452,3928,2018,1162,7376,7920,6144,4904,4984,8736,2864,1054,6156,6520,5484,7704,948,5536,905,956,823,965,2856,5620,7944,826,861,807,1160,933,790,850,943,1152,821,3330,936
18.63191895068255,73.93419879577029,957,1138,1202,1182,1052,1170,1046,1192,1046,1054,1202,1238,1256,1294,1228,1184,1390.0,1284,1338,1302,1162,1144,1316,1480,1476,1400,1218,1418,1474,1466,1412,1232,1440,10216,4452,2114,7516,3928,2012,1182,7296,7924,6164,4872,5020,8736,3028,1156,6136,6520,5428,7648,939,5240,916,966,830,1004,2674,4576,7956,829,926,864,1154,937,779,824,969,1144,848,3120,918
18.63191948776076,73.93429358474734,971,1132,1168,1148,974,1210,1038,1128,1042,1070,1188,1222,1264,1266,1250,1290,1470.0,1350,1394,1346,1168,1180,1336,1528,1498,1466,1272,1458,1472,1512,1412,1256,1474,10264,4420,2074,7508,3730,2016,1200,7232,7920,6164,4852,4920,8680,2674,1254,6208,6504,5440,7472,930,5192,964,922,812,1023,2532,3820,7944,897,932,876,1114,908,846,913,974,1166,898,3580,918
18.63192002479122,73.93438837372764,988,1168,1216,1144,984,1220,1024,1166,1005,1036,1208,1244,1298,1294,1290,1408,1636.0,1434,1476,1350,1180,1166,1390,1588,1538,1526,1294,1514,1550,1454,1444,1290,1498,10216,4460,2054,7520,3742,2002,1194,6996,7892,6176,4784,5096,8680,2666,1212,6304,6520,5400,7628,930,4936,941,863,780,1040,2340,3820,7920,869,902,843,1112,883,849,852,967,1134,808,3404,929
18.631920561773928,73.93448316271117,974,1116,1176,1148,969,1200,1026,1142,1007,1007,1214,1224,1306,1310,1284,1488,1684.0,1476,1546,1294,1214,1232,1422,1604,1594,1550,1322,1558,1648,1428,1460,1314,1538,10192,4428,2068,7580,3890,2044,1198,6248,7880,6164,4784,5244,8704,2454,1106,6320,6544,5396,7704,941,4848,1034,865,786,1090,2282,3714,7904,938,899,849,1112,886,833,898,955,1128,809,3652,903
18.63192109870889,73.93457795169792,1018,1144,1154,1162,974,1086,1011,1148,1018,999,1186,1226,1266,1274,1236,1594,1664.0,1542,1544,1288,1184,1170,1412,1598,1584,1506,1290,1538,1608,1458,1418,1332,1548,10208,4480,2092,7592,3926,1990,1206,5664,7924,6196,4748,5280,8704,2358,1062,6364,6504,5384,7724,918,4548,988,922,786,1064,2272,3698,7924,886,907,849,1086,870,854,891,974,1126,865,3554,882
18.63182804885932,73.93410457024362,1012,1128,1158,1146,955,1170,987,1136,974,991,1192,1200,1296,1270,1228,1560,1656.0,1538,1546,1310,1218,1192,1374,1584,1482,1512,1350,1532,1582,1444,1448,1280,1544,10256,4400,2152,7588,3916,2050,1230,5716,7924,6224,4720,5832,8664,2222,1078,6400,6544,5348,7872,941,4928,1038,922,807,1116,2060,3542,7956,894,904,857,1082,880,868,871,979,1134,819,3742,860
18.631828585982397,73.93419935916738,993,1128,1138,1180,948,1210,999,1190,994,961,1190,1256,1258,1302,1248,1568,1688.0,1566,1556,1346,1190,1184,1392,1598,1500,1494,1302,1526,1572,1466,1448,1284,1552,10296,4328,2132,7592,4140,2038,1238,5704,7892,6208,4680,5672,8672,2112,1130,6400,6520,5272,7580,954,4620,996,937,803,1068,1860,3496,7880,891,923,847,1124,882,835,896,1042,1164,903,3730,874
18.631829123057898,73.93429414809438,994,1094,1152,1164,953,1192,1005,1168,971,944,1162,1234,1260,1256,1246,1632,1686.0,1594,1574,1328,1180,1152,1410,1622,1532,1544,1316,1560,1582,1494,1418,1282,1582,10408,4340,2174,7560,4488,2028,1266,5656,7880,6280,4648,6168,8664,1896,1110,6192,6532,5324,7584,946,5340,1018,963,832,1050,1964,3724,7808,854,912,849,1130,893,804,860,998,1188,834,3682,952
18.63182966008557,73.93438893702458,1018,1152,1212,1220,865,1160,967,1242,953,930,1212,1308,1268,1332,1282,1598,1760.0,1596,1620,1302,1162,1130,1478,1660,1604,1626,1266,1616,1654,1494,1412,1312,1572,10384,4404,2142,7588,4740,2046,1250,5724,7884,6224,4632,6188,8664,1762,1092,6244,6532,5292,7496,948,5156,986,957,860,1054,2066,4058,7704,865,901,854,1168,921,866,847,1032,1158,861,3694,985
