Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.6319184135566,73.93410400679646,1990,1919,1836,1861,1981,2012,1856,2009,1852,1922,1933,2011,2074,2100,2053,2119,2270.0,2152,2166,2170,1874,1977,2116,2388,2332,2231,2036,2366,2332,2442,2032,1798,2604,8664,5052,3196,6592,4812,2994,3484,6664,8240,7168,5264,4996,7364,4042,3760,5712,6084,5596,6600,2864,5152,2077,3377,2553,2093,3550,5360,7284,1792,2919,2767,2787,2497,2026,2159,1868,1888,1788,2770,1892
18.63191895068255,73.93419879577029,2008,1910,1836,1863,1910,2162,1814,2029,1786,1839,1966,2058,2117,2082,2100,2088,2312.0,2118,2240,2283,1932,2024,2146,2380,2374,2244,2074,2334,2358,2511,2068,1786,2454,8744,5044,3216,6640,4860,2910,3400,6652,8232,7208,5272,4952,7364,4160,3464,5760,6092,5596,6704,2852,4916,2050,3124,2698,2092,3532,4684,7264,1814,2805,2629,2791,2541,2104,2123,1874,1897,1830,2652,1909
18.63191948776076,73.93429358474734,2055,1882,1830,1808,1864,2344,1840,1941,1760,1857,1923,1952,2061,2014,2062,2238,2464.0,2216,2342,2384,1874,1932,2198,2436,2452,2344,2031,2406,2398,2680,2046,1792,2476,8776,4992,3088,6684,4764,2972,3514,6576,8240,7144,5244,4908,7348,3926,3356,5876,6080,5560,6572,2912,4992,1989,2943,2854,2083,3458,4212,7284,1714,3002,2722,2828,2533,2162,2208,1756,1731,1916,3032,1944
18.63192002479122,73.93438837372764,2094,1874,1884,1825,1921,2328,1912,1959,1810,1954,1978,2002,2114,2080,2084,2398,2680.0,2374,2508,2434,1886,1968,2284,2520,2584,2455,2050,2486,2530,2503,2032,1858,2552,8728,5008,3112,6708,4644,2974,4040,6476,8264,7208,5260,5040,7328,3894,3564,5956,6108,5528,6588,2952,4780,1992,3090,2588,2022,3418,4328,7236,1758,3131,2908,2988,2740,2156,2415,1794,1759,1954,2878,1915
18.631920561773928,73.93448316271117,2100,1723,1769,1704,1949,2274,1912,1853,1852,1946,1868,1859,2032,1941,2031,2590,2788.0,2512,2656,2357,1848,1914,2382,2664,2632,2566,2029,2578,2640,2456,2008,1878,2580,8664,4996,3042,6724,4720,2854,4264,6120,8264,7168,5248,5028,7352,3702,3514,5988,6120,5528,6616,2956,4628,1775,3215,2436,1874,3312,4392,7236,1517,3132,3032,2978,2733,2222,2426,1603,1653,2044,3142,1809
18.63192109870889,73.93457795169792,2120,1782,1828,1804,1898,2064,1898,1947,1848,1942,1902,1924,1980,2016,2030,2676,2752.0,2590,2586,2261,1856,1936,2324,2534,2588,2558,2020,2480,2588,2583,2000,1872,2520,8664,5084,3050,6772,4756,2918,4042,5560,8200,7272,5268,5092,7332,3610,3554,5972,6100,5512,6724,2940,4488,1857,3211,2480,1918,3306,4276,7300,1648,2994,2879,2933,2767,2230,2442,1697,1753,2104,3062,1731
18.63182804885932,73.93410457024362,2044,1627,1651,1674,1903,2198,1870,1816,1832,1902,1832,1886,1948,1946,1974,2648,2734.0,2546,2562,2357,1814,1904,2250,2508,2444,2406,1998,2412,2498,2511,1976,1820,2502,8768,4992,3064,6772,4628,2842,3970,5400,8208,7192,5216,5508,7304,3438,3924,5960,6124,5500,6796,2974,4472,1756,2956,2575,1770,3124,3972,7196,1562,2920,2824,2897,2654,2194,2380,1536,1696,2072,3250,1712
18.631828585982397,73.93419935916738,2081,1758,1720,1808,1914,2320,1836,1992,1822,1910,1875,2018,1944,1993,1964,2692,2736.0,2586,2592,2395,1806,1914,2284,2542,2470,2454,1968,2464,2468,2518,1980,1814,2558,8832,4880,3110,6764,4696,2900,4104,5288,8224,7252,5168,5336,7296,3364,3994,5956,6124,5444,6468,2927,4256,1870,2910,2657,1869,3040,3672,7140,1750,2928,2824,2888,2670,2070,2327,1703,1854,2080,3210,1709
18.631829123057898,73.93429414809438,2105,1692,1651,1768,1904,2294,1828,1916,1812,1927,1793,1908,1936,1976,1982,2762,2822.0,2624,2654,2441,1770,1852,2322,2630,2526,2502,1947,2558,2548,2578,1970,1836,2656,8904,4852,3174,6764,5004,2874,4208,5308,8208,7164,5136,5928,7324,3208,3868,5780,6168,5444,6588,2898,4692,1902,2894,2474,1876,3018,3770,7104,1674,2978,2796,2895,2664,2102,2377,1722,1872,2076,3272,1919
18.63182966008557,73.93438893702458,2160,1860,1784,1858,1861,2252,1853,2014,1822,1930,1879,1962,2072,2023,2020,2720,2958.0,2680,2764,2342,1770,1835,2408,2644,2658,2663,1956,2640,2688,2634,1964,1876,2646,8832,4912,3154,6752,5180,2932,4176,5368,8180,7232,5124,5816,7240,3146,4074,5816,6132,5480,6616,2911,4540,1966,3001,2634,1957,3242,4046,7036,1725,3019,2792,2909,2741,2160,2347,1841,1909,2004,3248,2024
