Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.6319184135566,73.93410400679646,2920,2384,2454,2403,2495,2624,2463,2412,2501,2546,2582,2573,2644,2630,2682,2801,2885.0,2747,2799,2995,2543,2527,2811,2900,2910,2971,2634,2912,3000,3305,2586,1890,2752,5932,5406,2641,5266,4235,2534,2322,5132,2091,5029,3531,3793,4012,3751,2641,4257,4031,4172,5211,2233,4601,2270,2627,2636,2372,2373,3334,3630,2240,2231,2272,2531,2350,2872,2513,2460,2439,2684,2824,3023
18.63191895068255,73.93419879577029,2920,2335,2368,2341,2495,2942,2463,2374,2501,2546,2530,2533,2609,2597,2635,2801,2885.0,2747,2799,3129,2545,2514,2811,2900,2910,2971,2653,2912,3000,3305,2596,1890,2752,5932,5459,2606,5266,4235,2505,2322,5132,2091,5016,3531,3759,4012,3879,2641,4257,4030,4172,5211,2233,4276,2229,2627,2636,2349,2373,3334,3630,2160,2231,2272,2531,2350,2872,2513,2329,2356,2684,2531,3023
18.63191948776076,73.93429358474734,2955,2233,2286,2209,2550,2942,2528,2257,2557,2601,2441,2399,2498,2462,2550,2951,3040.0,2859,2951,3129,2427,2373,2849,2916,3011,3047,2518,2998,3056,3352,2496,1915,2852,5978,5459,2655,5314,4190,2499,2359,4753,2096,5046,3508,4001,3992,3500,2737,4302,4052,4182,5264,2237,4627,2161,2623,2533,2237,2219,2914,3561,2062,2307,2330,2549,2365,2880,2528,2229,2239,2621,2795,3091
18.63192002479122,73.93438837372764,2955,2232,2289,2243,2550,3037,2528,2272,2557,2601,2419,2417,2500,2478,2520,2951,3040.0,2859,2951,3216,2427,2385,2849,2916,3011,3047,2516,2998,3056,3352,2494,1915,2852,5978,5475,2630,5314,4190,2450,2359,4753,2096,5034,3508,4041,3992,3434,2737,4302,4045,4182,5264,2237,4313,2143,2623,2533,2280,2219,2914,3561,2067,2307,2330,2549,2365,2880,2528,2210,2257,2621,2571,3091
18.631920561773928,73.93448316271117,2976,2233,2286,2209,2590,3037,2587,2257,2613,2665,2441,2399,2498,2462,2550,3085,3156.0,2990,3092,3216,2427,2373,2909,2937,3041,3087,2518,2991,3093,3245,2496,1926,2906,6051,5475,2655,5319,4306,2499,2411,4332,2077,5046,3473,4001,4022,3500,2723,4337,4052,4185,5388,2195,4627,2161,2524,2455,2237,2207,2697,3514,2062,2324,2325,2541,2301,2782,2577,2229,2239,2572,2795,3013
18.63192109870889,73.93457795169792,2976,2232,2289,2243,2590,2809,2587,2272,2613,2665,2419,2417,2500,2478,2520,3085,3156.0,2990,3092,3104,2427,2385,2909,2937,3041,3087,2516,2991,3093,3245,2494,1926,2906,6051,5414,2630,5319,4306,2450,2411,4332,2077,5034,3473,4041,4022,3434,2723,4337,4045,4185,5388,2195,4313,2143,2524,2455,2280,2207,2697,3514,2067,2324,2325,2541,2301,2782,2577,2210,2257,2572,2571,3013
18.63182804885932,73.93410457024362,2920,2136,2139,2154,2613,3120,2604,2249,2650,2695,2288,2367,2367,2401,2424,3158,3189.0,3062,3128,3244,2279,2318,2840,2915,2987,3026,2385,2942,2989,3170,2420,1884,2895,6134,5293,2681,5276,4421,2432,2354,4292,2089,5061,3445,4512,4079,3011,2643,4375,4064,4178,5435,2233,4707,2084,2563,2579,2185,2426,2609,3434,2041,2300,2328,2536,2271,2627,2633,2093,2288,2557,2651,3108
18.631828585982397,73.93419935916738,2920,2198,2203,2279,2613,3120,2604,2290,2650,2695,2355,2406,2396,2458,2463,3158,3189.0,3062,3128,3244,2287,2346,2840,2915,2987,3026,2394,2942,2989,3263,2427,1884,2895,6134,5293,2654,5276,4421,2424,2354,4292,2089,5040,3445,4669,4079,2951,2643,4375,4056,4178,5212,2233,4464,2139,2563,2579,2265,2426,2609,3434,2114,2300,2328,2536,2271,2834,2633,2283,2376,2557,2475,3108
18.631829123057898,73.93429414809438,2955,2136,2139,2154,2608,3094,2569,2249,2639,2691,2288,2367,2367,2401,2424,3217,3249.0,3113,3195,3253,2279,2318,2910,2974,2999,3081,2385,2959,3044,3263,2420,1903,2921,6202,5249,2681,5243,4703,2432,2385,4221,2091,5061,3434,4512,4100,3011,2554,4298,4064,4159,5212,2237,4707,2084,2605,2596,2185,2771,2909,3363,2041,2280,2336,2516,2273,2834,2512,2093,2288,2466,2651,2986
18.63182966008557,73.93438893702458,2955,2198,2203,2279,2608,3094,2569,2290,2639,2691,2355,2406,2396,2458,2463,3217,3249.0,3113,3195,3253,2287,2346,2910,2974,2999,3081,2394,2959,3044,3168,2427,1903,2921,6202,5249,2654,5243,4703,2424,2385,4221,2091,5040,3434,4669,4100,2951,2554,4298,4056,4159,5244,2237,4464,2139,2605,2596,2265,2771,2909,3363,2114,2280,2336,2516,2273,2775,2512,2283,2376,2466,2475,2986
18.63183019706549,73.93448372595803,2976,2307,2264,2364,2562,2809,2544,2404,2599,2675,2396,2533,2473,2536,2538,3267,3282.0,3147,3179,3104,2330,2430,2947,3024,3043,3086,2426,3020,3070,3168,2477,1896,2983,6230,5414,2684,5258,4860,2437,2402,4269,2091,5068,3407,4986,4117,2471,2310,4325,4053,4150,5244,2195,4644,2171,2560,2560,2299,3005,3523,3317,2200,2251,2292,2495,2260,2775,2339,2388,2502,2293,2434,2989
