system:index,B11,B2,B3,B4,B8,SCL,.geo
0,1458,648,762,506,2604,4,"{""type"":""Point"",""coordinates"":[73.38300118935113,18.804262622296687]}"
1,1631,666,771,484,2692,4,"{""type"":""Point"",""coordinates"":[73.38309605291836,18.80426344433676]}"
2,1631,658,794,516,2956,4,"{""type"":""Point"",""coordinates"":[73.3831909164905,18.804264266328655]}"
3,1707,647,785,498,2880,4,"{""type"":""Point"",""coordinates"":[73.38328578006758,18.80426508827237]}"
4,1707,645,744,489,2780,4,"{""type"":""Point"",""coordinates"":[73.38338064364955,18.804265910167903]}"
5,1825,677,781,503,2680,4,"{""type"":""Point"",""coordinates"":[73.38290718903946,18.8041714576365]}"
6,1825,664,764,494,2750,4,"{""type"":""Point"",""coordinates"":[73.38300205255118,18.804172279720515]}"
7,1849,671,795,501,2850,4,"{""type"":""Point"",""coordinates"":[73.38309691606781,18.80417310175635]}"
8,1849,693,812,522,2980,4,"{""type"":""Point"",""coordinates"":[73.38319177958938,18.80417392374401]}"
9,1825,653,783,495,2896,4,"{""type"":""Point"",""coordinates"":[73.38328664311585,18.804174745683486]}"
10,1825,648,752,457,2752,4,"{""type"":""Point"",""coordinates"":[73.38338150664725,18.804175567574784]}"
11,1931,701,760,484,2832,4,"{""type"":""Point"",""coordinates"":[73.38347637018356,18.8041763894179]}"
12,1931,688,850,547,3284,4,"{""type"":""Point"",""coordinates"":[73.38357123372478,18.80417721121284]}"
13,1701,705,823,554,3154,4,"{""type"":""Point"",""coordinates"":[73.38281318882896,18.804080292935684]}"
14,1825,688,836,538,3382,4,"{""type"":""Point"",""coordinates"":[73.38290805228516,18.804081115063646]}"
15,1825,672,811,497,3028,4,"{""type"":""Point"",""coordinates"":[73.3830029157463,18.804081937143422]}"
16,1849,702,774,510,2786,4,"{""type"":""Point"",""coordinates"":[73.38309777921236,18.804082759175024]}"
17,1849,702,796,520,2774,4,"{""type"":""Point"",""coordinates"":[73.38319264268333,18.804083581158444]}"
18,1825,653,735,497,2496,4,"{""type"":""Point"",""coordinates"":[73.3832875061592,18.804084403093682]}"
19,1825,640,725,464,2598,4,"{""type"":""Point"",""coordinates"":[73.38338236964002,18.804085224980746]}"
20,1931,658,805,514,3088,4,"{""type"":""Point"",""coordinates"":[73.38347723312573,18.804086046819627]}"
21,1931,677,863,541,3342,4,"{""type"":""Point"",""coordinates"":[73.38357209661638,18.804086868610327]}"
22,2023,675,850,538,3064,4,"{""type"":""Point"",""coordinates"":[73.38366696011194,18.804087690352844]}"
23,2023,733,826,529,2822,4,"{""type"":""Point"",""coordinates"":[73.38376182361242,18.804088512047187]}"
24,1793,694,804,515,2710,4,"{""type"":""Point"",""coordinates"":[73.38262432532383,18.80398830597418]}"
25,1826,680,824,566,3108,4,"{""type"":""Point"",""coordinates"":[73.38271918871962,18.80398912819426]}"
26,1826,742,869,572,3454,4,"{""type"":""Point"",""coordinates"":[73.38281405212034,18.803989950366166]}"
27,1889,691,854,537,3326,4,"{""type"":""Point"",""coordinates"":[73.38290891552596,18.803990772489886]}"
28,1889,628,824,495,3008,4,"{""type"":""Point"",""coordinates"":[73.3830037789365,18.803991594565428]}"
29,1859,711,827,523,2964,4,"{""type"":""Point"",""coordinates"":[73.38309864235197,18.80399241659279]}"
30,1859,703,814,549,2880,4,"{""type"":""Point"",""coordinates"":[73.38319350577234,18.803993238571973]}"
31,1920,657,789,524,2830,4,"{""type"":""Point"",""coordinates"":[73.38328836919766,18.803994060502976]}"
32,1920,696,844,523,3174,4,"{""type"":""Point"",""coordinates"":[73.38338323262788,18.8039948823858]}"
33,2094,700,919,583,3474,4,"{""type"":""Point"",""coordinates"":[73.383478096063,18.803995704220444]}"
34,2094,734,903,581,3396,4,"{""type"":""Point"",""coordinates"":[73.38357295950307,18.80399652600691]}"
35,2052,692,874,533,3178,4,"{""type"":""Point"",""coordinates"":[73.38366782294803,18.803997347745195]}"
36,2052,749,920,571,3088,4,"{""type"":""Point"",""coordinates"":[73.38376268639792,18.803998169435296]}"
37,1980,790,915,611,3008,4,"{""type"":""Point"",""coordinates"":[73.3838575498527,18.803998991077226]}"
38,1980,839,990,626,2888,4,"{""type"":""Point"",""coordinates"":[73.38395241331244,18.803999812670966]}"
39,2031,954,993,650,2856,4,"{""type"":""Point"",""coordinates"":[73.38404727677707,18.804000634216536]}"
40,1793,683,776,516,2946,4,"{""type"":""Point"",""coordinates"":[73.38253032537116,18.803897141148198]}"
41,1793,708,834,539,3018,4,"{""type"":""Point"",""coordinates"":[73.38262518871146,18.80389796341222]}"
42,1826,688,838,554,2966,4,"{""type"":""Point"",""coordinates"":[73.38272005205667,18.803898785628064]}"
43,1826,671,781,534,2916,4,"{""type"":""Point"",""coordinates"":[73.38281491540678,18.803899607795728]}"
44,1889,636,715,481,2578,4,"{""type"":""Point"",""coordinates"":[73.38290977876183,18.803900429915213]}"
45,1889,644,683,500,2604,4,"{""type"":""Point"",""coordinates"":[73.38300464212179,18.803901251986517]}"
46,1859,676,810,539,2898,4,"{""type"":""Point"",""coordinates"":[73.38309950548667,18.803902074009642]}"
47,1859,720,841,545,2954,4,"{""type"":""Point"",""coordinates"":[73.38319436885646,18.80390289598459]}"
48,1920,673,818,533,3056,4,"{""type"":""Point"",""coordinates"":[73.38328923223118,18.803903717911354]}"
49,1920,684,862,536,2958,4,"{""type"":""Point"",""coordinates"":[73.38338409561081,18.803904539789944]}"
