Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.80426262229668,73.38300118935113,590,593,622,4532,566,753,525,776,508,921,697,557,581,691,491,700,728,708,653,779,586,594,1013,712,2762,606,659,648,680,703,1306,7260,1582,3716,3306,9096,12744,10848,2200,695,9728,13080,8880,8288,14248,8060,7168,7936,7208,10752,6756,8696,11032,8728,562,482,487,799,2646,3674,762,544,526,1038,550,553,800,503,638,395,1058,2380,535
18.804263444336698,73.38309605291836,588,580,643,3436,555,765,545,772,502,911,666,579,606,721,567,688,735,717,676,775,654,619,1013,688,2678,643,714,652,694,669,1310,7260,1606,3802,3356,9080,12872,10752,2320,652,9736,13008,8816,7744,14032,8068,7164,7852,7208,10824,6748,8712,11000,9176,544,477,510,796,2762,3986,771,523,473,1040,506,526,760,504,614,398,1050,2492,525
18.804264266328648,73.38319091649049,579,655,680,2602,575,787,612,814,567,951,753,679,659,791,641,799,781,775,718,863,642,695,1002,743,3240,673,734,714,741,736,1312,7284,1664,4024,3506,9088,12976,10752,2356,671,9656,12920,8912,7668,13744,8096,7264,7684,7228,10800,6752,8752,10984,9656,587,484,538,792,2832,4164,794,590,532,1060,576,582,800,547,650,431,1052,2420,553
18.8042650882723,73.38328578006758,617,655,691,1628,562,824,691,852,674,951,802,753,764,837,727,768,842,799,761,854,728,706,1032,780,3806,758,816,736,762,778,1330,7304,1606,4312,3488,9096,13008,10784,2380,663,9632,12912,8880,7760,13616,8124,7500,7648,7236,10800,6796,8696,11048,9968,599,571,553,795,2830,4372,785,592,557,1026,530,647,835,532,645,415,1050,2224,588
18.8042659101679,73.38338064364955,565,626,664,1202,545,808,639,832,635,947,802,773,760,826,688,781,855,827,802,866,739,779,1066,843,4100,777,829,799,844,827,1362,7316,1622,4596,3186,9136,13144,10720,2380,633,9592,12920,8928,7628,13576,8080,7624,7624,7212,10856,6768,8688,11048,10256,567,543,488,796,2898,4704,744,534,515,1034,533,575,796,488,597,372,1050,2224,534
18.804171457636002,73.38290718903944,498,651,672,4120,464,789,623,832,545,960,653,651,598,731,580,700,719,733,682,781,591,592,1005,662,2994,626,748,637,709,660,1284,7260,1644,3654,3228,9104,12656,10960,2238,752,9704,13008,8864,8680,14152,8224,7236,8164,7236,10568,6856,8712,11008,8512,572,551,501,822,2720,3796,781,603,488,1078,498,543,802,538,631,469,1090,2210,542
18.80417227972051,73.38300205255118,512,627,678,2614,498,782,612,831,529,930,677,630,629,698,542,661,736,682,662,769,579,583,1018,626,2770,589,696,603,670,621,1294,7276,1638,3802,3270,9184,12728,10912,2290,612,9736,12968,8880,7980,14152,8124,7212,7972,7188,10680,6828,8744,11032,8688,577,539,480,789,2796,4034,764,594,514,1058,526,565,829,514,633,459,1060,2534,550
18.8041731017563,73.38309691606781,514,637,630,1736,467,767,550,809,538,907,683,609,622,712,590,695,763,705,674,797,616,597,1015,626,2762,606,694,601,657,637,1284,7284,1620,3908,3404,9176,12840,10784,2372,613,9728,12880,8880,7412,13928,8092,7204,7764,7228,10800,6796,8744,11000,9144,547,511,507,766,2812,4264,795,571,517,1044,515,558,791,516,626,398,1048,2630,533
18.804173923744,73.38319177958938,566,613,630,1506,534,797,600,834,582,955,777,687,684,753,656,755,813,758,736,830,670,672,1042,756,3382,659,741,659,724,707,1296,7304,1664,4152,3598,9120,12968,10752,2396,662,9632,12824,8880,7372,13768,8096,7340,7568,7228,10800,6768,8696,10984,9432,596,487,548,780,2768,4212,812,545,507,1001,570,599,796,516,608,414,1030,2570,541
18.80417474568348,73.38328664311584,616,628,657,1154,596,792,642,852,633,971,802,725,740,758,680,752,836,771,764,821,708,713,1038,805,3960,702,759,708,749,744,1290,7272,1652,4400,3530,9144,13008,10792,2392,675,9592,12816,8888,7536,13688,8124,7428,7412,7276,10872,6784,8696,11032,9832,579,438,543,790,2774,4548,783,543,490,963,533,594,818,447,622,394,1034,2400,536
