Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.80426262229668,73.38300118935113,2562,2020,1854,4720,2354,1964,2018,1976,1918,2106,2106,2060,1924,1976,1996,2056,2022,2110,2012,1998,2202,2128,2126,2414,3242,2536,2644,2642,2630,2592,2540,6708,3186,3750,3554,8848,11136,9280,2684,3698,9944,12176,9056,7216,11816,7212,6752,8296,6928,9704,5844,7764,9720,7948,2636,2776,2652,2744,3812,4928,2604,2612,2640,2656,2822,2382,2464,2332,2278,2020,2272,3024,2322
18.804263444336698,73.38309605291836,2492,2078,1984,3608,2388,1976,2040,2036,1932,2100,2146,2110,2040,2100,2026,2006,1982,2108,2088,2084,2222,2198,2146,2344,3140,2470,2598,2480,2714,2502,2536,6752,3062,3826,3602,8872,11296,9224,2734,3570,9968,12088,9080,6644,11680,7148,6728,8172,6944,9832,5864,7760,9704,8272,2590,2780,2600,2856,3708,5192,2692,2728,2644,2676,2814,2458,2514,2458,2302,2074,2208,3118,2418
18.804264266328648,73.38319091649049,2500,2244,1885,3046,2254,2028,2184,2036,2164,2164,2236,2222,2062,2116,2168,2050,2032,2144,2106,2162,2200,2264,2104,2332,3574,2512,2448,2440,2480,2442,2438,6744,3002,4016,3728,8888,11344,9168,2798,3550,10000,12032,9048,6364,11488,7212,6764,8008,6924,9872,5888,7768,9704,8736,2734,2918,2852,2940,3682,5216,2956,2946,2930,2778,2886,2618,2600,2554,2474,2074,2316,3088,2504
18.8042650882723,73.38328578006758,2324,2296,1794,2388,2288,2054,2250,2060,2176,2136,2292,2256,2158,2160,2248,1986,2098,2090,2154,2144,2336,2168,2112,2296,4100,2360,2436,2338,2448,2308,2362,6764,2724,4272,3742,8856,11424,9176,2814,3574,9984,12024,9056,6500,11320,7196,6924,7940,6952,9920,5892,7760,9768,9016,2808,2942,2784,2885,3716,5368,2880,3008,2806,2798,2750,2684,2510,2464,2398,2060,2332,2974,2456
18.8042659101679,73.38338064364955,2250,2142,1901,1926,2268,2050,2120,1960,2042,2060,2220,2266,2210,2132,2200,1970,2130,2156,2218,2116,2288,2230,2124,2170,4344,2348,2358,2242,2332,2178,2292,6756,2598,4456,3572,8888,11496,9168,2822,3554,9904,11984,9088,6460,11248,7184,7020,7912,6952,9824,5904,7740,9704,9464,2912,2814,2678,2972,3780,5768,2780,2762,2720,2604,2818,2480,2498,2276,2254,1914,2244,2900,2222
18.804171457636002,73.38290718903944,1980,2388,1736,4672,1996,2364,2298,2362,2114,2426,2110,2358,2016,2282,2172,2318,1912,2266,2070,2142,2120,2376,2130,2656,3414,2622,2588,2718,2676,2696,2590,6744,3300,3692,3642,8840,11016,9232,2766,3956,9992,12184,9032,7476,11416,7308,6764,8648,6984,9496,5936,7760,9720,7740,2708,3078,2562,3024,3884,5124,2680,2940,2592,2908,2520,2486,2554,2840,2438,2412,2242,2928,2338
18.80417227972051,73.38300205255118,2180,2392,1892,3294,2002,2282,2336,2338,2226,2356,2172,2330,2020,2210,2180,2252,1962,2286,2070,2142,2170,2400,2178,2568,3312,2674,2664,2678,2568,2490,2586,6708,3190,3874,3626,8824,11104,9280,2792,3396,9968,12136,9080,6976,11592,7204,6832,8416,6944,9608,5924,7736,9728,8036,2798,3146,2636,2891,3854,5288,2750,3002,2654,2930,2576,2546,2534,2834,2544,2504,2326,3208,2400
18.8041731017563,73.38309691606781,2156,2188,1950,2340,2020,2096,2142,2082,2054,2140,2182,2260,2110,2094,2148,2178,2060,2152,2106,2072,2276,2184,2154,2422,3298,2378,2482,2396,2524,2286,2472,6720,3032,3916,3686,8976,11208,9256,2786,3310,9928,12120,9080,6496,11592,7172,6752,8216,6976,9696,5916,7716,9752,8384,2714,2722,2680,2709,3780,5436,2850,2740,2728,2678,2602,2482,2490,2430,2338,2058,2300,3304,2346
18.804173923744,73.38319177958938,2314,2046,1952,2048,2242,2042,2054,2074,1992,2086,2178,2166,2106,2070,2084,2024,2050,2116,2160,2056,2302,2132,2130,2316,3790,2408,2456,2374,2456,2350,2390,6744,2978,4120,3804,8904,11320,9224,2792,3594,9960,12048,9048,6156,11464,7184,6772,8004,6976,9784,5944,7788,9736,8664,2790,2688,2818,2668,3732,5436,2980,2644,2680,2574,2802,2540,2504,2400,2258,2050,2260,3338,2354
18.80417474568348,73.38328664311584,2352,2010,1915,1788,2266,1892,2018,1974,2008,2018,2230,2096,2076,1986,2038,1904,2030,2002,2106,2028,2230,2074,2076,2166,4160,2348,2334,2280,2358,2228,2328,6720,2684,4352,3846,8888,11384,9216,2822,3428,9888,11984,9088,6328,11424,7184,6860,7760,6976,9896,5860,7760,9744,8840,2736,2680,2784,2874,3718,5616,2896,2452,2522,2486,2692,2348,2356,2078,2166,1794,2200,3232,2292
