system:index,B11,B2,B3,B4,B8,SCL,.geo
0,5185,8656,7940,7496,6952,9,"{""type"":""Point"",""coordinates"":[73.9035617438159,18.516343310105125]}"
1,5185,8624,7984,7500,6968,9,"{""type"":""Point"",""coordinates"":[73.9036564679881,18.516343859320788]}"
2,5237,8696,8084,7544,7040,9,"{""type"":""Point"",""coordinates"":[73.90375119216361,18.516344408489015]}"
3,5237,8760,8068,7584,7108,9,"{""type"":""Point"",""coordinates"":[73.90384591634246,18.516344957609814]}"
4,6355,10416,9520,8952,8440,9,"{""type"":""Point"",""coordinates"":[73.92499206786172,18.512851605014237]}"
5,6355,10360,9568,8952,8408,9,"{""type"":""Point"",""coordinates"":[73.92508679078753,18.51285214339826]}"
6,6355,10448,9568,8952,8424,9,"{""type"":""Point"",""coordinates"":[73.92518151371657,18.512852681734856]}"
7,6355,10416,9592,9056,8528,9,"{""type"":""Point"",""coordinates"":[73.92527623664884,18.512853220024034]}"
8,6329,10360,9640,9056,8504,9,"{""type"":""Point"",""coordinates"":[73.92537095958438,18.5128537582658]}"
9,6329,10400,9640,9000,8504,9,"{""type"":""Point"",""coordinates"":[73.92546568252318,18.512854296460134]}"
10,6295,10416,9696,9032,8480,9,"{""type"":""Point"",""coordinates"":[73.9255604054652,18.51285483460705]}"
11,6295,10400,9656,9056,8536,9,"{""type"":""Point"",""coordinates"":[73.92565512841051,18.512855372706547]}"
12,6280,10400,9672,9056,8536,9,"{""type"":""Point"",""coordinates"":[73.92574985135903,18.512855910758624]}"
13,6280,10416,9728,9080,8528,9,"{""type"":""Point"",""coordinates"":[73.92584457431083,18.512856448763277]}"
14,6324,10384,9584,8952,8456,9,"{""type"":""Point"",""coordinates"":[73.92499263222943,18.51276123944778]}"
15,6324,10400,9568,8984,8408,9,"{""type"":""Point"",""coordinates"":[73.92508735510553,18.512761777828988]}"
16,6333,10360,9600,8992,8456,9,"{""type"":""Point"",""coordinates"":[73.92518207798487,18.512762316162775]}"
17,6333,10312,9640,9056,8504,9,"{""type"":""Point"",""coordinates"":[73.92527680086744,18.512762854449136]}"
18,6311,10336,9752,9032,8480,9,"{""type"":""Point"",""coordinates"":[73.92537152375327,18.512763392688083]}"
19,6311,10272,9696,9016,8440,9,"{""type"":""Point"",""coordinates"":[73.92546624664236,18.51276393087961]}"
20,6297,10280,9672,9096,8440,9,"{""type"":""Point"",""coordinates"":[73.9255609695347,18.512764469023715]}"
21,6297,10312,9672,9096,8456,9,"{""type"":""Point"",""coordinates"":[73.92565569243027,18.5127650071204]}"
22,6296,10400,9640,9096,8456,9,"{""type"":""Point"",""coordinates"":[73.92575041532912,18.512765545169664]}"
23,6296,10400,9648,9128,8488,9,"{""type"":""Point"",""coordinates"":[73.9258451382312,18.51276608317151]}"
24,6324,10352,9616,8984,8504,9,"{""type"":""Point"",""coordinates"":[73.9249931965939,18.512670873880438]}"
25,6324,10352,9616,9032,8440,9,"{""type"":""Point"",""coordinates"":[73.92508791942028,18.51267141225883]}"
26,6333,10368,9616,9032,8400,9,"{""type"":""Point"",""coordinates"":[73.92518264224991,18.512671950589805]}"
27,6333,10312,9632,8992,8456,9,"{""type"":""Point"",""coordinates"":[73.92527736508279,18.512672488873356]}"
28,6311,10360,9680,9056,8400,9,"{""type"":""Point"",""coordinates"":[73.92537208791892,18.512673027109493]}"
29,6311,10264,9656,9056,8376,9,"{""type"":""Point"",""coordinates"":[73.92546681075831,18.512673565298204]}"
30,6297,10352,9648,9128,8400,9,"{""type"":""Point"",""coordinates"":[73.92556153360093,18.5126741034395]}"
31,6297,10368,9616,9096,8392,9,"{""type"":""Point"",""coordinates"":[73.9256562564468,18.512674641533373]}"
32,6296,10416,9600,9072,8400,9,"{""type"":""Point"",""coordinates"":[73.92575097929594,18.512675179579823]}"
33,6296,10448,9640,9056,8472,9,"{""type"":""Point"",""coordinates"":[73.92584570214831,18.51267571757886]}"
34,6293,10312,9616,9056,8400,9,"{""type"":""Point"",""coordinates"":[73.92499376095512,18.51258050831222]}"
35,6293,10312,9616,9032,8376,9,"{""type"":""Point"",""coordinates"":[73.92508848373178,18.5125810466878]}"
36,6321,10336,9552,9000,8392,9,"{""type"":""Point"",""coordinates"":[73.92518320651172,18.51258158501596]}"
37,6321,10312,9552,9032,8376,9,"{""type"":""Point"",""coordinates"":[73.92527792929488,18.5125821232967]}"
38,6340,10368,9552,9112,8392,9,"{""type"":""Point"",""coordinates"":[73.92537265208132,18.51258266153002]}"
39,6340,10360,9552,9056,8336,9,"{""type"":""Point"",""coordinates"":[73.92546737487098,18.51258319971592]}"
40,6354,10368,9512,9120,8400,9,"{""type"":""Point"",""coordinates"":[73.92556209766391,18.5125837378544]}"
41,6354,10384,9552,9096,8424,9,"{""type"":""Point"",""coordinates"":[73.92565682046009,18.51258427594546]}"
42,6335,10400,9584,9056,8440,9,"{""type"":""Point"",""coordinates"":[73.92575154325951,18.512584813989104]}"
43,6335,10456,9616,9096,8456,9,"{""type"":""Point"",""coordinates"":[73.92584626606217,18.512585351985326]}"
44,6293,10368,9552,9056,8360,9,"{""type"":""Point"",""coordinates"":[73.92499432531307,18.51249014274312]}"
45,6293,10360,9552,9056,8392,9,"{""type"":""Point"",""coordinates"":[73.92508904804005,18.51249068111589]}"
46,6321,10312,9568,9056,8400,9,"{""type"":""Point"",""coordinates"":[73.92518377077026,18.512491219441234]}"
47,6321,10312,9552,9032,8400,9,"{""type"":""Point"",""coordinates"":[73.92527849350373,18.51249175771916]}"
48,6340,10352,9504,9064,8424,9,"{""type"":""Point"",""coordinates"":[73.92537321624044,18.51249229594967]}"
49,6340,10384,9496,9096,8392,9,"{""type"":""Point"",""coordinates"":[73.92546793898042,18.512492834132757]}"
50,6354,10312,9480,9072,8424,9,"{""type"":""Point"",""coordinates"":[73.92556266172365,18.512493372268427]}"
51,6354,10408,9552,9064,8456,9,"{""type"":""Point"",""coordinates"":[73.92565738447011,18.512493910356678]}"
52,6335,10440,9552,9056,8456,9,"{""type"":""Point"",""coordinates"":[73.92575210721984,18.512494448397508]}"
53,6335,10448,9616,9064,8488,9,"{""type"":""Point"",""coordinates"":[73.9258468299728,18.51249498639092]}"
54,6286,10360,9568,9056,8400,9,"{""type"":""Point"",""coordinates"":[73.92499488966779,18.512399777173144]}"
55,6286,10312,9528,9016,8400,9,"{""type"":""Point"",""coordinates"":[73.92508961234505,18.512400315543097]}"
56,6348,10280,9528,8968,8400,9,"{""type"":""Point"",""coordinates"":[73.92518433502556,18.51240085386563]}"
57,6348,10304,9568,8992,8376,9,"{""type"":""Point"",""coordinates"":[73.92527905770933,18.512401392140745]}"
58,6379,10304,9552,9016,8400,9,"{""type"":""Point"",""coordinates"":[73.92537378039636,18.51240193036844]}"
59,6379,10280,9568,9016,8440,9,"{""type"":""Point"",""coordinates"":[73.92546850308662,18.512402468548718]}"
60,6356,10336,9552,8968,8424,9,"{""type"":""Point"",""coordinates"":[73.92556322578012,18.512403006681573]}"
61,6356,10400,9592,8952,8456,9,"{""type"":""Point"",""coordinates"":[73.9256579484769,18.51240354476701]}"
62,6321,10440,9648,8984,8424,9,"{""type"":""Point"",""coordinates"":[73.92575267117691,18.51240408280503]}"
63,6321,10416,9592,8992,8472,9,"{""type"":""Point"",""coordinates"":[73.92584739388018,18.51240462079563]}"
64,6286,10280,9520,8984,8400,9,"{""type"":""Point"",""coordinates"":[73.92499545401924,18.512309411602292]}"
65,6286,10280,9512,8984,8376,9,"{""type"":""Point"",""coordinates"":[73.9250901766468,18.512309949969428]}"
66,6348,10256,9568,8920,8376,9,"{""type"":""Point"",""coordinates"":[73.92518489927761,18.51231048828915]}"
67,6348,10272,9552,8928,8400,9,"{""type"":""Point"",""coordinates"":[73.92527962191167,18.512311026561456]}"
68,6379,10280,9552,8952,8400,9,"{""type"":""Point"",""coordinates"":[73.92537434454898,18.512311564786334]}"
69,6379,10312,9568,8944,8376,9,"{""type"":""Point"",""coordinates"":[73.92546906718955,18.512312102963797]}"
70,6356,10352,9600,8944,8424,9,"{""type"":""Point"",""coordinates"":[73.92556378983336,18.512312641093846]}"
71,6356,10360,9600,8952,8472,9,"{""type"":""Point"",""coordinates"":[73.92565851248042,18.51231317917647]}"
72,6321,10408,9672,9016,8472,9,"{""type"":""Point"",""coordinates"":[73.92575323513073,18.512313717211676]}"
73,6321,10416,9616,9056,8456,9,"{""type"":""Point"",""coordinates"":[73.9258479577843,18.512314255199463]}"
74,6325,10312,9520,8920,8376,9,"{""type"":""Point"",""coordinates"":[73.9331908859759,18.504403342971305]}"
75,6325,10304,9488,8896,8360,9,"{""type"":""Point"",""coordinates"":[73.93328560450908,18.504403877014695]}"
76,6329,10280,9488,8904,8376,9,"{""type"":""Point"",""coordinates"":[73.9331914457657,18.50431297708122]}"
77,6329,10312,9480,8888,8376,9,"{""type"":""Point"",""coordinates"":[73.93328616424922,18.504313511121815]}"
78,6329,10280,9488,8920,8400,9,"{""type"":""Point"",""coordinates"":[73.9331920055523,18.504222611190247]}"
