Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.51634331010512,73.90356174381591,955,964,1052,1190,798,1102,963,1196,1122,1114,1252,1468,894,1310,1232,1142,1268.0,1334,1322,1438,1508,1306,1032,1684,1494,1610,1656,1024,1414,1576,1692,1478,2138,10568,1708,4312,8656,2076,2426,1768,7220,7752,5656,3410,11456,7744,2540,4152,6508,6408,5376,14408,1040,13688,1390,1438,1260,1914,4328,1964,4244,1276,1312,1190,1862,1030,1224,1266,1194,1554,1196,7144,951
18.51634385932078,73.90365646798809,917,875,839,1028,713,1104,871,1204,1088,1018,901,1176,1042,1140,1082,1136,1160.0,1342,1308,1334,1420,1416,1001,1498,1518,1636,1888,1002,1784,1720,1774,1524,1928,10560,1618,4340,8624,2096,2290,1574,7084,7752,5692,3348,11496,7744,2686,4476,6540,6412,5392,14376,885,13504,1368,1416,1168,1956,4356,1510,4168,1318,1072,1196,1732,965,1186,1256,1094,1486,1162,7172,989
18.51634440848901,73.90375119216361,788,819,725,1076,639,1104,913,1254,814,1026,639,1222,1488,888,819,1290,788.0,1262,991,1230,1028,1494,1184,1490,1012,1400,1114,1118,1266,1560,1308,1470,1700,10632,1502,4352,8696,1996,2296,1436,6916,7744,5728,3274,11496,7668,2778,4648,6520,6408,5360,14368,849,13280,919,1204,895,1674,4368,1648,4208,1300,1114,1072,1712,862,1178,1088,1028,1390,1040,7116,927
18.516344957609807,73.90384591634245,832,872,925,1132,745,1090,959,1290,979,1136,821,1304,1820,1038,928,1176,993.0,1312,1172,1318,1272,1578,1338,1644,1340,1626,1386,1338,1288,1706,1508,1528,1832,10672,1586,4344,8760,2198,2366,1682,6828,7784,5760,3410,11456,7636,3122,4904,6576,6344,5372,14408,1098,13136,1172,1444,1162,1770,4368,1522,4108,1440,1282,1246,1870,1042,1306,1164,1122,1410,1160,7056,1126
18.51285160501423,73.92499206786172,1272,1336,1372,1262,1368,1284,912,1376,1354,1404,1356,1314,1404,1262,1526,1154,1584.0,1412,1478,1522,1642,1646,1394,1668,1946,1888,2010,1594,1842,1592,1794,2192,3094,11584,2304,4058,10416,2294,2740,1744,2764,7764,7492,2822,11416,9240,1736,4240,6904,6408,5464,14368,2812,12568,1754,1828,1762,2100,3916,1310,4140,1528,1438,1488,2040,1534,1614,1490,1406,1402,1670,6932,1482
18.5128521433982,73.92508679078753,1284,1234,1256,1158,1212,1178,913,1150,1166,1150,1202,1196,1194,1180,1410,1206,1476.0,1372,1428,1338,1472,1486,1448,1570,1924,1642,1792,1326,1832,1554,1692,2192,3040,11688,2254,4030,10360,2100,2692,1718,2688,7744,7456,2814,11504,9304,1622,4488,6888,6368,5428,14240,2336,12488,1514,1578,1540,1904,4200,1612,4192,1336,1290,1218,1760,1288,1346,1350,1228,1296,1540,6856,1116
18.51285268173485,73.92518151371657,1118,1114,1148,1110,1048,1158,1018,1182,1168,1154,1088,1248,1436,1262,1456,1322,1514.0,1428,1402,1418,1454,1738,1104,1726,1816,1748,1748,1122,1782,1774,1736,2192,2822,11664,2280,4072,10448,2372,2712,1852,2718,7764,7404,2764,11496,9288,1660,4348,6872,6324,5424,14064,2236,12496,1566,1486,1520,1816,4094,1448,4208,1366,1256,1182,1750,1236,1332,1394,1252,1326,1476,6932,1090
18.51285322002403,73.92527623664884,961,898,1001,1042,680,977,959,1106,1028,902,804,1072,1180,1020,1138,1182,1354.0,1318,1270,1502,1446,1810,1172,1766,1880,1900,1838,1434,1884,1938,1796,2192,2910,11736,2214,4084,10416,2330,2592,1738,2626,7788,7304,2624,11424,9320,1620,4444,6808,6324,5428,14032,2008,12416,1280,1420,1180,1766,4152,1500,4224,1252,1084,1086,1664,920,1170,1268,1092,1280,1368,6964,856
18.512853758265,73.92537095958438,761,769,822,1018,416,1020,969,989,879,804,588,966,1062,907,819,1216,1050.0,1186,1142,1374,1256,1586,1404,1698,1490,1630,1700,1338,1704,1866,1656,2170,3574,11864,2058,4034,10360,2058,2570,1620,2482,7744,7304,2590,11456,9376,1548,4300,6764,6408,5428,14000,1836,12296,1100,1188,967,1504,4348,1622,4172,1158,1012,1086,1496,781,1124,1202,1112,1464,1338,6744,861
18.512854296460127,73.92546568252318,777,783,797,904,400,1012,985,1074,829,797,516,917,1090,940,946,1262,1046.0,1238,1058,1286,1184,1476,1334,1644,1542,1622,1584,1152,1678,1882,1610,2170,4074,12088,2008,4018,10400,2094,2558,1628,2454,7784,7228,2590,11464,9360,1650,4244,6680,6356,5416,13944,2022,12120,1088,1160,974,1482,4340,1636,4164,1118,1012,1084,1528,774,1030,1120,1016,1378,1356,6564,757
18.512854834607,73.9255604054652,746,796,793,886,444,989,1009,1054,816,846,486,902,1240,860,1034,1298,1242.0,1288,1132,1194,1230,1506,1011,1566,1490,1598,1614,1168,1620,1784,1618,2202,4148,12112,2082,4006,10416,2106,2574,1650,2588,7760,7192,2556,11496,9360,1852,4004,6576,6320,5404,13968,2452,12008,952,1184,918,1418,4460,1360,4224,1104,1012,945,1400,787,1026,1084,947,1416,1324,6652,775
18.51285537270654,73.92565512841051,706,787,797,930,439,865,927,987,772,878,505,1016,1554,731,898,1116,1134.0,1282,1204,1328,1264,1604,1262,1584,1594,1716,1626,1272,1758,1776,1584,2160,4324,11944,2094,3992,10400,2152,2554,1654,2596,7744,7192,2520,11456,9376,1692,4196,6436,6320,5392,13928,2928,11824,789,1210,767,1368,4572,1304,4292,1062,995,941,1510,747,1032,1050,916,1408,1252,6708,789
18.51285591075862,73.92574985135903,700,720,803,969,421,943,1130,1036,777,865,589,1200,1360,800,828,1262,941.0,1300,1218,1424,1242,1570,1262,1644,1562,1690,1594,1378,1476,2020,1610,2176,4708,11832,2090,4006,10400,2066,2510,1654,2422,7788,7192,2542,11368,9320,1678,4332,6372,6352,5392,14032,3630,11752,705,1268,675,1394,4584,1344,4332,1024,1028,962,1482,695,1118,1008,896,1318,1240,6652,767
18.51285644876327,73.92584457431083,844,919,970,924,683,1190,967,1302,930,1216,865,1334,1182,1178,1252,1130,1256.0,1320,1248,1538,1282,1604,1402,1676,1432,1678,1632,1744,1484,1720,1692,2154,5080,11664,2050,4034,10416,2106,2492,1544,2182,7812,7192,2548,11336,9288,1824,4320,6372,6304,5400,14152,3584,11824,1118,1282,1054,1438,4680,1572,4300,1166,1122,1072,1520,879,1016,1138,1080,1490,1368,6464,973
18.5127612394477,73.92499263222943,1356,1314,1406,1320,1298,1332,978,1382,1318,1302,1340,1404,1346,1344,1492,1158,1630.0,1398,1438,1458,1462,1478,1380,1536,1776,1560,1570,1268,1734,1314,1534,2160,2930,11168,2068,4084,10384,1892,2554,1484,2474,7744,7432,2746,11400,9304,1610,4050,6852,6352,5460,14352,2446,12496,1666,1692,1710,2088,3792,1386,4268,1522,1394,1374,2062,1462,1516,1514,1440,1360,1648,6268,1318
18.51276177782898,73.92508735510553,1266,1172,1324,1290,1074,1188,934,1202,1240,1128,1208,1290,1110,1180,1274,1084,1426.0,1324,1334,1384,1360,1386,1098,1562,1488,1444,1532,1070,1628,1512,1500,2142,2688,11256,2116,4040,10400,1840,2592,1508,2520,7788,7452,2718,11512,9280,1534,3960,6808,6292,5444,14248,2294,12432,1514,1584,1514,2016,3920,1544,4332,1418,1354,1358,2010,1268,1490,1488,1350,1422,1578,6768,1176
18.51276231616277,73.92518207798487,1250,1156,1292,1302,1084,1180,890,1158,1266,1132,1290,1296,1244,1222,1356,1070,1382.0,1344,1360,1356,1460,1460,1180,1644,1632,1550,1686,1440,1670,1632,1668,2150,2580,11256,2216,4072,10360,2030,2712,1690,2596,7784,7376,2718,11368,9288,1548,4116,6808,6352,5444,14104,2242,12440,1506,1584,1528,2036,3936,1532,4368,1450,1428,1376,1978,1256,1468,1462,1350,1456,1578,6564,1202
18.51276285444913,73.92527680086744,1130,1130,1230,1304,1000,1256,865,1356,1156,1270,1172,1450,1288,1240,1312,1078,1462.0,1414,1402,1580,1566,1750,1652,1758,1886,1752,1952,1810,1876,1802,1758,2176,2900,11496,2236,4058,10312,2182,2678,1726,2666,7764,7276,2630,11256,9344,1490,1832,6700,6324,5444,13968,2050,12376,1610,1716,1512,1956,4168,1626,4380,1500,1394,1386,1892,1206,1462,1426,1312,1426,1628,6356,1272
18.51276339268808,73.92537152375326,995,1190,1204,1372,962,1372,951,1482,1238,1438,1172,1548,1310,1250,1328,1158,1436.0,1484,1464,1738,1554,1848,1560,1810,1816,1792,1952,1462,1864,1870,1808,2210,3640,11776,2160,4040,10336,2180,2634,1696,2732,7760,7216,2586,11248,9376,1478,1890,6640,6304,5464,14032,1886,12336,1482,1746,1416,1888,4400,1646,4364,1538,1428,1408,1832,1248,1510,1458,1318,1462,1642,6208,1426
18.512763930879604,73.92546624664236,1050,1110,1184,1244,902,1168,846,1222,1308,1242,1222,1408,1580,1272,1280,1020,1388.0,1404,1440,1618,1524,1664,1282,1742,1806,1868,2080,1382,1896,1876,1830,2150,4188,11896,2252,4030,10272,2250,2634,1836,2800,7744,7196,2656,11200,9416,1576,2480,6564,6304,5380,14072,2032,12152,1616,1762,1460,1908,4428,1368,4396,1366,1312,1366,1786,1140,1430,1416,1298,1362,1580,6032,1220
18.51276446902371,73.9255609695347,1098,1052,1138,1150,783,1044,863,1036,1126,995,1092,1188,1516,1202,1246,1088,1322.0,1300,1288,1380,1382,1310,1610,1606,1728,1690,1876,1772,1814,1670,1762,2202,4188,11784,2208,4006,10280,2036,2666,1726,2830,7788,7192,2662,11936,9416,1642,2070,6468,6564,5380,14040,2338,11976,1404,1430,1374,1852,4572,1280,5864,1186,1186,1220,1766,1066,1242,1306,1208,1576,1474,1322,959
