Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.51634331010512,73.90356174381591,1328,1865,1448,1902,1552,2132,1512,2193,2014,2168,1896,2461,2156,2340,2343,1771,2664.0,2558,2288,2770,2514,2564,2100,2986,2603,2758,3022,2420,2874,2789,2600,2110,3316,8728,2100,5500,6952,3452,3574,3028,5832,8180,6612,4184,8920,6188,2940,4372,5492,5772,5368,10664,1126,10504,2315,2197,2516,2002,4276,2644,4200,2208,2178,2196,1742,1737,2130,1968,1999,1842,1824,6976,1971
18.51634385932078,73.90365646798809,1484,1645,1522,1842,1378,2034,1417,2275,1852,2100,1716,2185,2111,2181,2294,1747,2322.0,2420,2520,2543,2408,2654,2708,2736,2994,3100,2910,2640,3056,2864,2798,2164,2932,8624,2036,5500,6968,3022,3418,2820,5692,8208,6624,4074,8904,6128,3022,4664,5488,5752,5372,10720,1065,10304,2403,2468,2068,1914,4340,2536,4304,2292,2067,2055,1734,1784,1954,2052,1774,1964,1642,6928,1786
18.51634440848901,73.90375119216361,1416,1693,1464,1757,1386,2002,1465,2250,1938,2100,1838,2213,2480,2102,2073,1978,2164.0,2414,2186,2476,2370,2498,2778,2688,2663,2800,2884,2634,2604,2652,2354,2054,2802,8728,1962,5500,7040,3064,3360,2820,5660,8180,6612,4092,8888,6104,3254,4820,5508,5732,5392,10608,1093,10136,2202,2216,2076,2012,4372,2432,4344,2075,1893,2065,1682,1823,1916,1917,1843,1930,1698,6972,1820
18.516344957609807,73.90384591634245,1394,1600,1543,1847,1323,1867,1536,2024,1717,1942,1573,2100,2790,2064,1967,1816,2042.0,2220,2176,2259,2176,2456,2976,2556,2677,2614,2636,2968,2532,2598,2496,2062,2896,8704,2026,5488,7108,2908,3408,2666,5660,8208,6640,4220,8888,6104,3638,5048,5552,5744,5372,10696,1189,10008,2232,2239,2023,1772,4284,2380,4232,2055,2005,1860,1759,1720,1948,1885,1765,1908,1604,6916,1740
18.51285160501423,73.92499206786172,1830,1748,1773,1510,1717,1596,1476,1627,1784,1585,1882,1592,2357,1800,1954,1798,2108.0,1876,2036,1948,2082,1832,2018,2072,2396,2276,2378,2310,2386,1892,2210,2352,3808,9192,2626,5268,8440,2230,3002,2132,2540,8232,8512,3152,8856,7264,1754,4484,5996,5760,5376,10696,2850,9656,2059,2044,1853,1961,4048,2060,4208,1559,1610,1614,1733,1777,1750,1788,1602,1826,1784,6772,1668
18.5128521433982,73.92508679078753,1581,1365,1497,1273,1445,1245,1553,1286,1403,1243,1561,1275,2104,1406,1563,1912,1702.0,1580,1716,1445,1716,1543,2436,1850,2201,1861,1964,2552,2176,1611,1962,2336,3736,9240,2338,5220,8408,1942,2944,1936,2474,8232,8464,3064,8920,7300,1770,4660,6004,5744,5340,10608,2307,9576,1491,1559,1459,1543,4036,2094,4312,1265,1388,1195,1509,1500,1406,1330,1339,1804,1406,6772,1172
18.51285268173485,73.92518151371657,1413,1371,1418,1350,1284,1435,1604,1573,1434,1518,1576,1568,2236,1606,1786,1930,1904.0,1790,1878,1731,1896,1984,2260,2226,2325,1954,2196,2355,2174,2061,2072,2306,3386,9360,2510,5200,8424,2440,3178,2302,2632,8264,8440,3032,8904,7372,1858,4644,5972,5716,5348,10472,2124,9512,1594,1534,1493,1568,4100,2172,4380,1562,1543,1362,1529,1506,1544,1440,1409,1862,1428,6704,1158
18.51285322002403,73.92527623664884,1055,1171,1130,1392,938,1416,1582,1557,1415,1398,1290,1592,2255,1584,1672,1784,1974.0,2004,2094,2147,2206,2504,2328,2492,2778,2531,2725,2552,2700,2602,2480,2376,3408,9392,2740,5204,8528,2692,3238,2578,2642,8232,8368,3038,8816,7332,1946,4796,5908,5704,5368,10384,1965,9472,1514,1737,1332,1622,4288,2118,4412,1497,1429,1418,1309,1219,1482,1499,1296,1791,1488,6748,1186
18.512853758265,73.92537095958438,767,934,948,1376,594,1433,1486,1649,1124,1262,932,1556,1928,1424,1488,1808,1758.0,1952,1858,2186,2004,2361,2122,2554,2624,2562,2724,2282,2700,2742,2512,2386,3896,9424,2590,5244,8504,2708,3210,2578,2546,8280,8280,3008,8816,7360,1920,4520,5908,5744,5336,10296,1888,9320,1263,1515,1079,1370,4364,2326,4376,1498,1334,1400,1137,992,1434,1538,1182,1882,1484,6680,1088
18.512854296460127,73.92546568252318,694,952,956,1210,577,1394,1614,1623,1121,1302,890,1410,1976,1506,1448,1876,1742.0,1880,1942,2157,2032,2369,2310,2584,2601,2651,2788,2554,2598,2776,2566,2382,4232,9552,2728,5200,8504,2710,3260,2702,2532,8288,8280,2928,8808,7384,2022,4424,5804,5728,5340,10248,2044,9144,1186,1476,1061,1303,4324,2132,4340,1369,1309,1415,1168,1010,1384,1450,1155,1879,1416,6540,1107
18.512854834607,73.9255604054652,798,959,948,1136,557,1247,1548,1410,1192,1240,884,1241,2187,1416,1300,1895,1762.0,1868,1998,1970,2170,2202,2184,2510,2784,2840,3056,2278,2830,2856,2754,2430,4332,9520,2844,5200,8480,2896,3312,2900,2778,8264,8264,2984,8952,7384,2082,4328,5752,5716,5348,10208,2463,8912,1269,1454,1038,1183,4372,2066,4328,1240,1209,1248,1222,975,1226,1310,1136,1827,1368,6712,912
18.51285537270654,73.92565512841051,792,988,953,1246,579,1243,1560,1288,1157,1146,812,1284,2426,1394,1244,1835,1660.0,1946,1980,2029,2214,2437,2070,2708,3002,3124,3308,2178,3194,3085,2946,2484,4572,9440,2986,5204,8536,3248,3326,3090,2896,8280,8216,3054,8840,7352,2048,4520,5700,5704,5328,10272,2979,8840,1410,1546,1146,1265,4472,2314,4384,1232,1229,1206,1278,950,1250,1321,1152,1970,1402,6612,843
