system:index,B11,B2,B3,B4,B8,SCL,.geo
0,323,472,529,425,480,2,"{""type"":""Point"",""coordinates"":[73.73793756308524,18.702271620746632]}"
1,323,433,556,439,516,2,"{""type"":""Point"",""coordinates"":[73.73803238452064,18.702272259025477]}"
2,356,489,557,437,507,2,"{""type"":""Point"",""coordinates"":[73.73812720595984,18.702272897256396]}"
3,356,472,556,441,502,2,"{""type"":""Point"",""coordinates"":[73.73822202740291,18.702273535439385]}"
4,323,456,560,430,484,2,"{""type"":""Point"",""coordinates"":[73.73793823291874,18.702181263045368]}"
5,323,445,549,439,475,2,"{""type"":""Point"",""coordinates"":[73.73803305430383,18.702181901320905]}"
6,356,448,545,429,491,2,"{""type"":""Point"",""coordinates"":[73.73812787569275,18.70218253954852]}"
7,356,432,548,433,476,2,"{""type"":""Point"",""coordinates"":[73.73822269708553,18.702183177728205]}"
8,463,595,723,527,651,2,"{""type"":""Point"",""coordinates"":[73.73201996451121,18.64367691330315]}"
9,593,613,742,538,1201,2,"{""type"":""Point"",""coordinates"":[73.73211475315976,18.64367755264082]}"
10,463,590,713,524,628,2,"{""type"":""Point"",""coordinates"":[73.7320206352211,18.64358655524597]}"
11,593,618,697,524,654,2,"{""type"":""Point"",""coordinates"":[73.73211542381955,18.64358719458032]}"
12,708,594,728,515,631,2,"{""type"":""Point"",""coordinates"":[73.73202130592716,18.643496197187908]}"
13,291,451,524,379,397,2,"{""type"":""Point"",""coordinates"":[73.75361749682469,18.632797036940577]}"
14,291,396,531,387,430,2,"{""type"":""Point"",""coordinates"":[73.75371228022738,18.6327976650367]}"
15,291,467,519,389,444,2,"{""type"":""Point"",""coordinates"":[73.75361815569913,18.63270667802747]}"
16,291,439,536,386,451,2,"{""type"":""Point"",""coordinates"":[73.75371293905175,18.632707306120334]}"
17,301,459,536,394,468,2,"{""type"":""Point"",""coordinates"":[73.75361881456979,18.632616319113477]}"
18,301,435,530,391,468,2,"{""type"":""Point"",""coordinates"":[73.75371359787233,18.632616947203076]}"
19,301,471,543,419,448,2,"{""type"":""Point"",""coordinates"":[73.75361947343667,18.63252596019859]}"
20,301,433,517,366,436,2,"{""type"":""Point"",""coordinates"":[73.75371425668915,18.63252658828492]}"
21,292,442,520,398,404,2,"{""type"":""Point"",""coordinates"":[73.75362013229979,18.63243560128282]}"
22,292,430,509,389,416,2,"{""type"":""Point"",""coordinates"":[73.7537149155022,18.63243622936589]}"
23,103,422,484,315,214,6,"{""type"":""Point"",""coordinates"":[73.48722024904423,18.671050978764615]}"
24,106,441,499,295,204,6,"{""type"":""Point"",""coordinates"":[73.48731504300956,18.671051742591068]}"
25,106,427,514,301,212,6,"{""type"":""Point"",""coordinates"":[73.48740983697947,18.6710525063697]}"
26,107,380,485,277,213,6,"{""type"":""Point"",""coordinates"":[73.48750463095399,18.671053270100504]}"
27,107,400,503,277,221,6,"{""type"":""Point"",""coordinates"":[73.48759942493308,18.671054033783488]}"
28,99,412,534,304,224,6,"{""type"":""Point"",""coordinates"":[73.48769421891676,18.67105479741865]}"
29,99,420,494,302,213,6,"{""type"":""Point"",""coordinates"":[73.48778901290504,18.67105556100599]}"
30,102,416,489,305,211,6,"{""type"":""Point"",""coordinates"":[73.4878838068979,18.6710563245455]}"
31,103,415,516,313,216,6,"{""type"":""Point"",""coordinates"":[73.48722105047753,18.670960630390958]}"
32,104,429,478,303,200,6,"{""type"":""Point"",""coordinates"":[73.4873158443927,18.67096139421345]}"
33,104,439,497,300,223,6,"{""type"":""Point"",""coordinates"":[73.48741063831243,18.670962157988118]}"
34,110,418,514,287,213,6,"{""type"":""Point"",""coordinates"":[73.48750543223677,18.670962921714967]}"
