Lat,Long,2019-01-05,2019-01-10,2019-01-15,2019-01-20,2019-01-25,2019-01-30,2019-02-04,2019-02-09,2019-02-14,2019-02-19,2019-02-24,2019-03-01,2019-03-06,2019-03-11,2019-03-16,2019-03-21,2019-03-26,2019-03-31,2019-04-05,2019-04-10,2019-04-15,2019-04-20,2019-04-25,2019-04-30,2019-05-05,2019-05-10,2019-05-15,2019-05-20,2019-05-25,2019-05-30,2019-06-04,2019-06-09,2019-06-14,2019-06-19,2019-06-24,2019-06-29,2019-07-04,2019-07-09,2019-07-14,2019-07-19,2019-07-24,2019-07-29,2019-08-03,2019-08-08,2019-08-13,2019-08-18,2019-08-23,2019-08-28,2019-09-02,2019-09-07,2019-09-12,2019-09-17,2019-09-22,2019-09-27,2019-10-02,2019-10-07,2019-10-12,2019-10-17,2019-10-22,2019-10-27,2019-11-01,2019-11-06,2019-11-11,2019-11-16,2019-11-21,2019-11-26,2019-12-01,2019-12-06,2019-12-11,2019-12-16,2019-12-21,2019-12-26,2019-12-31
18.351022732288,73.55891785342294,320,529,441,375,468.0,560.0,431,359.0,393,334,358.0,331,308.0,313,397,353.0,502.0,606,596,428.0,643,505.0,630,895,689,626,579.0,719,750,744,1096,926,885,10856,3496,4144,5788,10624,5208,1278,5840,8216,9504,9064,8768,10040,4492,1202,10960,9656,8528,13424,6624,10176,406.0,608,512,466,2532,3454,5880,885,418,628.0,1654,385,438,565,277,404,1106,3416,197.0
18.3510234479055,73.55901247441365,322,556,428,362,473.0,560.0,443,360.0,392,330,345.0,339,308.0,299,420,353.0,502.0,609,584,407.0,640,516.0,615,886,686,616,567.0,732,750,741,1096,945,872,10712,3496,4160,5780,10648,5236,1278,5888,8200,9528,9064,8704,10096,4464,1220,10960,9656,8512,13408,6608,9984,406.0,624,520,489,2532,3260,5824,882,432,621.0,1366,394,429,561,270,396,1170,3610,201.0
18.351024163476,73.55910709540869,333,557,475,375,458.0,534.0,445,353.0,434,344,345.0,348,331.0,333,432,341.0,492.0,606,589,386.0,663,507.0,617,882,676,636,569.0,716,742,741,1084,976,869,10616,3464,4164,5804,10736,5288,1250,5916,8224,9504,9032,8584,10072,4432,1224,10960,9664,8528,13328,6748,9808,396.0,639,520,518,2498,3118,5780,839,423,596.0,1182,385,444,557,277,384,1180,3868,214.0
18.53904192472417,73.92208088222372,807,556,718,706,454.0,525.0,564,317.0,615,427,305.0,365,306.0,259,395,598.0,498.0,582,695,455.0,771,505.0,606,780,430,352,329.0,457,656,469,887,753,885,10616,5044,7872,8968,1406,3682,1230,1240,8000,7452,2710,8424,10272,390,712,11312,5824,7432,10128,847,5092,390.0,437,530,802,2204,3360,8224,350,743,614.0,669,571,728,544,506,733,1426,5796,589.0
18.53904246530146,73.92217561948166,813,560,760,712,448.0,557.0,583,314.0,774,407,309.0,350,296.0,259,406,618.0,524.0,698,728,461.0,767,512.0,631,785,426,365,331.0,438,658,457,881,750,882,10544,5020,7840,8984,1498,3762,1304,1380,8008,7420,2730,8288,10264,379,744,11344,5776,7448,10088,854,5156,419.0,444,531,778,2232,3328,8124,338,751,613.0,683,545,728,556,509,727,1434,5812,617.0
18.53904300583126,73.92227035674283,832,549,728,720,456.0,560.0,576,307.0,736,450,317.0,348,305.0,261,425,586.0,516.0,601,710,467.0,760,509.0,615,783,415,362,339.0,448,669,447,885,739,885,10624,5036,7856,8976,1456,3750,1326,972,8000,7392,2708,8512,10280,367,799,11336,5756,7432,10032,847,5236,384.0,444,531,774,2292,3000,8080,354,757,625.0,679,550,727,557,502,750,1418,5724,608.0
18.539043546313568,73.92236509400728,796,545,708,711,447.0,547.0,576,291.0,541,412,315.0,361,302.0,250,415,601.0,516.0,627,722,458.0,751,508.0,604,769,440,339,343.0,453,654,453,905,750,886,10704,4996,7880,8920,1426,3736,1390,1030,7964,7396,2654,8688,10304,355,822,11296,5752,7372,10168,850,5248,408.0,436,534,793,2342,2886,8080,367,747,632.0,695,565,741,551,495,717,1466,5724,631.0
18.53904408674838,73.92245983127499,816,548,698,691,456.0,525.0,550,293.0,598,450,308.0,355,301.0,274,409,612.0,509.0,708,734,462.0,751,512.0,623,750,444,314,345.0,460,654,478,916,743,925,10672,4896,7848,8936,1394,3738,1262,5868,8000,7384,2630,8768,10272,347,867,11312,5736,7372,10072,849,5248,401.0,444,542,804,2390,3228,8076,356,761,637.0,1246,553,724,557,487,718,1454,5724,613.0
18.5390446271357,73.92255456854595,833,723,698,688,466.0,555.0,572,298.0,626,454,303.0,343,299.0,268,406,611.0,500.0,698,745,465.0,763,506.0,619,794,445,361,343.0,446,687,486,908,739,886,10888,4864,7900,8968,1356,3698,1258,5848,7940,7372,2610,8424,10280,351,888,11312,5704,7372,10008,853,5248,405.0,433,496,795,2390,2836,8068,339,763,634.0,1250,560,724,558,477,738,1426,5664,604.0
18.5390451674755,73.92264930582017,828,742,716,711,477.0,593.0,584,310.0,591,448,310.0,338,312.0,266,420,582.0,526.0,699,731,479.0,783,514.0,613,785,440,369,336.0,444,727,502,886,759,859,10744,4832,7812,8968,1260,3604,1312,5944,7972,7364,2610,8368,10272,347,915,11296,5712,7384,9728,914,5184,407.0,425,516,780,2340,2706,8052,328,770,623.0,1260,575,720,575,477,729,2036,3008,604.0
