lat,long,class
18.670888, 74.039752,agriculture
18.671746, 74.040023,agriculture
18.673318, 74.040054,agriculture
18.672946, 74.043433,agriculture
18.674232, 74.043282,agriculture
18.675319, 74.039963,agriculture
18.675776, 74.038847,agriculture
18.674375, 74.036161,agriculture
18.672374, 74.035980,agriculture
18.670716, 74.035799,agriculture
18.675233, 74.036674,agriculture
18.675604, 74.038998,agriculture
18.677520, 74.043886,agriculture
18.677205, 74.045213,agriculture
18.677262, 74.046480,agriculture
18.680092, 74.036523,agriculture
18.680692, 74.037489,agriculture
18.681493, 74.039692,agriculture
18.681350, 74.041140,agriculture
18.680349, 74.042709,agriculture
