lat,long,class
18.670448, 73.659951,barren land
18.670611, 73.657633,barren land
18.670611, 73.654372,barren land
18.673376, 73.652398,barren land
18.673701, 73.649050,barren land
18.677685, 73.649737,barren land
18.678417, 73.646475,barren land
18.679962, 73.643729,barren land
18.677035, 73.641669,barren land
18.678173, 73.639437,barren land
18.674026, 73.640381,barren land
18.672075, 73.637463,barren land
18.669066, 73.634116,barren land
18.666057, 73.635317,barren land
18.662398, 73.634545,barren land
18.661341, 73.638064,barren land
18.661341, 73.642699,barren land
18.664350, 73.642441,barren land
18.661992, 73.646647,barren land
18.665244, 73.647505,barren land
