lat,long,class
18.604487, 73.777235,settlements
18.605056, 73.776849,settlements
18.605646, 73.777299,settlements
18.606113, 73.776269,settlements
18.606398, 73.775347,settlements
18.606703, 73.774832,settlements
18.607293, 73.775411,settlements
18.608269, 73.776398,settlements
18.607395, 73.778222,settlements
18.607191, 73.778930,settlements
18.607883, 73.779188,settlements
18.608737, 73.779960,settlements
18.609062, 73.780411,settlements
18.609184, 73.779209,settlements
18.608920, 73.778415,settlements
18.609286, 73.776205,settlements
18.609855, 73.776935,settlements
18.609977, 73.778201,settlements
18.609916, 73.779681,settlements
18.610425, 73.780582,settlements
