lat,long,class
18.609980, 73.825190,water
18.609858, 73.825791,water
18.609736, 73.826692,water
18.609574, 73.827551,water
18.609452, 73.828280,water
18.609248, 73.828967,water
18.608028, 73.834460,water
18.607947, 73.835147,water
18.607743, 73.835962,water
18.607662, 73.836992,water
18.607337, 73.837936,water
18.607133, 73.839009,water
18.607011, 73.839824,water
18.606645, 73.840811,water
18.606401, 73.841799,water
18.606076, 73.842828,water
18.605995, 73.843687,water
18.605954, 73.844373,water
18.604002, 73.840854,water
18.602822, 73.841584,water
18.603880, 73.842485,water

